age_ka,d18O,MgCa,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,temp,temp_min1,temp_plus1,temp_min2,temp_plus2
2776.2,3.49,0.95,0.40536,-0.079837,0.90753,-0.59311,1.3452,34.39,32.593,36.25,30.692,37.871,0.39749,-1.8529,2.5577,-3.913,4.5445
2776.2,3.29,0.95,0.62218,0.15558,1.0593,-0.23832,1.5332,35.193,33.465,36.812,32.006,38.567,0.35609,-1.9343,2.4939,-3.819,4.5571
2780,3.42,0.87,0.55427,0.11175,1.0063,-0.27564,1.4541,34.942,33.303,36.616,31.868,38.275,-0.21824,-2.399,1.8676,-4.1091,4.1525
2780,3.38,0.87,0.64381,0.18706,1.0794,-0.24653,1.4231,35.273,33.582,36.887,31.976,38.16,0.14778,-1.9468,2.1154,-3.8962,3.9381
2785.4,3.35,0.94,0.86018,0.41964,1.2805,-0.014043,1.6977,36.075,34.443,37.631,32.837,39.177,1.2681,-0.7054,3.2408,-2.8767,5.1616
2785.4,3.46,0.94,0.92307,0.48624,1.351,0.086637,1.7586,36.308,34.69,37.893,33.21,39.402,1.1821,-0.84722,3.1749,-2.8108,4.9315
2791.4,3.42,0.86,0.46818,-0.0018931,0.98662,-0.42787,1.4529,34.623,32.882,36.543,31.304,38.27,0.35187,-1.6807,2.4719,-3.6304,4.3426
2791.4,3.39,0.86,0.40753,-0.036922,0.85475,-0.4421,1.2431,34.398,32.752,36.055,31.251,37.493,0.25128,-1.7183,2.4446,-3.6304,4.2952
2795,3.34,1.01,0.25624,-0.19304,0.70272,-0.61924,1.1266,33.838,32.174,35.492,30.595,37.062,0.32187,-1.6528,2.3848,-3.4846,4.3612
2795,3.39,1.01,0.25924,-0.16838,0.67304,-0.57454,1.0792,33.849,32.265,35.382,30.761,36.886,0.10099,-1.8544,2.0395,-3.6576,4.0265
2799.3,3.95,0.8,0.42792,-0.016725,0.88179,-0.43627,1.3202,34.474,32.827,36.155,31.273,37.778,0.90396,-1.1984,2.9007,-3.2033,4.9223
2805.4,3.63,0.88,0.26804,-0.19311,0.73297,-0.60188,1.2151,33.882,32.174,35.604,30.66,37.389,0.36111,-1.7722,2.4779,-3.5039,4.744
2813.3,3.39,0.84,0.36937,-0.075974,0.84977,-0.52207,1.3439,34.257,32.608,36.036,30.955,37.866,0.73613,-1.3499,2.7226,-3.1862,5.0358
2813.3,3.78,0.84,0.37516,-0.06041,0.82949,-0.52636,1.2824,34.278,32.665,35.961,30.939,37.639,0.4259,-1.644,2.5478,-3.8616,4.6709
2815.7,3.88,0.88,0.10759,-0.32824,0.56281,-0.79476,1.0452,33.287,31.673,34.973,29.945,36.76,-1.0697,-3.1663,1.0664,-5.2497,3.1189
2819.1,3.78,0.93,0.24867,-0.19687,0.69395,-0.63639,1.134,33.81,32.16,35.459,30.532,37.089,-0.76165,-2.7943,1.2983,-4.779,3.2958
2819.1,3.6,0.93,0.28357,-0.15544,0.70866,-0.57498,1.1575,33.939,32.313,35.514,30.759,37.176,-0.91909,-2.9083,1.0768,-4.7764,3.1204
2822.5,3.33,0.81,0.23748,-0.18726,0.68365,-0.60715,1.1117,33.768,32.195,35.421,30.64,37.006,-0.53376,-2.5627,1.5793,-4.5632,3.5114
2832.1,3.22,0.96,0.56207,0.098457,1.0338,-0.36409,1.4639,34.971,33.254,36.718,31.54,38.311,0.2376,-1.8432,2.4192,-3.8624,4.3905
2832.1,3.18,0.96,0.63562,0.18966,1.0883,-0.20071,1.5344,35.243,33.591,36.92,32.146,38.572,0.37668,-1.5871,2.5082,-3.5711,4.4751
2834.1,3.3,0.9,0.63158,0.19251,1.0549,-0.20664,1.4369,35.228,33.602,36.796,32.124,38.211,0.54286,-1.4845,2.5894,-3.4053,4.5383
2834.1,3.33,0.9,0.49087,0.039261,0.95637,-0.36811,1.3334,34.707,33.034,36.431,31.526,37.827,-0.24892,-2.3398,2.0599,-4.2067,3.8088
2837,3.42,0.77,0.21345,-0.22602,0.67636,-0.67552,1.1855,33.679,32.052,35.394,30.387,37.28,0.30676,-1.7845,2.4823,-3.8624,4.5722
2841.7,3.54,0.86,0.2278,-0.22656,0.66706,-0.62845,1.1238,33.733,32.05,35.359,30.561,37.051,0.61906,-1.4992,2.4803,-3.4117,4.498
2843.5,3.57,1,0.17706,-0.24973,0.62034,-0.68092,1.101,33.545,31.964,35.186,30.367,36.967,0.34775,-1.6744,2.3284,-3.6198,4.5233
2843.5,3.59,1,0.1405,-0.27571,0.56082,-0.68643,0.99951,33.409,31.868,34.966,30.347,36.591,0.12241,-1.7981,2.1094,-3.7268,4.1525
2845.2,3.68,0.87,0.17077,-0.28635,0.59252,-0.69947,0.97995,33.521,31.828,35.083,30.298,36.518,0.38183,-1.6577,2.4562,-3.5381,4.1722
2847.5,3.62,0.79,0.2063,-0.23733,0.62141,-0.66431,1.0224,33.653,32.01,35.19,30.428,36.676,0.074325,-2.017,2.0884,-3.8382,3.977
2848.8,3.78,0.88,0.44349,-0.025034,0.90757,-0.49389,1.3401,34.531,32.796,36.25,31.06,37.852,0.62925,-1.4879,2.7078,-3.4868,4.9191
2852.3,3.67,0.84,0.64873,0.20589,1.065,-0.18934,1.5036,35.292,33.651,36.833,32.188,38.458,0.8355,-1.1927,2.7408,-3.1021,4.7985
2854,3.74,0.93,0.72004,0.31308,1.1562,-0.067205,1.5889,35.556,34.048,37.171,32.64,38.774,1.218,-0.60822,3.3163,-2.4607,5.3389
2855.8,3.39,1.06,0.49398,0.010978,0.96969,-0.43265,1.4083,34.718,32.93,36.48,31.286,38.105,0.44156,-1.6577,2.5617,-3.674,4.7484
2857.5,3.39,0.84,0.50551,0.039155,0.95369,-0.43517,1.363,34.761,33.034,36.421,31.277,37.937,0.16432,-1.8865,2.2423,-4.0737,3.9341
2860.1,3.36,0.92,0.33443,-0.11557,0.7886,-0.50411,1.2841,34.128,32.461,35.81,31.022,37.645,-0.4567,-2.5196,1.5729,-4.2573,3.6221
2863.3,3.45,0.8,0.2121,-0.18458,0.6558,-0.56028,1.0364,33.674,32.205,35.318,30.814,36.727,-1.0586,-2.8693,0.96313,-4.7302,2.6038
2865,3.35,0.84,0.45428,0.0075069,0.91149,-0.51239,1.3714,34.571,32.917,36.265,30.991,37.968,-0.2734,-2.3104,1.8333,-4.6459,3.841
2867.5,3.26,0.94,0.38376,-0.074401,0.84837,-0.51862,1.279,34.31,32.613,36.031,30.968,37.626,-0.018864,-2.0518,2.0631,-3.9707,4.0076
2870,3.32,1.03,0.32676,-0.12089,0.78683,-0.5467,1.2125,34.099,32.441,35.803,30.864,37.379,-0.034321,-2.0783,2.0652,-3.9475,4.0178
2872.5,3.41,0.85,0.14153,-0.31983,0.6241,-0.78429,1.0486,33.413,31.704,35.2,29.984,36.773,-0.69023,-2.8047,1.4591,-4.9796,3.4369
