mcd,age_ka,d13C,d18O,Notes,
128.29,2795,-1.09,3.39,1208 15-1 10-12U,-0.19
128.41,2799.3,-1.05,3.95,1208 15-1 22-24 U,-0.15
128.58,2805.4,-0.92,3.63,1208 15-1 40-42 U,-0.02
128.8,2813.3,-0.95,3.39,1208 15-1 63-65 U,-0.05
128.8,2813.3,-0.87,3.78,1208 15-1 63-65U,0.03
128.86,2815.7,-1.01,3.88,1208 15-1 70-72 U,-0.11
128.96,2819.1,-0.78,3.78,1208 15-1 80-82 U,0.12
128.96,2819.1,-0.87,3.6,1208 15-1 80-82U,0.03
129.05,2822.5,-0.66,3.33,1208 15-1 90-92 U,0.24
129.36,2832.1,-0.81,3.22,1208 15-1 123-125 U,0.09
129.36,2832.1,-0.83,3.18,1208 15-1 123-125U,0.07
129.43,2834.1,-0.5,3.3,1208 15-1 130-132 U,0.4
129.43,2834.1,-0.49,3.33,1208 15-1 130-132U,0.41
129.52,2837,-0.71,3.42,1208 15-1 140-142U,0.19
129.71,2841.7,-0.74,3.54,1208 15-2 10-12,0.16
129.81,2843.5,-0.75,3.57,1208 15-2 20-22,0.15
129.81,2843.5,-0.88,3.59,1208 15-2 20-22,0.02
129.9,2845.2,-1.04,3.68,1208 15-2 30-32U,-0.14
130.02,2847.5,-0.8,3.62,1208 15-2 43-45,0.1
130.09,2848.8,-1.11,3.78,1208 15-2 50-52,-0.21
130.28,2852.3,-0.81,3.67,1208 15-2 70-72,0.09
130.37,2854,-0.89,3.74,1208 15-2 80-82,0.01
130.47,2855.8,-0.84,3.39,1208 15-2 90-92,0.06
130.56,2857.5,-0.77,3.39,1208 15-2 100-102,0.13
130.66,2860.1,-0.61,3.36,1208 15-2 110-112,0.29
130.78,2863.3,-0.59,3.45,1208 15-2 123-125,0.31
130.85,2865,-0.75,3.35,1208 15-2 130-132 U,0.15
130.94,2867.5,-0.92,3.26,1208 15-2 140-142 U,-0.02
131.04,2870,-0.78,3.32,1208 15-3 0-2U,0.12
131.13,2872.5,-0.92,3.41,1208 15-3 10-12U,-0.02
131.21,2874.5,-0.83,3.53,1208 15-3 18-20U,0.07
131.41,2879.6,-0.84,3.73,1208 15-3 40-42U,0.06
131.51,2881.8,-0.66,3.8,1208 15-3 50-52U,0.24
131.62,2884.4,-0.81,3.76,1208 15-3 62-64U,0.09
131.7,2886.1,-0.83,3.77,1208 15-3 70-72U,0.07
131.79,2888.2,-0.8,3.87,1208 15-3 80-82U,0.1
131.89,2890.4,-0.47,3.43,1208 15-3 91-92U,0.43
131.98,2892.5,-0.84,3.51,1208 15-3 100-102U,0.06
132.08,2894.3,-0.83,3.5,1208 15-3 110-112U,0.07
132.2,2896.5,-0.93,3.28,1208 15-3 123-125U,-0.03
132.26,2897.7,-0.73,3.46,1208 15-3 130-132U,0.17
132.36,2899.5,-0.83,3.41,1208 15-3 140-142U,0.07
132.45,2901.2,-0.72,3.33,1208 15-4 0-2U,0.18
132.55,2903,-0.82,3.42,1208 15-4 10-12U,0.08
132.64,2904.7,-1.05,3.47,1208 15-4 20-22U,-0.15
132.74,2906.4,-0.98,3.53,1208 15-4 30-32U,-0.08
132.81,2907.8,-1.4,3.27,1208 15-4 38-40U,-0.5
132.93,2910,-1.01,3.55,1208 15-4 50-52U,-0.11
133.02,2913.6,-1.04,3.5,1208 15-4 60-62U,-0.14
133.21,2921.1,-1.1,3.8,1208 15-4 80-82U,-0.2
133.3,2924.9,-1.21,3.66,1208 15-4 90-92U,-0.31
133.4,2928.7,-1.02,3.66,1208 15-4 100-102U,-0.12
133.49,2932.4,-1.18,3.64,1208 15-4 110-112U,-0.28
133.62,2937.5,-1.16,3.57,1208 15-4 123-125U,-0.26
133.68,2938.9,-0.92,3.46,1208 15-4 130-132U,-0.02
133.76,2941,-0.66,3.16,1208 15-4 138-140U,0.24
133.78,2941.1,-0.73,3.03,1208 15-4 140-142U,0.17
133.9,2943.9,-0.47,3.38,1208 15-5 3-5 U,0.43
134.08,2948.1,-0.77,3.46,1208-15-5-22-24-U,0.13
134.17,2950.2,-0.5,3.2,1208-15-5-32-34-U,0.4
134.28,2952.6,-0.67,3.54,1208-15-5-43-45-U,0.23
134.34,2954.1,-0.69,3.41,1208 15-5 50-52U,0.21
134.44,2956.3,-0.95,3.52,1208 15-5 60-62U,-0.05
134.63,2960.6,-0.89,3.47,1208 15-5 80-82U,0.01
134.72,2962.7,-0.83,3.73,1208 15-5 90-92U,0.07
134.91,2967.8,-0.87,3.72,1208 15-5 110-112U,0.03
135.03,2971.7,-1.06,3.72,1208 15-5 123-125U,-0.16
135.1,2973.7,-1.08,3.65,1208 15-5 130-132U,-0.18
135.19,2976.7,-1.13,3.73,1208 15-5 140-142U,-0.23
135.38,2982.5,-0.98,3.12,1208 15-6 10-12U,-0.08
135.48,2985.5,-0.75,3.35,1208 15-6 20-22U,0.15
135.67,2991.3,-0.75,3.22,1208 15-6 40-42U,0.15
135.76,2994.2,-0.99,3.31,1208 15-6 50-52U,-0.09
135.86,2997.1,-0.95,3.21,1208 15-6 60-62U,-0.05
135.95,3000,-1.06,3.42,1208 15-6 70-72U,-0.16
136.04,3002.1,-1.39,3.52,1208 15-6 80-82U,-0.49
136.14,3004.2,-1.22,3.7,1208 15-6 90-92U,-0.32
136.23,3006.3,-1.23,3.59,1208 15-6 100-102U,-0.33
136.33,3008.4,-1.11,3.55,1208 15-6 110-112U,-0.21
136.45,3011.1,-1.06,3.68,1208 15-6 123-125U,-0.16
136.52,3012.6,-1.24,3.56,1208 15-6 130-132U,-0.34
136.61,3014.6,-1.27,3.62,1208 15-6 140-142U,-0.37
136.71,3016.7,-1.21,3.71,1208 15-7 0-2U,-0.31
136.8,3018.8,-1.12,3.68,1208 15-7 10-12U,-0.22
136.9,3020.9,-1.3,3.74,1208 15-7 20-22U,-0.4
136.9,3020.9,-1.32,3.5,1208 15-7 20-22 U,-0.42
136.99,3023,-1.28,3.65,1208 15-7 30-32U,-0.38
137.08,3025,-1.35,3.53,1208 15-7 40-42U,-0.45
137.18,3027.9,-1.33,3.48,1208 15-7 50-52U,-0.43
