age_ka,d18O,SL_m,V_LIS,V_EIS,V_AIS,V_GrIS,d18O_LIS,d18O_EIS,d18O_AIS,d18O_GrIS,d18Ow_IV,d18O_T,Tw
2452,3.573693507,-17.203,4.644,7.051,60.158,7.794,-17.485,-18.984,-52.544,-25.093,0.087,0.257,-1.029
2451,3.666929391,-22.205,7.521,8.688,60.307,7.988,-18.222,-19.498,-52.539,-25.158,0.12,0.317,-1.268
2450,3.701694212,-24.108,10.756,10.05,60.511,8.188,-19.139,-20.052,-52.543,-25.261,0.158,0.314,-1.255
2449,3.717233526,-24.964,12.029,10.512,60.602,8.264,-19.975,-20.533,-52.551,-25.359,0.176,0.311,-1.245
2448,3.74247778,-26.365,12.607,10.713,60.646,8.299,-20.684,-20.927,-52.559,-25.443,0.186,0.327,-1.308
2447,3.812404692,-30.3,13.557,11.033,60.72,8.355,-21.331,-21.27,-52.57,-25.521,0.199,0.384,-1.535
2446,3.882331605,-34.317,16.247,11.889,60.951,8.512,-22.065,-21.63,-52.589,-25.621,0.233,0.42,-1.679
2445,3.919390782,-36.479,18.998,12.726,61.22,8.673,-22.846,-22,-52.617,-25.739,0.269,0.42,-1.681
2444,3.934930095,-37.392,20.471,13.169,61.379,8.759,-23.574,-22.336,-52.648,-25.851,0.292,0.413,-1.653
2443,3.950586762,-38.316,21.092,13.355,61.449,8.796,-24.207,-22.619,-52.679,-25.946,0.304,0.417,-1.668
2442,3.970010904,-39.468,21.718,13.544,61.522,8.833,-24.764,-22.863,-52.709,-26.027,0.315,0.425,-1.7
2441,3.989435046,-40.627,22.496,13.78,61.614,8.879,-25.266,-23.079,-52.739,-26.101,0.328,0.431,-1.726
2440,4.001771838,-41.366,23.275,14.017,61.711,8.925,-25.724,-23.274,-52.77,-26.169,0.341,0.431,-1.724
2439,4.005656666,-41.6,23.77,14.169,61.773,8.955,-26.129,-23.443,-52.799,-26.228,0.35,0.426,-1.703
2438,4.009541495,-41.833,23.926,14.217,61.793,8.964,-26.474,-23.583,-52.826,-26.276,0.354,0.426,-1.702
2437,4.0545422,-44.557,24.082,14.265,61.814,8.973,-26.767,-23.698,-52.851,-26.315,0.358,0.467,-1.867
2436,4.10504497,-47.654,25.889,14.828,62.058,9.082,-27.104,-23.844,-52.883,-26.372,0.384,0.491,-1.964
2435,4.1340201,-49.45,27.916,15.478,62.353,9.206,-27.479,-24.021,-52.924,-26.447,0.415,0.489,-1.956
2434,4.114595958,-48.244,29.078,15.86,62.534,9.278,-27.842,-24.196,-52.968,-26.522,0.435,0.45,-1.799
2433,4.095171815,-47.045,28.299,15.603,62.412,9.23,-27.842,-24.196,-52.968,-26.522,0.424,0.441,-1.765
2432,4.112803723,-48.133,27.52,15.349,62.294,9.182,-27.842,-24.196,-52.968,-26.522,0.413,0.469,-1.878
2431,4.143882351,-50.064,28.227,15.58,62.401,9.225,-28.11,-24.311,-53.001,-26.566,0.425,0.488,-1.954
2430,4.155117064,-50.766,29.472,15.992,62.598,9.303,-28.389,-24.441,-53.039,-26.619,0.445,0.48,-1.919
2429,4.061881181,-45.004,29.922,16.143,62.671,9.331,-28.641,-24.558,-53.075,-26.667,0.454,0.378,-1.511
2428,3.968645298,-39.387,26.184,14.921,62.099,9.1,-28.641,-24.558,-53.075,-26.667,0.403,0.336,-1.344
2427,3.868585591,-33.521,22.441,13.763,61.608,8.875,-28.641,-24.558,-53.075,-26.667,0.354,0.285,-1.14
2426,3.763695223,-27.55,18.453,12.562,61.165,8.641,-28.641,-24.558,-53.075,-26.667,0.302,0.231,-0.925
2425,3.659247501,-21.788,14.365,11.296,60.787,8.402,-28.641,-24.558,-53.075,-26.667,0.251,0.178,-0.714
2424,3.593205417,-18.238,10.479,9.945,60.492,8.172,-28.641,-24.558,-53.075,-26.667,0.202,0.162,-0.646
2423,3.527163333,-14.761,8.173,8.991,60.345,8.03,-28.641,-24.558,-53.075,-26.667,0.172,0.125,-0.502
2422,3.496795,-13.187,6.032,7.914,60.226,7.89,-28.641,-24.558,-53.075,-26.667,0.143,0.124,-0.496
