latitude,depth,salinity,Estimated-Measured Salinity [pss-78]
-4.5007,596.813,34.549999,0.017275
-4.5007,696.742,34.548000,0.000516
-4.5007,796.227,34.542500,-0.005929
-4.5007,894.971,34.544102,-0.006742
-4.5007,993.965,34.544899,-0.003766
-4.5007,1093.111,34.551498,-0.004346
-4.5007,1191.616,34.552700,0.000752
-4.5007,1389.377,34.586899,-0.003581
-4.5007,1587.742,34.617599,-0.007106
-4.5007,1784.344,34.626202,-0.001691
-4.5007,1982.044,34.639198,-0.002180
-4.5007,2474.907,34.664001,-0.001239
-4.5007,2612.164,34.667900,-0.001337
-4.3597,7.956,34.726398,-10000000000.000000
-4.3597,21.877,34.726101,0.255449
-4.3597,45.741,34.727402,0.320371
-4.3597,71.590,35.039501,0.110504
-4.3597,96.442,35.173199,0.082712
-4.3597,120.296,35.420898,-0.065181
-4.3597,145.142,35.723000,-0.292551
-4.3597,168.991,35.612000,-0.173901
-4.3597,193.831,35.593700,-0.197523
-4.3597,219.662,35.234402,0.048037
-4.3597,243.502,35.030399,0.133286
-4.3597,294.154,34.804100,0.099474
-4.3597,343.801,34.716000,0.036977
-4.3597,392.443,34.664600,0.021752
-4.3597,443.059,34.637798,0.013997
-4.3597,491.677,34.607700,0.012517
-4.3597,589.872,34.557499,0.010694
-4.3597,690.003,34.550701,-0.000804
-4.3597,788.105,34.532001,0.005618
-4.3597,886.160,34.536598,0.002084
-4.3597,986.148,34.541302,0.001599
-4.3597,1084.111,34.547001,0.000677
-4.3597,1184.005,34.555302,-0.001140
-4.3597,1380.687,34.576900,0.003178
-4.3597,1576.198,34.604500,0.002162
-4.3597,1775.473,34.627899,-0.002975
-4.3597,1974.561,34.639999,-0.002213
-4.3597,2171.496,34.650398,-0.001068
-4.3597,2361.365,34.657700,0.000312
-4.0040,10.641,35.047699,-10000000000.000000
-4.0040,20.386,35.054699,-0.121657
-4.0040,49.817,35.076401,-0.053296
-4.0040,75.666,35.362598,-0.207620
-4.0040,75.666,35.360600,-0.205622
-4.0040,150.112,35.932899,-0.509212
-4.0040,200.588,35.408798,-0.098611
-4.0040,249.960,35.097698,-0.025667
-4.0040,300.015,34.830299,-0.185701
-4.0040,398.797,34.700500,-0.024716
-4.0040,498.426,34.629002,-0.009560
-4.0040,498.426,34.628601,-0.009159
-4.0040,696.945,34.548401,0.000136
-4.0040,796.034,34.535801,0.001981
-4.0040,895.274,34.539001,0.002264
-4.0040,994.368,34.543301,0.003348
-4.0040,1192.712,34.559399,-0.000562
-4.0040,1192.712,34.559799,-0.000963
-4.0040,1587.654,34.595200,0.003241
-4.0040,1785.342,34.620300,0.000318
-4.0040,1981.270,34.634899,0.002322
-4.0040,2475.415,34.659199,0.000198
-4.0040,2475.415,34.659199,0.000198
-4.0000,0.000,35.009998,-10000000000.000000
-4.0000,19.889,35.009998,-0.077635
-4.0000,39.775,35.020000,-0.035772
-4.0000,59.660,35.320000,-0.248870
-4.0000,79.543,35.410000,-0.234315
-4.0000,99.424,35.520000,-0.247867
-4.0000,119.303,35.549999,-0.205058
-4.0000,139.180,35.500000,-0.090369
-4.0000,159.055,35.529999,-0.100859
