depth,d18O_cibs,d13C_cibs
140.80,2.76,-0.45
140.91,2.69,-0.26
140.99,2.80,-0.09
141.10,2.75,-0.40
141.17,2.93,-0.21
141.27,2.75,-0.29
141.34,2.94,-0.49
141.46,2.95,-0.48
141.55,2.96,-0.34
141.62,2.81,-0.61
141.73,2.96,-0.24
141.83,,
141.93,2.53,
142.01,2.56,-0.43
142.11,2.52,-0.10
142.20,2.36,-0.35
142.34,2.40,-0.19
142.43,2.47,-0.11
142.49,2.61,-0.13
142.57,2.41,0.02
142.67,2.48,0.06
142.77,2.68,-0.28
142.86,2.66,0.02
142.96,2.76,-0.02
143.07,2.69,0.09
143.15,2.71,0.21
143.24,2.62,0.10
143.33,2.47,0.24
143.43,2.34,0.23
143.55,2.63,0.20
143.62,2.48,0.24
143.71,2.41,0.24
143.80,2.42,0.01
143.90,2.43,0.03
143.99,2.41,0.15
144.08,2.51,0.33
144.18,2.42,
144.27,2.54,0.02
144.37,2.59,0.15
144.48,2.64,0.06
144.55,2.61,0.10
144.65,2.57,-0.05
144.74,2.43,-0.09
144.84,2.49,0.16
144.93,2.52,0.21
145.02,2.36,0.03
145.14,2.42,0.08
145.21,2.50,0.03
145.31,2.70,-0.25
145.40,2.54,0.01
145.49,2.60,0.06
145.59,2.81,0.01
145.68,2.65,-0.05
145.78,2.58,0.08
145.89,2.67,0.21
145.97,2.64,
146.06,2.60,0.10
146.18,2.65,-0.01
146.24,2.67,0.15
146.34,2.63,0.09
146.45,2.68,0.05
146.53,2.85,-0.03
146.62,2.88,-0.11
146.71,3.05,-0.35
146.81,3.19,-0.19
146.94,3.14,-0.35
147.03,3.25,-0.34
147.23,3.01,-0.20
147.32,,-0.27
147.42,2.97,-0.49
147.49,2.91,-0.32
147.60,2.90,-0.14
147.67,2.82,-0.17
147.79,2.67,0.01
147.87,2.60,-0.04
147.97,2.72,-0.23
148.05,2.70,0.02
148.16,2.72,0.02
148.24,2.72,-0.03
148.36,2.69,-0.14
148.43,2.56,-0.05
148.54,2.77,-0.02
148.64,2.67,-0.02
148.71,2.86,-0.18
148.83,2.76,-0.21
148.90,2.92,-0.11
149.01,2.74,-0.10
149.11,2.70,-0.05
149.20,2.70,-0.07
149.28,2.66,0.14
149.39,2.66,-0.25
149.47,2.58,-0.05
149.58,2.66,-0.11
149.66,2.72,-0.24
149.77,2.79,-0.27
149.84,2.81,-0.36
149.96,2.76,-0.38
150.06,2.82,-0.23
150.13,2.75,-0.14
150.24,2.66,-0.04
150.32,2.54,-0.05
150.43,2.52,-0.06
150.51,2.62,-0.05
150.62,2.55,-0.13
150.69,2.55,-0.02
150.81,2.62,-0.07
150.88,2.63,-0.02
150.95,2.47,-0.02
151.07,2.43,0.00
151.18,2.51,-0.09
151.26,2.34,-0.11
151.37,2.55,-0.16
151.48,2.51,-0.21
151.54,2.42,
151.66,2.53,-0.20
151.73,2.61,-0.19
151.85,2.49,-0.29
151.94,2.48,0.02
152.03,2.58,-0.07
152.11,2.48,-0.10
152.22,2.59,0.11
152.30,,0.31
152.41,2.50,0.07
152.49,2.46,-0.02
152.60,2.51,0.15
152.68,,0.01
152.79,2.43,0.02
152.89,2.36,-0.01
152.96,2.56,-0.15
153.07,2.55,-0.13
153.15,2.50,-0.16
153.26,2.54,0.02
153.34,2.66,0.19
153.45,2.64,0.25
153.55,2.45,0.28
153.64,2.47,0.35
153.72,2.40,0.23
153.83,2.34,0.36
153.90,2.54,0.32
154.02,2.41,0.28
154.09,,0.24
154.21,2.41,0.29
154.31,2.48,0.18
154.38,2.60,0.18
154.49,2.66,0.15
154.57,2.62,0.23
154.68,2.55,0.07
154.77,2.53,0.20
154.87,2.57,0.19
154.94,2.49,0.21
155.06,2.48,0.19
155.13,2.51,0.24
155.25,2.29,0.21
155.32,2.35,0.22
155.43,2.36,0.06
155.51,2.34,0.01
155.62,2.36,0.05
155.73,2.43,0.08
155.79,2.47,0.15
155.91,2.45,-0.12
155.98,2.54,0.03
156.10,2.61,0.18
156.17,2.58,0.12
156.28,2.55,0.22
156.36,2.42,0.26
156.41,2.32,0.17
156.50,2.34,0.11
156.60,2.35,0.29
156.73,2.67,0.20
156.79,2.50,0.39
156.93,2.47,0.34
156.98,2.39,0.23
157.10,2.38,0.40
157.17,2.28,0.37
157.29,2.32,0.04
157.36,2.30,0.07
157.48,2.51,0.10
157.55,2.51,-0.02
157.67,2.56,0.03
157.74,,0.02
157.86,,
157.93,2.64,-0.11
158.05,2.54,-0.01
158.15,2.30,0.01
158.22,,
158.33,2.25,-0.04
158.41,,
158.52,2.46,0.08
158.62,2.52,-0.09
158.71,2.61,-0.10
158.79,2.66,-0.17
158.90,2.51,0.06
158.98,2.65,
159.09,2.40,0.22
159.17,2.36,0.27
159.28,2.17,0.16
159.36,2.19,0.05
159.47,2.43,-0.09
