,mcd_x,age_ka,MgCa,FeCa,AlCa,notes,Unnamed: 6,mcd_y,d13C,d18O,Notes,Unnamed: 5
126,129.36,2832.1,0.96,40.0,447.0,1208_15-1 123-125,,129.36,-0.81,3.22,1208 15-1 123-125 U,0.09
127,129.36,2832.1,0.96,40.0,447.0,1208_15-1 123-125,,129.36,-0.83,3.18,1208 15-1 123-125U,0.07
128,129.43,2834.1,0.9,31.0,46.0,1208_15-1 130-132,,129.43,-0.5,3.3,1208 15-1 130-132 U,0.4
129,129.43,2834.1,0.9,31.0,46.0,1208_15-1 130-132,,129.43,-0.49,3.33,1208 15-1 130-132U,0.41
130,129.52,2837.0,0.77,20.0,16.0,1208_15-1 140-142,,129.52,-0.71,3.42,1208 15-1 140-142U,0.19
131,129.71,2841.7,0.86,8.0,70.0,1208_15-2 10-12,,129.71,-0.74,3.54,1208 15-2 10-12,0.16
132,129.81,2843.5,1.0,41.0,48.0,1208_15-2 20-22,,129.81,-0.75,3.57,1208 15-2 20-22,0.15
133,129.81,2843.5,1.0,41.0,48.0,1208_15-2 20-22,,129.81,-0.88,3.59,1208 15-2 20-22,0.02
134,129.9,2845.2,0.87,31.0,37.0,1208_15-2 30-32,,129.9,-1.04,3.68,1208 15-2 30-32U,-0.14
135,130.02,2847.5,0.79,19.0,38.0,1208_15-2 43-45,,130.02,-0.8,3.62,1208 15-2 43-45,0.1
136,130.09,2848.8,0.88,43.0,64.0,1208_15-2 50-52,,130.09,-1.11,3.78,1208 15-2 50-52,-0.21
137,130.28,2852.3,0.84,18.0,16.0,1208_15-2 70-72,,130.28,-0.81,3.67,1208 15-2 70-72,0.09
138,130.37,2854.0,0.93,28.0,48.0,1208_15-2 80-82,,130.37,-0.89,3.74,1208 15-2 80-82,0.01
139,130.47,2855.8,1.06,31.0,98.0,1208_15-2 90-92,,130.47,-0.84,3.39,1208 15-2 90-92,0.06
140,130.56,2857.5,0.84,21.0,36.0,1208_15-2 100-102,,130.56,-0.77,3.39,1208 15-2 100-102,0.13
141,130.66,2860.1,0.92,32.0,773.0,1208_15-2 110-112,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),130.66,-0.61,3.36,1208 15-2 110-112,0.29
142,130.78,2863.3,0.8,16.0,46.0,1208_15-2 123-125,,130.78,-0.59,3.45,1208 15-2 123-125,0.31
143,130.85,2865.0,0.84,15.0,25.0,1208_15-2 130-132,,130.85,-0.75,3.35,1208 15-2 130-132 U,0.15
144,130.94,2867.5,0.94,17.0,45.0,1208_15-2 140-142,,130.94,-0.92,3.26,1208 15-2 140-142 U,-0.02
145,131.04,2870.0,1.03,28.0,60.0,1208_15-3 0-2,,131.04,-0.78,3.32,1208 15-3 0-2U,0.12
146,131.13,2872.5,0.85,19.0,46.0,1208_15-3 10-12,,131.13,-0.92,3.41,1208 15-3 10-12U,-0.02
147,131.13,2872.5,0.79,14.0,9.0,1208_15-3 10-12,,131.13,-0.92,3.41,1208 15-3 10-12U,-0.02
148,131.21,2874.5,0.99,11.0,495.0,1208_15-3 18-20,,131.21,-0.83,3.53,1208 15-3 18-20U,0.07
149,131.41,2879.6,1.02,7.0,216.0,1208_15-3 40-42,,131.41,-0.84,3.73,1208 15-3 40-42U,0.06
150,131.51,2881.8,0.82,23.0,37.0,1208_15-3 50-52,,131.51,-0.66,3.8,1208 15-3 50-52U,0.24
151,131.62,2884.4,0.96,19.0,25.0,1208_15-3 62-64,,131.62,-0.81,3.76,1208 15-3 62-64U,0.09
152,131.7,2886.1,1.05,23.0,54.0,1208_15-3 70-72,,131.7,-0.83,3.77,1208 15-3 70-72U,0.07
153,131.79,2888.2,0.99,18.0,39.0,1208_15-3 80-82,,131.79,-0.8,3.87,1208 15-3 80-82U,0.1
154,131.98,2892.5,0.89,16.0,1068.0,1208_15-3 100-102,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),131.98,-0.84,3.51,1208 15-3 100-102U,0.06
155,132.08,2894.3,0.94,29.0,595.0,1208 15-3 110-112,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),132.08,-0.83,3.5,1208 15-3 110-112U,0.07
156,132.2,2896.5,0.93,,32.0,1208 15-3 123-125,,132.2,-0.93,3.28,1208 15-3 123-125U,-0.03
157,132.26,2897.7,0.9,19.0,19.0,1208 15-3 130-132,,132.26,-0.73,3.46,1208 15-3 130-132U,0.17
158,132.36,2899.5,1.02,18.0,21.0,1208 15-3 140-142,,132.36,-0.83,3.41,1208 15-3 140-142U,0.07
159,132.45,2901.2,0.88,25.0,28.0,1208 15-4 0-2,,132.45,-0.72,3.33,1208 15-4 0-2U,0.18
160,132.55,2903.0,1.03,17.0,7.0,1208 15-4 10-12,,132.55,-0.82,3.42,1208 15-4 10-12U,0.08
161,132.64,2904.7,0.9,15.0,17.0,1208 15-4 20-22,,132.64,-1.05,3.47,1208 15-4 20-22U,-0.15
162,132.74,2906.4,0.75,12.0,12.0,1208 15-4 30-32,,132.74,-0.98,3.53,1208 15-4 30-32U,-0.08
163,133.4,2928.7,0.84,,50.0,1208 15-4 100-102,,133.4,-1.02,3.66,1208 15-4 100-102U,-0.12
164,133.4,2928.7,0.83,,74.0,1208 15-4 100-102R,,133.4,-1.02,3.66,1208 15-4 100-102U,-0.12
165,133.49,2932.4,0.79,16.0,47.0,1208 15-4 110-112,,133.49,-1.18,3.64,1208 15-4 110-112U,-0.28
166,133.68,2938.9,0.88,13.0,35.0,1208 15-4 130-132,,133.68,-0.92,3.46,1208 15-4 130-132U,-0.02
167,134.91,2967.8,1.02,16.0,422.0,1208 15-5 110-112,sample with Fe/Ca or Al/Ca values which fall outside 2 s.d. of the mean values measured (see supplementary text),134.91,-0.87,3.72,1208 15-5 110-112U,0.03
168,135.03,2971.7,0.92,13.0,11.0,1208 15-5 123-125,,135.03,-1.06,3.72,1208 15-5 123-125U,-0.16
169,135.03,2971.7,0.87,34.0,16.0,1208 15-5 123-125R,,135.03,-1.06,3.72,1208 15-5 123-125U,-0.16
170,135.1,2973.7,0.97,16.0,12.0,1208 15-5 130-132,,135.1,-1.08,3.65,1208 15-5 130-132U,-0.18
171,135.19,2976.7,0.83,16.0,23.0,1208 15-5 140-142,,135.19,-1.13,3.73,1208 15-5 140-142U,-0.23
172,135.38,2982.5,1.0,16.0,22.0,1208 15-6 10-12,,135.38,-0.98,3.12,1208 15-6 10-12U,-0.08
