age_ka,temp,temp_min1,temp_add1,temp_min2,temp_add2,d18O_sw,d18O_sw_min1,d18O_sw_add_1,d18O_sw_min2,d18O_sw_add2
3037.1,-0.37562,-2.3762,1.6136,-4.1517,3.9911,0.50362,0.051521,0.94738,-0.39879,1.4671
3040,0.60234,-1.5027,2.8114,-3.592,4.9311,0.8578,0.36721,1.3435,-0.1121,1.8016
3045.7,0.59507,-1.4831,2.7894,-3.6054,4.9243,0.85758,0.37442,1.3318,-0.096487,1.7562
3047.9,0.33797,-1.6077,2.4602,-3.7428,4.7037,0.69708,0.26832,1.1643,-0.15285,1.6046
3049.4,-0.5407,-2.7163,1.5312,-4.4223,3.7229,0.38772,-0.085537,0.89215,-0.47044,1.3636
3052.9,-0.71541,-2.8187,1.2638,-4.6971,3.191,0.24318,-0.20081,0.68087,-0.61144,1.0576
3055,-0.056801,-2.0176,1.9442,-4.2103,4.146,0.44979,-0.014148,0.88241,-0.48942,1.4083
3056.4,-0.042919,-1.9645,1.9851,-3.7725,3.8452,0.40238,-0.029248,0.8253,-0.43497,1.2955
3058,-0.14794,-2.109,1.8384,-4.0805,3.9553,0.3807,-0.044609,0.81168,-0.47019,1.247
3061.5,-0.22244,-2.1359,1.7563,-4.2111,3.9199,0.37984,-0.042434,0.80454,-0.47276,1.253
3063.2,0.83423,-1.319,3.0958,-3.4283,5.1664,0.5474,0.1072,1.0378,-0.34725,1.469
3065.1,1.9046,-0.19978,3.9604,-2.1682,6.1057,0.7155,0.26377,1.1542,-0.16572,1.6209
3067.1,0.50383,-1.6564,2.9485,-3.8477,5.365,0.40823,-0.063471,0.93095,-0.53108,1.4754
3070.5,0.81521,-1.278,2.82,-3.5036,4.9253,0.48568,0.023282,0.92711,-0.44731,1.4216
3072.9,1.4242,-0.56245,3.3546,-2.3755,5.5399,0.70699,0.27196,1.1559,-0.12129,1.6269
3075.4,1.0738,-1.0089,2.9878,-2.8836,4.959,0.65975,0.20584,1.0707,-0.19333,1.5059
3077.8,1.1144,-1.0365,3.2541,-2.8501,5.0045,0.61666,0.16871,1.0746,-0.24166,1.4918
3080.3,1.7819,-0.17188,3.7468,-2.1479,5.516,0.74264,0.32035,1.1673,-0.099413,1.5776
