age_ka,SL_m,V_LIS,V_EIS,V_AIS,V_GrIS,d18O_LIS,d18O_EIS,d18O_AIS,d18O_GrIS,Dd18O_ice,Dd18O_temp,SeaTemp
4529.00000,6.54100,0.00000,0.00000,54.28700,3.78700,-15.00000,-15.00000,-48.85400,-19.00000,-0.13800,-0.00516,0.02100
4528.00000,6.05400,0.00000,0.00000,54.53000,4.03000,-15.00000,-15.00000,-49.10100,-19.49500,-0.12900,-0.00254,0.01000
4527.00000,5.56600,0.00000,0.00000,54.77300,4.27300,-15.00000,-15.00000,-49.32400,-19.92500,-0.12100,-0.00022,0.00089
4526.00000,5.07500,0.00000,0.00000,55.01700,4.51700,-15.00000,-15.00000,-49.52700,-20.31100,-0.11300,0.00250,-0.01000
4525.00000,5.25700,0.00000,0.00000,55.26200,4.76200,-15.00000,-15.00000,-49.71300,-20.66900,-0.10500,-0.00933,0.03700
4524.00000,5.45300,0.00000,0.00000,55.17100,4.67100,-15.00000,-15.00000,-49.71300,-20.66900,-0.10700,-0.01200,0.04700
4523.00000,5.64900,0.00000,0.00000,55.07300,4.57300,-15.00000,-15.00000,-49.71300,-20.66900,-0.10900,-0.01400,0.05600
4522.00000,5.84500,0.00000,0.00000,54.97500,4.47500,-15.00000,-15.00000,-49.71300,-20.66900,-0.11100,-0.01600,0.06600
4521.00000,5.96700,0.00000,0.00000,54.87800,4.37800,-15.00000,-15.00000,-49.71300,-20.66900,-0.11300,-0.01700,0.06900
4520.00000,5.96700,0.00000,0.00000,54.81600,4.31600,-15.00000,-15.00000,-49.71300,-20.66900,-0.11400,-0.01600,0.06400
4519.00000,5.96700,0.00000,0.00000,54.81600,4.31600,-15.00000,-15.00000,-49.85800,-20.75700,-0.11300,-0.01700,0.06900
4518.00000,5.96700,0.00000,0.00000,54.81600,4.31600,-15.00000,-15.00000,-49.98400,-20.81900,-0.11100,-0.01900,0.07500
4517.00000,5.96700,0.00000,0.00000,54.81600,4.31600,-15.00000,-15.00000,-50.09400,-20.86200,-0.11000,-0.02000,0.07900
4516.00000,7.19100,0.00000,0.00000,54.81600,4.31600,-15.00000,-15.00000,-50.18900,-20.89200,-0.10900,-0.04800,0.19300
4515.00000,8.77500,0.00000,0.00000,54.20500,3.70500,-15.00000,-15.00000,-50.18900,-20.89200,-0.12200,-0.07200,0.28600
4514.00000,10.33800,0.00000,0.00000,49.02500,2.91300,-15.00000,-15.00000,-50.18900,-20.89200,-0.20000,-0.02900,0.11400
4513.00000,11.87900,0.00000,0.00000,47.46200,2.13100,-15.00000,-15.00000,-50.18900,-20.89200,-0.22600,-0.03800,0.15400
4512.00000,13.39900,0.00000,0.00000,45.92100,1.36000,-15.00000,-15.00000,-50.18900,-20.89200,-0.25300,-0.04800,0.19100
4511.00000,13.64400,0.00000,0.00000,44.40100,0.60000,-15.00000,-15.00000,-50.18900,-20.89200,-0.27900,-0.02800,0.11100
4510.00000,13.44700,0.00000,0.00000,44.15600,0.47800,-15.00000,-15.00000,-50.18900,-20.89200,-0.28300,-0.01900,0.07600
4509.00000,13.24900,0.00000,0.00000,44.35300,0.57700,-15.00000,-15.00000,-49.85900,-17.89400,-0.28600,-0.01100,0.04400
4508.00000,13.05100,0.00000,0.00000,44.55100,0.67500,-15.00000,-15.00000,-49.58300,-16.82200,-0.28700,-0.00520,0.02100
4507.00000,12.85300,0.00000,0.00000,44.74900,0.77400,-15.00000,-15.00000,-49.35500,-16.45300,-0.28700,-0.00037,0.00147
4506.00000,12.65400,0.00000,0.00000,44.94700,0.87400,-15.00000,-15.00000,-49.16800,-16.36400,-0.28600,0.00280,-0.01100
4505.00000,12.72900,0.00000,0.00000,45.14600,0.97300,-15.00000,-15.00000,-49.01500,-16.39400,-0.28500,0.00059,-0.00235
4504.00000,13.32400,0.00000,0.00000,45.07100,0.93500,-15.00000,-15.00000,-49.01500,-16.39400,-0.28700,-0.01200,0.04900
4503.00000,13.91500,0.00000,0.00000,44.47600,0.63800,-15.00000,-15.00000,-49.01500,-16.39400,-0.29600,-0.01700,0.06800
4502.00000,14.50300,0.00000,0.00000,43.88500,0.34300,-15.00000,-15.00000,-49.01500,-16.39400,-0.30500,-0.02200,0.08600
