site,hole,core,section,top,bottom,mcd,age_ka,d18O,FeCa,MnCa,AlCa,MgCa,BWT,d18O_sw,RSL
1313,B,12,5,60,62,120.54,2540.88,3.42,0.108,0.523,0.145,1.99,6.62,0.32,-28.81
1313,B,12,5,62,64,120.56,2541.27,3.11,0.131,0.438,0.041,1.94,6.43,-0.01,0.70
1313,B,12,5,64,66,120.58,2541.67,3.33,0.143,0.482,0.064,1.95,6.45,0.21,-19.48
1313,B,12,5,66,68,120.60,2542.07,3.11,0.141,0.583,,1.88,6.16,-0.02,2.01
1313,B,12,5,68,70,120.62,2542.47,2.97,0.136,0.750,,2.09,7.08,-0.12,10.56
1313,B,12,5,70,72,120.64,2542.87,3.05,0.169,0.415,0.180,1.97,6.56,-0.05,4.90
1313,B,12,5,72,74,120.66,2543.27,3.07,0.156,0.535,,2.16,7.35,0.01,-0.57
1313,B,12,5,74,76,120.68,2543.67,2.97,0.100,0.384,,1.78,5.65,-0.18,16.75
1313,B,12,5,76,78,120.70,2544.07,2.78,0.102,0.518,,1.99,6.65,-0.33,29.60
1313,B,12,5,78,80,120.72,2544.47,2.84,0.105,0.508,,2.22,7.60,-0.22,19.64
1313,B,12,5,80,82,120.74,2544.87,3.01,0.165,0.429,0.307,2.05,6.92,-0.08,7.36
1313,B,12,5,82,84,120.76,2545.26,2.65,0.069,0.435,,1.88,6.12,-0.48,43.63
1313,B,12,5,84,86,120.78,2545.66,2.93,0.122,0.549,,2.18,7.44,-0.14,12.52
1313,B,12,5,86,88,120.80,2546.06,2.75,0.078,0.502,,1.93,6.38,-0.37,33.56
1313,B,12,5,88,90,120.82,2546.46,2.76,0.100,0.447,,2.01,6.72,-0.34,30.47
1313,B,12,5,90,92,120.84,2546.86,2.88,0.086,0.387,0.219,2.31,7.95,-0.16,14.39
1313,B,12,5,92,94,120.86,2547.26,2.63,0.070,0.462,,2.11,7.17,-0.44,40.22
1313,B,12,5,94,96,120.88,2547.66,2.74,0.178,0.449,0.230,2.24,7.69,-0.31,27.85
1313,B,12,5,96,98,120.90,2548.06,2.69,0.075,0.378,,2.12,7.19,-0.38,34.79
1313,B,12,5,98,100,120.92,2548.46,2.76,0.104,0.367,0.045,2.03,6.82,-0.33,30.36
1313,B,12,5,100,102,120.94,2548.85,2.76,0.111,0.526,0.153,2.22,7.62,-0.30,26.99
1313,B,12,5,108,110,121.02,2550.45,3.12,0.057,0.420,0.324,2.26,7.77,0.07,-6.69
1313,B,12,5,110,112,121.04,2550.85,2.86,0.137,0.450,0.157,2.20,7.52,-0.19,17.72
1313,B,12,5,116,118,121.10,2552.05,3.13,0.079,0.661,0.946,2.20,7.52,0.07,-6.44
1313,B,12,5,120,122,121.14,2552.84,3.18,0.072,0.323,0.233,2.16,7.38,0.11,-10.35
1313,B,12,5,124,126,121.18,2553.64,3.17,0.079,0.468,0.680,1.91,6.27,0.05,-4.40
1313,B,12,5,128,130,121.22,2554.44,3.24,0.085,0.639,0.640,1.94,6.43,0.13,-11.51
1313,B,12,5,130,132,121.24,2554.84,3.05,0.213,0.546,0.185,2.23,7.67,0.00,0.06
1313,B,12,5,132,134,121.26,2555.24,3.14,0.105,0.390,0.245,2.11,7.15,0.06,-5.70
1313,B,12,5,138,140,121.32,2556.43,3.38,0.083,0.532,0.278,1.95,6.47,0.27,-24.39
1313,B,12,5,140,142,121.34,2556.83,3.00,0.114,0.321,0.166,1.89,6.21,-0.12,11.04
1313,B,12,5,142,144,121.36,2557.21,3.39,0.089,0.561,0.132,2.02,6.80,0.30,-26.83
1313,B,12,5,144,146,121.38,2557.59,3.23,0.123,0.966,0.329,2.45,8.48,0.22,-19.92
1313,B,12,5,148,150,121.42,2558.35,3.15,0.142,0.371,0.405,1.94,6.42,0.04,-3.27
1313,B,12,6,4,6,121.49,2559.65,3.35,0.086,0.421,0.241,2.06,6.96,0.26,-23.89
1313,B,12,6,14,16,121.59,2561.30,3.54,0.149,0.859,0.234,2.02,6.79,0.44,-40.40
1313,B,12,6,22,24,121.66,2562.40,3.82,0.101,0.454,0.561,2.01,6.75,0.72,-65.66
1313,B,12,6,30,32,121.74,2563.72,3.56,0.091,0.486,1.862,2.00,6.71,0.46,-41.85
1313,B,12,6,34,36,121.78,2564.37,3.62,0.110,0.545,0.198,2.16,7.39,0.55,-50.41
1313,B,12,6,38,40,121.82,2565.03,3.77,0.122,0.840,0.151,2.24,7.70,0.72,-65.47
1313,B,12,6,42,44,121.86,2565.69,,0.103,0.349,0.157,2.15,7.36,,
1313,B,12,6,54,56,121.98,2567.67,3.52,0.100,0.498,0.130,2.20,7.55,0.46,-42.05
1313,B,12,6,62,64,122.06,2568.99,3.73,0.200,1.505,0.224,2.40,8.29,0.71,-64.49
1313,B,12,6,70,72,122.14,2570.31,3.50,0.098,0.710,0.152,2.03,6.84,0.41,-37.00
1313,B,12,6,78,80,122.22,2571.62,3.40,0.109,0.705,0.204,2.03,6.82,0.31,-27.83
1313,B,12,6,86,88,122.30,2572.94,3.39,0.090,0.448,0.151,2.39,8.28,0.37,-33.57
1313,B,12,6,94,96,122.38,2574.25,3.59,0.096,0.734,0.173,2.24,7.71,0.54,-49.14
1313,B,12,6,102,104,122.46,2575.57,3.27,0.078,0.567,0.201,2.01,6.76,0.17,-15.73
1313,B,12,6,110,112,122.54,2577.12,3.19,0.097,0.435,0.183,2.45,8.49,0.18,-16.34
1313,B,12,6,118,120,122.62,2578.67,3.33,,,,,,,
1313,C,13,3,2,4,122.82,2583.08,3.16,0.083,0.435,,2.21,7.59,0.10,-9.52
1313,C,13,3,10,12,122.90,2584.90,3.20,0.081,0.351,,2.02,6.81,0.11,-9.58
1313,C,13,3,16,18,122.97,2586.46,3.14,0.169,0.367,,1.98,6.63,0.04,-3.33
1313,C,13,3,18,20,123.00,2587.11,3.25,0.586,0.412,0.056,2.28,7.87,0.21,-18.96
1313,C,13,3,26,28,123.05,2588.40,3.18,0.105,0.355,0.866,2.96,10.16,0.25,-23.01
1313,C,13,3,32,34,123.11,2589.70,3.26,0.465,0.365,1.340,2.76,9.55,0.30,-27.50
