label,mbsf,mcd,rmcd,age_ka,d18O,d13C,Reference
"138-849D-8H-4,66",75.66,86.541,42.2756,3127.15,3.39,-0.31,"Mix et al., 1995"
"138-849D-8H-4,76",75.76,86.641,42.3365,3130.94,3.38,-0.36,"Mix et al., 1995"
"138-849D-8H-4,86",75.86,86.741,42.3973,3134.72,3.51,-0.54,"Mix et al., 1995"
"138-849D-8H-4,96",75.96,86.841,42.4582,3138.51,3.46,-0.5,"Mix et al., 1995"
"138-849D-8H-4,106",76.06,86.941,42.5191,3141.79,3.55,-0.4,"Mix et al., 1995"
"138-849D-8H-4,116",76.16,87.041,42.58,3145.06,3.44,-0.6,"Mix et al., 1995"
"138-849D-8H-4,126",76.26,87.141,42.6408,3148.34,3.2,-0.18,"Mix et al., 1995"
"138-849D-8H-4,136",76.36,87.241,42.7017,3151.62,2.74,-0.21,"Mix et al., 1995"
"138-849D-8H-4,146",76.46,87.341,42.7626,3154.89,2.87,-0.11,"Mix et al., 1995"
"138-849D-8H-5,6",76.56,87.441,42.8235,3158.17,2.98,-0.2,"Mix et al., 1995"
"138-849D-8H-5,16",76.66,87.541,42.8843,3161.45,2.89,0.09,"Mix et al., 1995"
"138-849D-8H-5,26",76.76,87.641,42.9452,3164.73,2.95,0.05,"Mix et al., 1995"
"138-849D-8H-5,36",76.86,87.741,43.0061,3168,3.17,-0.01,"Mix et al., 1995"
"138-849D-8H-5,46",76.96,87.841,43.067,3171.28,3.21,0.05,"Mix et al., 1995"
"138-849D-8H-5,56",77.06,87.941,43.1278,3174.56,3.2,0.15,"Mix et al., 1995"
"138-849D-8H-5,66",77.16,88.041,43.1875,3177.83,3.31,0.07,"Mix et al., 1995"
"138-849D-8H-5,76",77.26,88.141,43.2283,3181.11,3.14,0.22,"Mix et al., 1995"
"138-849D-8H-5,86",77.36,88.241,43.2691,3184.39,3.16,0.4,"Mix et al., 1995"
"138-849D-8H-5,96",77.46,88.341,43.3098,3187.66,3.07,0.42,"Mix et al., 1995"
"138-849D-8H-5,106",77.56,88.441,43.3506,3190.94,3.13,0.2,"Mix et al., 1995"
"138-849D-8H-5,116",77.66,88.541,43.3914,3194.22,3.17,0.33,"Mix et al., 1995"
"138-849D-8H-5,126",77.76,88.641,43.4322,3197.5,3.11,0.29,"Mix et al., 1995"
"138-849D-8H-5,136",77.86,88.741,43.473,3200.77,3.13,0.39,"Mix et al., 1995"
"138-849D-8H-5,146",77.96,88.841,43.5138,3204.05,3.12,0.34,"Mix et al., 1995"
"138-849D-8H-6,6",78.06,88.941,43.5545,3207.33,3.15,0.42,"Mix et al., 1995"
"138-849D-8H-6,16",78.16,89.041,43.5976,3210.6,3.2,0.22,"Mix et al., 1995"
"138-849D-8H-6,26",78.26,89.141,43.6473,3213.88,3.23,0.31,"Mix et al., 1995"
"138-849D-8H-6,36",78.36,89.241,43.697,3217.16,3.21,0.27,"Mix et al., 1995"
"138-849D-8H-6,46",78.46,89.341,43.7467,3220.43,3.27,0.17,"Mix et al., 1995"
"138-849D-8H-6,56",78.56,89.441,43.7963,3223.71,3.29,0.22,"Mix et al., 1995"
"138-849D-8H-6,66",78.66,89.541,43.846,3227.1,3.24,0.1,"Mix et al., 1995"
"138-849D-8H-6,76",78.76,89.641,43.8957,3230.48,2.98,0.01,"Mix et al., 1995"
"138-849D-8H-6,86",78.86,89.741,43.9454,3233.87,3.23,0.34,"Mix et al., 1995"
"138-849D-8H-6,96",78.96,89.841,43.9951,3237.26,3.09,0.28,"Mix et al., 1995"
"138-849C-9H-1,56",77.56,89.895,44.0219,3239.08,3.16,0.27,"Mix et al., 1995"
"138-849C-9H-1,66",77.66,89.995,44.0716,3242.47,3.13,0.27,"Mix et al., 1995"
"138-849C-9H-1,76",77.76,90.095,44.1112,3245.85,2.99,0.18,"Mix et al., 1995"
"138-849C-9H-1,86",77.86,90.195,44.15,3249.24,2.97,-0.09,"Mix et al., 1995"
"138-849C-9H-1,96",77.96,90.295,44.1888,3252.62,2.92,-0.04,"Mix et al., 1995"
"138-849C-9H-1,106",78.06,90.395,44.2276,3256.01,3.08,-0.22,"Mix et al., 1995"
"138-849C-9H-1,116",78.16,90.495,44.2664,3259.39,3.19,0.11,"Mix et al., 1995"
"138-849C-9H-1,126",78.26,90.595,44.3052,3262.78,3.03,-0.05,"Mix et al., 1995"
"138-849C-9H-1,136",78.36,90.695,44.3441,3266.16,3.22,0.12,"Mix et al., 1995"
"138-849C-9H-1,146",78.46,90.795,44.3829,3269.55,3.21,0.01,"Mix et al., 1995"
"138-849C-9H-2,6",78.56,90.895,44.4217,3272.93,3.23,0.18,"Mix et al., 1995"
"138-849C-9H-2,16",78.66,90.995,44.4605,3276.32,3.38,-0.13,"Mix et al., 1995"
"138-849C-9H-2,26",78.76,91.095,44.5236,3279.7,3.16,-0.05,"Mix et al., 1995"
"138-849C-9H-2,36",78.86,91.195,44.5958,3283.09,3.44,-0.3,"Mix et al., 1995"
"138-849C-9H-2,46",78.96,91.295,44.6679,3286.47,3.68,-0.43,"Mix et al., 1995"
"138-849C-9H-2,56",79.06,91.395,44.7401,3289.84,3.72,-0.33,"Mix et al., 1995"
"138-849C-9H-2,66",79.16,91.495,44.8123,3293.24,3.62,-0.37,"Mix et al., 1995"
"138-849C-9H-2,76",79.26,91.595,44.8844,3297.15,3.66,-0.44,"Mix et al., 1995"
"138-849C-9H-2,86",79.36,91.695,44.9566,3301.05,3.36,-0.36,"Mix et al., 1995"
"138-849C-9H-2,96",79.46,91.795,45.0287,3304.95,3.43,-0.38,"Mix et al., 1995"
"138-849C-9H-2,106",79.56,91.895,45.0935,3308.86,3.41,-0.31,"Mix et al., 1995"
"138-849C-9H-2,116",79.66,91.995,45.1449,3312.76,3.46,-0.19,"Mix et al., 1995"
"138-849C-9H-2,126",79.76,92.095,45.1964,3316.66,3.22,0.01,"Mix et al., 1995"
"138-849C-9H-2,136",79.86,92.195,45.2382,3320.57,3.06,0.05,"Mix et al., 1995"
"138-849C-9H-2,146",79.96,92.295,45.2793,3324.47,3.115,-0.24,"Mix et al., 1995"
"138-849C-9H-3,6",80.06,92.395,45.3204,3328.37,3.3,-0.4,"Mix et al., 1995"
"138-849C-9H-3,16",80.16,92.495,45.3615,3332.28,3.19,-0.24,"Mix et al., 1995"
"138-849C-9H-3,26",80.26,92.595,45.4026,3336.18,3.12,-0.14,"Mix et al., 1995"
"138-849C-9H-3,36",80.36,92.695,45.4437,3340.08,3.25,-0.11,"Mix et al., 1995"
"138-849D-9H-1,26",80.26,92.7531,45.4676,3342.35,3.41,-0.06,"Mix et al., 1995"
"138-849D-9H-1,36",80.36,92.8531,45.5087,3346.25,3.27,-0.18,"Mix et al., 1995"
"138-849D-9H-1,46",80.46,92.9531,45.5498,3350.16,3.26,-0.23,"Mix et al., 1995"
"138-849D-9H-1,56",80.56,93.0531,45.5909,3354.06,3.38,-0.23,"Mix et al., 1995"
"138-849D-9H-1,66",80.66,93.1531,45.6434,3357.96,3.335,-0.02,"Mix et al., 1995"
"138-849D-9H-1,76",80.76,93.2531,45.6974,3357.96,3.3,-0.18,"Mix et al., 1995"
"138-849D-9H-1,86",80.86,93.3531,45.7514,3361.86,3.2,-0.24,"Mix et al., 1995"
"138-849D-9H-1,96",80.96,93.4531,45.8054,3369.67,3.48,-0.11,"Mix et al., 1995"
"138-849D-9H-1,106",81.06,93.5531,45.8594,3373.57,3.4,-0.27,"Mix et al., 1995"
"138-849D-9H-1,116",81.16,93.6531,45.9134,3377.48,3.4,-0.28,"Mix et al., 1995"
"138-849D-9H-1,126",81.26,93.7531,45.9674,3381.38,3.51,-0.23,"Mix et al., 1995"
"138-849D-9H-1,136",81.36,93.8531,46.0302,3385.6,3.27,-0.29,"Mix et al., 1995"
"138-849D-9H-1,146",81.46,93.9531,46.1065,3389.83,3.15,-0.05,"Mix et al., 1995"
"138-849D-9H-2,6",81.56,94.0531,46.1828,3394.05,3.03,-0.01,"Mix et al., 1995"
"138-849D-9H-2,16",81.66,94.1531,46.2524,3398.28,3,0.01,"Mix et al., 1995"
"138-849D-9H-2,26",81.76,94.2531,46.311,3402.5,3.19,-0.17,"Mix et al., 1995"
"138-849D-9H-2,36",81.86,94.3531,46.3697,3406.73,3.25,-0.17,"Mix et al., 1995"
"138-849D-9H-2,46",81.96,94.4531,46.4284,3410.95,3.12,-0.05,"Mix et al., 1995"
"138-849D-9H-2,66",82.16,94.6531,46.5458,3419.4,3.08,-0.2,"Mix et al., 1995"
"138-849D-9H-2,76",82.26,94.7531,46.6045,3423.63,2.99,-0.25,"Mix et al., 1995"
"138-849D-9H-2,86",82.36,94.8531,46.6631,3427.85,3.26,-0.44,"Mix et al., 1995"
"138-849D-9H-2,96",82.46,94.9531,46.7218,3432.08,3.15,-0.32,"Mix et al., 1995"
"138-849D-9H-2,106",82.56,95.0531,46.7804,3436.3,2.96,-0.41,"Mix et al., 1995"
"138-849D-9H-2,116",82.66,95.1531,46.8374,3440.53,2.86,-0.31,"Mix et al., 1995"
"138-849D-9H-2,146",82.96,95.4531,47.0085,3453.2,2.84,0.11,"Mix et al., 1995"
"138-849D-9H-3,6",83.06,95.5531,47.0655,3457.43,3,0.06,"Mix et al., 1995"
"138-849D-9H-3,16",83.16,95.6531,47.1226,3461.65,3.16,-0.3,"Mix et al., 1995"
"138-849D-9H-3,26",83.26,95.7531,47.1796,3465.88,3.12,-0.04,"Mix et al., 1995"
"138-849D-9H-3,36",83.36,95.8531,47.2366,3470.1,3.23,-0.2,"Mix et al., 1995"
"138-849D-9H-3,46",83.46,95.9531,47.2937,3473.87,3.18,-0.23,"Mix et al., 1995"
"138-849D-9H-3,56",83.56,96.0531,47.3507,3477.64,3.1,0.04,"Mix et al., 1995"
"138-849D-9H-3,66",83.66,96.1531,47.4078,3481.41,2.92,0.24,"Mix et al., 1995"
"138-849D-9H-3,76",83.76,96.2531,47.4587,3485.18,2.94,0.16,"Mix et al., 1995"
"138-849D-9H-3,86",83.86,96.3531,47.4923,3488.96,2.85,0.15,"Mix et al., 1995"
"138-849D-9H-3,106",84.06,96.5531,47.5595,3496.5,2.94,0.22,"Mix et al., 1995"
"138-849D-9H-3,116",84.16,96.6531,47.5931,3500.27,2.94,0.08,"Mix et al., 1995"
"138-849D-9H-3,126",84.26,96.7531,47.6267,3504.04,3.05,0.02,"Mix et al., 1995"
"138-849D-9H-3,136",84.36,96.8531,47.6602,3507.81,3.04,-0.05,"Mix et al., 1995"
"138-849D-9H-3,146",84.46,96.9531,47.6938,3511.58,3.07,0.02,"Mix et al., 1995"
"138-849D-9H-4,6",84.56,97.0531,47.7274,3515.35,3.14,0.1,"Mix et al., 1995"
"138-849D-9H-4,16",84.66,97.1531,47.761,3517.99,3.07,-0.07,"Mix et al., 1995"
"138-849D-9H-4,26",84.76,97.2531,47.7946,3520.63,3.13,0.15,"Mix et al., 1995"
"138-849D-9H-4,36",84.86,97.3531,47.8282,3523.26,3.055,-0.03,"Mix et al., 1995"
"138-849D-9H-4,46",84.96,97.4531,47.8618,3525.9,3.12,0,"Mix et al., 1995"
"138-849D-9H-4,56",85.06,97.5531,47.8954,3528.54,3.08,0.11,"Mix et al., 1995"
"138-849D-9H-4,66",85.16,97.6531,47.929,3531.18,3.05,0,"Mix et al., 1995"
"138-849D-9H-4,76",85.26,97.7531,47.9626,3533.82,2.98,-0.13,"Mix et al., 1995"
"138-849D-9H-4,96",85.46,97.9531,48.0297,3539.09,3.03,-0.17,"Mix et al., 1995"
"138-849D-9H-4,106",85.56,98.0531,48.0633,3541.73,3.15,-0.34,"Mix et al., 1995"
"138-849D-9H-4,116",85.66,98.1531,48.0969,3544.37,3.14,-0.34,"Mix et al., 1995"
"138-849D-9H-4,126",85.76,98.2531,48.1305,3547.01,3.17,-0.34,"Mix et al., 1995"
"138-849D-9H-4,136",85.86,98.3531,48.1641,3549.65,3.2,-0.32,"Mix et al., 1995"
"138-849D-9H-4,146",85.96,98.4531,48.1977,3553.54,3.14,-0.28,"Mix et al., 1995"
"138-849D-9H-5,6",86.06,98.5531,48.2313,3557.43,3.12,-0.01,"Mix et al., 1995"
"138-849D-9H-5,16",86.16,98.6531,48.2649,3561.33,3.26,0.11,"Mix et al., 1995"
"138-849D-9H-5,26",86.26,98.7531,48.2985,3565.22,2.92,0.13,"Mix et al., 1995"
"138-849D-9H-5,36",86.36,98.8531,48.332,3569.12,2.96,0.1,"Mix et al., 1995"
"138-849D-9H-5,46",86.46,98.9531,48.3656,3573.01,2.88,0.05,"Mix et al., 1995"
"138-849D-9H-5,56",86.56,99.0531,48.3992,3576.91,2.74,0.21,"Mix et al., 1995"
"138-849D-9H-5,66",86.66,99.1531,48.4328,3580.8,3.02,0.06,"Mix et al., 1995"
"138-849D-9H-5,76",86.76,99.2531,48.4664,3584.7,3.29,0.1,"Mix et al., 1995"
"138-849D-9H-5,86",86.86,99.3531,48.5,3588.59,3.29,-0.16,"Mix et al., 1995"
"138-849D-9H-5,96",86.96,99.4531,48.5583,3592.49,3.42,0.11,"Mix et al., 1995"
"138-849D-9H-5,106",87.06,99.5531,48.6167,3596.38,3.23,0.23,"Mix et al., 1995"
"138-849D-9H-5,116",87.16,99.6531,48.675,3600.28,3.2,0.18,"Mix et al., 1995"
"138-849D-9H-5,126",87.26,99.7531,48.7333,3604.17,3.24,0.03,"Mix et al., 1995"
"138-849D-9H-5,136",87.36,99.8531,48.7917,3608.07,3.21,0.29,"Mix et al., 1995"
"138-849D-9H-5,146",87.46,99.9531,48.85,3611.96,3.16,0.13,"Mix et al., 1995"
"138-849D-9H-6,6",87.56,100.053,48.9083,3615.86,3.21,-0.36,"Mix et al., 1995"
"138-849D-9H-6,16",87.66,100.153,48.9667,3619.75,3.29,-0.14,"Mix et al., 1995"
"138-849D-9H-6,26",87.76,100.253,49.025,3623.65,3.46,-0.17,"Mix et al., 1995"
"138-849D-9H-6,36",87.86,100.353,49.0833,3624.98,3.47,-0.05,"Mix et al., 1995"
"138-849D-9H-6,46",87.96,100.453,49.1417,3626.71,3.62,-0.14,"Mix et al., 1995"
"138-849D-9H-6,56",88.06,100.553,49.2,3630.08,3.67,-0.54,"Mix et al., 1995"
"138-849D-9H-6,66",88.16,100.653,49.2756,3634.44,3.46,-0.33,"Mix et al., 1995"
"138-849D-9H-6,76",88.26,100.753,49.3513,3638.8,3.3,-0.19,"Mix et al., 1995"
"138-849D-9H-6,86",88.36,100.853,49.4269,3643.16,3.28,-0.07,"Mix et al., 1995"
"138-849D-9H-6,96",88.46,100.953,49.5026,3647.52,3.22,0.12,"Mix et al., 1995"
"138-849D-9H-6,106",88.56,101.053,49.5782,3651.88,3.08,0.17,"Mix et al., 1995"
"138-849D-9H-6,116",88.66,101.153,49.6539,3656.24,3.12,0.06,"Mix et al., 1995"
"138-849D-9H-6,126",88.76,101.253,49.7295,3660.61,3.25,-0.08,"Mix et al., 1995"
"138-849D-9H-6,136",88.86,101.353,49.8052,3664.97,3.26,0.02,"Mix et al., 1995"
"138-849D-9H-6,146",88.96,101.453,49.8808,3669.33,3.41,0.01,"Mix et al., 1995"
"138-849D-9H-7,6",89.06,101.553,49.9565,3673.69,3.7,-0.38,"Mix et al., 1995"
"138-849D-9H-7,16",89.16,101.653,50.0111,3676.84,3.73,-0.27,"Mix et al., 1995"
"138-849D-9H-7,26",89.26,101.753,50.0531,3679.26,3.51,-0.39,"Mix et al., 1995"
"138-849D-9H-7,36",89.36,101.853,50.0951,3681.68,3.44,-0.11,"Mix et al., 1995"
"138-849D-9H-7,46",89.46,101.953,50.137,3684.1,3.36,-0.06,"Mix et al., 1995"
"138-849D-9H-7,56",89.56,102.053,50.179,3686.59,3.27,0.09,"Mix et al., 1995"
"138-849C-10H-2,16",88.16,102.297,50.2815,3693.34,2.89,0.24,"Mix et al., 1995"
"138-849C-10H-2,26",88.26,102.397,50.3234,3696.1,3.15,0.28,"Mix et al., 1995"
"138-849C-10H-2,36",88.36,102.497,50.3654,3698.86,3,0.35,"Mix et al., 1995"
"138-849C-10H-2,56",88.56,102.697,50.4493,3704.38,3.05,0.15,"Mix et al., 1995"
"138-849C-10H-2,66",88.66,102.797,50.4913,3707.14,3.02,-0.04,"Mix et al., 1995"
"138-849C-10H-2,76",88.76,102.897,50.5332,3709.91,3.14,-0.18,"Mix et al., 1995"
"138-849C-10H-2,86",88.86,102.997,50.5752,3712.67,3.1,-0.2,"Mix et al., 1995"
"138-849C-10H-2,96",88.96,103.097,50.626,3716.01,3.37,-0.26,"Mix et al., 1995"
"138-849C-10H-2,106",89.06,103.197,50.7203,3722.22,3.43,-0.46,"Mix et al., 1995"
"138-849C-10H-2,116",89.16,103.297,50.8145,3728.42,3.26,0.01,"Mix et al., 1995"
"138-849C-10H-2,126",89.26,103.397,50.9088,3734.63,2.73,0.16,"Mix et al., 1995"
"138-849C-10H-2,136",89.36,103.497,51.0031,3740.83,2.95,0.02,"Mix et al., 1995"
"138-849C-10H-2,146",89.46,103.597,51.0973,3747.03,2.98,0.11,"Mix et al., 1995"
"138-849D-10H-1,46",89.96,103.872,51.3562,3764.08,3.11,-0.06,"Mix et al., 1995"
"138-849D-10H-1,61",90.11,104.022,51.4976,3773.38,3.34,-0.05,"Mix et al., 1995"
"138-849D-10H-1,76",90.26,104.172,51.639,3782.69,3.46,-0.31,"Mix et al., 1995"
"138-849D-10H-1,91",90.41,104.322,51.7703,3791.33,3.13,-0.18,"Mix et al., 1995"
"138-849D-10H-1,106",90.56,104.472,51.8416,3796.02,3.2,0.23,"Mix et al., 1995"
"138-849D-10H-1,121",90.71,104.622,51.9128,3800.71,2.97,0.15,"Mix et al., 1995"
"138-849D-10H-1,136",90.86,104.772,51.9841,3805.4,3.09,0.13,"Mix et al., 1995"
"138-849D-10H-2,1",91.01,104.922,52.0554,3810.09,2.92,0.15,"Mix et al., 1995"
"138-849D-10H-2,16",91.16,105.072,52.1267,3814.79,3.18,-0.06,"Mix et al., 1995"
"138-849D-10H-2,31",91.31,105.222,52.198,3819.48,3.08,-0.03,"Mix et al., 1995"
"138-849D-10H-2,46",91.46,105.372,52.2693,3824.17,3.03,0.27,"Mix et al., 1995"
"138-849D-10H-2,61",91.61,105.522,52.3405,3828.86,3.05,0.14,"Mix et al., 1995"
"138-849D-10H-2,76",91.76,105.672,52.4118,3833.55,3.17,-0.12,"Mix et al., 1995"
"138-849D-10H-2,91",91.91,105.822,52.4831,3838.24,3.17,-0.17,"Mix et al., 1995"
"138-849D-10H-2,106",92.06,105.972,52.5544,3842.94,2.97,-0.27,"Mix et al., 1995"
"138-849D-10H-2,121",92.21,106.122,52.6257,3847.63,3.32,-0.47,"Mix et al., 1995"
"138-849D-10H-2,136",92.36,106.272,52.697,3852.32,3.32,-0.49,"Mix et al., 1995"
"138-849D-10H-3,1",92.51,106.422,52.8045,3859.39,3.17,-0.02,"Mix et al., 1995"
"138-849D-10H-3,16",92.66,106.572,52.9293,3867.61,3.02,-0.03,"Mix et al., 1995"
"138-849D-10H-3,31",92.81,106.722,53.0541,3875.82,2.79,-0.04,"Mix et al., 1995"
"138-849D-10H-3,46",92.96,106.872,53.1637,3883.04,2.93,0.08,"Mix et al., 1995"
"138-849D-10H-3,61",93.11,107.022,53.2398,3888.05,2.99,0,"Mix et al., 1995"
"138-849D-10H-3,76",93.26,107.172,53.3159,3893.05,2.91,-0.13,"Mix et al., 1995"
"138-849D-10H-3,91",93.41,107.322,53.3919,3898.06,3.17,-0.27,"Mix et al., 1995"
"138-849D-10H-3,106",93.56,107.472,53.468,3903.07,3.46,-0.38,"Mix et al., 1995"
"138-849D-10H-3,121",93.71,107.622,53.5481,3908.34,3.12,-0.13,"Mix et al., 1995"
"138-849D-10H-3,136",93.86,107.772,53.6349,3914.05,3.14,0.01,"Mix et al., 1995"
"138-849D-10H-4,1",94.01,107.922,53.7216,3919.76,3.08,-0.1,"Mix et al., 1995"
"138-849D-10H-4,16",94.16,108.072,53.8083,3925.46,2.97,0.08,"Mix et al., 1995"
"138-849D-10H-4,31",94.31,108.222,53.895,3931.17,3.05,-0.04,"Mix et al., 1995"
"138-849D-10H-4,46",94.46,108.372,53.9817,3936.88,3.08,0.06,"Mix et al., 1995"
"138-849D-10H-4,61",94.61,108.522,54.0655,3942.39,2.99,-0.19,"Mix et al., 1995"
"138-849D-10H-4,76",94.76,108.672,54.1474,3947.78,3.48,-0.35,"Mix et al., 1995"
"138-849D-10H-4,91",94.91,108.822,54.2293,3953.17,3.24,-0.36,"Mix et al., 1995"
"138-849D-10H-4,106",95.06,108.972,54.3112,3958.56,3.02,-0.02,"Mix et al., 1995"
"138-849D-10H-4,121",95.21,109.122,54.3931,3963.95,2.97,-0.13,"Mix et al., 1995"
"138-849D-10H-4,136",95.36,109.272,54.4899,3970.33,2.95,-0.07,"Mix et al., 1995"
"138-849D-10H-5,1",95.51,109.422,54.6069,3978.03,3.14,-0.13,"Mix et al., 1995"
"138-849D-10H-5,16",95.66,109.572,54.7239,3985.73,3.15,0.11,"Mix et al., 1995"
"138-849D-10H-5,31",95.81,109.722,54.8409,3993.43,3.13,0.04,"Mix et al., 1995"
"138-849D-10H-5,46",95.96,109.872,54.9494,4000.57,3.2,0.11,"Mix et al., 1995"
"138-849D-10H-5,61",96.11,110.022,55.0105,4004.59,3.13,0.02,"Mix et al., 1995"
"138-849D-10H-5,76",96.26,110.172,55.0716,4008.61,3.14,0.02,"Mix et al., 1995"
"138-849D-10H-5,91",96.41,110.322,55.1327,4012.64,3.19,-0.09,"Mix et al., 1995"
"138-849D-10H-5,106",96.56,110.472,55.1938,4016.66,3.28,-0.22,"Mix et al., 1995"
"138-849D-10H-5,121",96.71,110.622,55.255,4020.68,3.32,-0.25,"Mix et al., 1995"
"138-849D-10H-5,136",96.86,110.772,55.3374,4026.1,3.29,-0.14,"Mix et al., 1995"
"138-849D-10H-6,1",97.01,110.922,55.4483,4033.4,3.15,-0.26,"Mix et al., 1995"
"138-849D-10H-6,16",97.16,111.072,55.5592,4040.71,3.1,-0.03,"Mix et al., 1995"
"138-849D-10H-6,31",97.31,111.222,55.6701,4048.01,3.18,-0.03,"Mix et al., 1995"
"138-849D-10H-6,46",97.46,111.372,55.7811,4055.31,3.18,-0.08,"Mix et al., 1995"
"138-849D-10H-6,61",97.61,111.522,55.868,4061.03,3.31,-0.02,"Mix et al., 1995"
"138-849D-10H-6,76",97.76,111.672,55.9443,4066.05,3.18,-0.08,"Mix et al., 1995"
"138-849D-10H-6,91",97.91,111.822,56.0207,4071.08,3.3,-0.22,"Mix et al., 1995"
"138-849D-10H-6,106",98.06,111.972,56.097,4076.1,3.25,-0.05,"Mix et al., 1995"
"138-849D-10H-6,121",98.21,112.122,56.1696,4080.88,3.1,-0.05,"Mix et al., 1995"
"138-849D-10H-6,136",98.36,112.272,56.2374,4085.34,3.11,0.23,"Mix et al., 1995"
"138-849C-11H-2,16",97.66,112.526,56.3522,4092.9,3.13,0.08,"Mix et al., 1995"
"138-849C-11H-2,26",97.76,112.626,56.3974,4095.87,3.22,-0.07,"Mix et al., 1995"
"138-849C-11H-2,36",97.86,112.726,56.4426,4098.85,3.23,0.03,"Mix et al., 1995"
"138-849C-11H-2,46",97.96,112.826,56.4877,4101.82,3.22,-0.23,"Mix et al., 1995"
"138-849C-11H-2,56",98.06,112.926,56.5329,4104.79,3.28,-0.06,"Mix et al., 1995"
"138-849C-11H-2,66",98.16,113.026,56.5781,4107.77,3.28,-0.04,"Mix et al., 1995"
"138-849C-11H-2,76",98.26,113.126,56.6244,4110.81,3.03,-0.25,"Mix et al., 1995"
"138-849C-11H-2,86",98.36,113.226,56.6755,4114.18,3.35,-0.41,"Mix et al., 1995"
"138-849C-11H-2,96",98.46,113.326,56.7267,4117.55,3.14,-0.03,"Mix et al., 1995"
"138-849C-11H-2,106",98.56,113.426,56.7779,4120.91,3.18,-0.16,"Mix et al., 1995"
"138-849C-11H-2,116",98.66,113.526,56.829,4124.28,3.19,-0.23,"Mix et al., 1995"
"138-849C-11H-2,126",98.76,113.626,56.8802,4127.65,3.15,-0.18,"Mix et al., 1995"
"138-849C-11H-2,136",98.86,113.726,56.9314,4131.02,3.12,-0.13,"Mix et al., 1995"
"138-849D-11H-1,46",99.46,113.747,56.9419,4131.71,3.05,-0.08,"Mix et al., 1995"
"138-849D-11H-1,61",99.61,113.897,57.0186,4136.76,3.26,-0.02,"Mix et al., 1995"
"138-849D-11H-1,76",99.76,114.047,57.0954,4141.81,3.21,0,"Mix et al., 1995"
"138-849D-11H-1,91",99.91,114.197,57.1722,4146.87,2.81,0.04,"Mix et al., 1995"
"138-849D-11H-1,106",100.06,114.347,57.2489,4151.92,2.92,-0.06,"Mix et al., 1995"
"138-849D-11H-1,121",100.21,114.497,57.3257,4156.97,3.36,-0.04,"Mix et al., 1995"
"138-849D-11H-1,136",100.36,114.647,57.3993,4161.82,3.42,-0.12,"Mix et al., 1995"
"138-849D-11H-2,1",100.51,114.797,57.4567,4165.59,3.09,0.01,"Mix et al., 1995"
"138-849D-11H-2,16",100.66,114.947,57.5141,4169.37,3.16,-0.04,"Mix et al., 1995"
"138-849D-11H-2,31",100.81,115.097,57.5715,4173.15,3.26,-0.06,"Mix et al., 1995"
"138-849D-11H-2,46",100.96,115.247,57.6288,4176.92,2.94,0.09,"Mix et al., 1995"
"138-849D-11H-2,61",101.11,115.397,57.6862,4180.18,3.12,-0.04,"Mix et al., 1995"
"138-849D-11H-2,76",101.26,115.547,57.7436,4183.42,3.08,0,"Mix et al., 1995"
"138-849D-11H-2,91",101.41,115.697,57.801,4186.67,3.1,0.12,"Mix et al., 1995"
"138-849D-11H-2,106",101.56,115.847,57.8584,4189.91,2.99,-0.04,"Mix et al., 1995"
"138-849D-11H-2,121",101.71,115.997,57.9158,4193.16,3.21,-0.14,"Mix et al., 1995"
"138-849D-11H-2,136",101.86,116.147,57.9917,4197.45,2.97,-0.26,"Mix et al., 1995"
"138-849D-11H-3,1",102.01,116.297,58.1299,4205.26,3.02,-0.3,"Mix et al., 1995"
"138-849D-11H-3,16",102.16,116.447,58.2682,4213.08,3.14,-0.27,"Mix et al., 1995"
"138-849D-11H-3,31",102.31,116.597,58.4064,4220.89,3.05,-0.04,"Mix et al., 1995"
"138-849D-11H-3,46",102.46,116.747,58.4905,4225.64,3.04,-0.22,"Mix et al., 1995"
"138-849D-11H-3,61",102.61,116.897,58.5604,4229.6,2.98,-0.33,"Mix et al., 1995"
"138-849D-11H-3,76",102.76,117.047,58.6303,4233.55,3.17,-0.04,"Mix et al., 1995"
"138-849D-11H-3,91",102.91,117.197,58.7002,4237.5,3.11,-0.12,"Mix et al., 1995"
"138-849D-11H-3,106",103.06,117.347,58.7702,4241.45,3.11,-0.27,"Mix et al., 1995"
"138-849D-11H-3,121",103.21,117.497,58.8401,4245.41,3.16,-0.27,"Mix et al., 1995"
"138-849D-11H-3,136",103.36,117.647,58.91,4249.36,3.35,-0.31,"Mix et al., 1995"
"138-849D-11H-4,1",103.51,117.797,58.9941,4254.12,3.31,-0.24,"Mix et al., 1995"
"138-849D-11H-4,31",103.81,118.097,59.1623,4263.63,3.08,-0.01,"Mix et al., 1995"
"138-849D-11H-4,46",103.96,118.247,59.2465,4268.38,3.1,-0.08,"Mix et al., 1995"
"138-849D-11H-4,61",104.11,118.397,59.3306,4273.14,3.18,0.09,"Mix et al., 1995"
"138-849D-11H-4,76",104.26,118.547,59.4147,4277.89,2.98,-0.03,"Mix et al., 1995"
"138-849D-11H-4,91",104.41,118.697,59.4988,4282.65,2.67,0.06,"Mix et al., 1995"
"138-849D-11H-4,106",104.56,118.847,59.5829,4287.4,3,-0.1,"Mix et al., 1995"
"138-849D-11H-4,121",104.71,118.997,59.667,4292.16,2.91,-0.09,"Mix et al., 1995"
