label,mbsf,mcd,rmcd,age_ka,d18O,d13C,Reference
"138-849C-2H-3,87",14.37,17.2863,7.08501,567.925,3.42,0.09,"Mix et al., 1995"
"138-849C-2H-3,97",14.47,17.3863,7.11498,572.433,3.625,0.18,"Mix et al., 1995"
"138-849C-2H-3,107",14.57,17.4863,7.14496,577.292,3.84,0,"Mix et al., 1995"
"138-849C-2H-3,117",14.67,17.5863,7.17493,581.449,4.22,-0.29,"Mix et al., 1995"
"138-849C-2H-3,127",14.77,17.6863,7.20491,586.254,3.99,-0.09,"Mix et al., 1995"
"138-849C-2H-3,137",14.87,17.7863,7.23488,590.673,3.99,-0.15,"Mix et al., 1995"
"138-849C-2H-3,147",14.97,17.8863,7.26485,594.972,3.88,-0.35,"Mix et al., 1995"
"138-849C-2H-4,7",15.07,17.9863,7.29483,599.48,3.56,-0.22,"Mix et al., 1995"
"138-849C-2H-4,17",15.17,18.0863,7.3248,603.988,4.12,0.01,"Mix et al., 1995"
"138-849C-2H-4,27",15.27,18.1863,7.35478,608.496,4.11,0.06,"Mix et al., 1995"
"138-849C-2H-4,37",15.37,18.2863,7.38475,613.004,3.85,0.05,"Mix et al., 1995"
"138-849C-2H-4,47",15.47,18.3863,7.41472,617.512,3.5,0.05,"Mix et al., 1995"
"138-849C-2H-4,57",15.57,18.4863,7.4447,622.02,3.08,-0.17,"Mix et al., 1995"
"138-849C-2H-4,67",15.67,18.5863,7.47467,626.528,4.57,-0.36,"Mix et al., 1995"
"138-849C-2H-4,87",15.87,18.7863,7.61665,634.449,5.1,-0.26,"Mix et al., 1995"
"138-849C-2H-4,97",15.97,18.8863,7.69163,638.41,4.88,-0.26,"Mix et al., 1995"
"138-849D-2H-2,16",15.16,18.96,7.7469,641.329,4.83,-0.42,"Mix et al., 1995"
"138-849D-2H-2,26",15.26,19.06,7.82189,645.29,4.78,-0.39,"Mix et al., 1995"
"138-849D-2H-2,36",15.36,19.16,7.89688,649.251,4.66,-0.37,"Mix et al., 1995"
"138-849D-2H-2,46",15.46,19.26,7.97186,653.212,4.45,-0.5,"Mix et al., 1995"
"138-849D-2H-2,56",15.56,19.36,8.03505,657.172,4.52,-0.63,"Mix et al., 1995"
"138-849D-2H-2,66",15.66,19.46,8.0889,661.133,4.6,-0.66,"Mix et al., 1995"
"138-849D-2H-2,76",15.76,19.56,8.14275,665.094,4.52,-0.54,"Mix et al., 1995"
"138-849D-2H-2,86",15.86,19.66,8.1966,669.055,4.4,-0.56,"Mix et al., 1995"
"138-849D-2H-2,96",15.96,19.76,8.25045,673.015,4.33,-0.48,"Mix et al., 1995"
"138-849D-2H-2,106",16.06,19.86,8.30429,676.976,4.22,-0.39,"Mix et al., 1995"
"138-849D-2H-2,116",16.16,19.96,8.35814,680.937,4.31,-0.24,"Mix et al., 1995"
