depth,age_ka,d18O
133.27,2084.25,3.81
133.27,2084.25,3.69
133.47,2086.27,3.74
133.67,2088.28,3.91
133.67,2088.28,3.83
133.87,2090.3,3.74
134.07,2092.32,3.77
134.07,2092.32,3.84
134.27,2094.34,3.68
134.47,2096.36,3.68
134.67,2098.39,3.66
134.87,2100.41,3.55
134.99,2101.62,3.48
135.19,2103.64,3.98
135.39,2105.65,4
135.59,2107.68,3.82
135.79,2109.92,3.79
136.79,2121.29,3.5
136.99,2123.57,3.43
137.19,2125.84,3.43
137.39,2128.11,3.42
137.59,2130.39,3.39
137.99,2134.92,3.32
137.99,2134.92,3.31
138.19,2137.2,3.35
138.39,2139.47,3.43
138.59,2141.74,3.38
138.79,2144.02,3.47
139.39,2151.2,3.89
139.56,2153.26,4.4
139.56,2153.26,4.54
139.79,2156.05,4.16
140.02,2158.84,4.4
140.22,2161.52,4.28
140.42,2164.55,3.82
140.42,2164.55,3.81
140.62,2167.58,3.83
140.82,2170.61,3.65
141.02,2173.64,3.57
141.02,2173.64,3.59
141.02,2173.64,3.59
141.22,2176.66,3.53
141.82,2185.76,3.7
142.02,2188.78,3.66
142.2,2191.52,3.7
142.42,2194.85,3.93
142.42,2194.85,3.85
142.62,2197.88,3.94
142.62,2197.88,4.02
142.62,2197.88,4.01
142.82,2200.92,3.98
143.02,2203.67,3.77
143.42,2208.53,3.78
143.62,2210.96,3.56
143.82,2213.38,3.66
144.02,2215.8,3.51
144.22,2218.22,3.6
144.42,2220.65,3.48
144.42,2220.65,3.51
144.62,2223.08,3.44
144.82,2225.5,3.42
145.02,2227.9,3.45
145.2,2229.95,3.47
145.42,2232.45,3.44
145.42,2232.45,3.48
145.62,2234.72,3.46
145.86,2237.45,3.83
146.06,2239.72,4.4
146.26,2242,4.18
146.47,2244.38,3.77
146.66,2246.51,3.53
146.66,2246.51,3.56
146.86,2248.53,3.38
147.06,2250.37,3.38
147.26,2252.18,3.28
147.26,2252.18,3.24
147.46,2254,3.26
147.66,2255.82,3.24
147.86,2257.64,3.32
148.06,2259.46,3.26
148.26,2261.28,3.24
148.46,2263.09,3.19
148.66,2264.91,3.35
148.86,2266.73,3.38
148.86,2266.73,3.35
149.06,2268.55,3.45
149.26,2270.36,3.47
149.46,2272.18,3.48
149.46,2272.18,3.26
149.66,2274,3.62
149.86,2275.92,3.89
150.01,2277.43,3.87
150.01,2277.43,3.9
150.16,2278.95,4.25
150.16,2278.95,4.13
150.2,2279.35,3.77
150.4,2281.38,4.63
150.6,2283.52,4.27
150.6,2283.52,3.31
150.8,2285.79,4.5
151,2288.06,4.3
151,2288.06,3.84
151.6,2295.3,3.68
151.8,2298.33,3.26
152,2301.36,3.2
152.2,2304.39,3.84
152.2,2304.39,3.73
152.4,2307.41,3.76
152.6,2310.45,3.93
152.8,2313.25,4.14
153,2315.68,4.17
153.2,2318.1,4.35
153.4,2320.52,4.4
153.6,2323.1,3.82
153.8,2326.13,3.14
154,2329.17,3.33
154.2,2332.2,3.26
154.4,2335.22,3.28
154.4,2335.22,3.32
154.6,2338.26,3.25
154.8,2341.66,3
155,2345.45,3.32
155.2,2349.24,3.46
155.4,2353.03,3.7
155.55,2355.87,4
155.79,2360.42,4.01
155.99,2364.21,3.74
156.19,2367.99,3.33
156.39,2371.61,3.29
156.54,2373.54,3.37
156.74,2375.97,3.26
156.94,2378.39,3.27
157.14,2380.82,3.34
157.34,2383.17,3.31
157.54,2385.44,3.43
157.74,2387.71,3.52
157.94,2389.98,3.64
158.14,2392.26,3.5
158.34,2394.53,3.49
158.54,2396.8,3.48
158.74,2399.08,3.42
158.94,2401.35,3.45
159.14,2403.62,3.32
159.34,2405.9,3.39
159.49,2407.6,3.34
159.69,2409.88,3.27
159.89,2412.15,3.37
160.09,2414.42,3.35
160.29,2416.69,3.38
160.49,2418.96,3.39
160.69,2421.23,3.44
160.89,2423.51,3.51
161.07,2425.55,3.63
161.24,2427.48,3.59
161.44,2429.76,3.76
161.64,2432.03,4.4
161.84,2434.31,4.26
161.84,2434.31,4.4
162.04,2436.58,4.38
162.24,2438.79,4.11
162.44,2440.8,3.78
162.52,2441.53,3.76
162.77,2443.81,3.71
163.02,2446.08,3.62
163.27,2448.35,3.48
163.52,2450.62,3.38
163.77,2452.9,3.43
164.02,2455.17,3.37
164.27,2457.44,3.34
164.52,2459.71,3.38
164.77,2461.99,3.26
165.02,2464.26,3.35
165.27,2466.53,3.33
165.52,2468.8,3.21
165.77,2471.08,3.27
165.94,2472.62,3.3
166.19,2474.89,3.31
166.44,2477.17,3.41
166.69,2479.44,3.46
166.94,2481.72,3.93
166.94,2481.72,3.86
167.19,2483.53,3.96
167.44,2485.05,3.99
167.69,2486.57,4.67
167.94,2488.08,4.14
168.19,2489.59,4.05
168.44,2491.11,3.8
168.69,2492.62,3.71
168.94,2494.14,3.54
168.94,2494.14,3.46
169.19,2495.67,3.42
169.44,2497.71,3.51
169.69,2499.98,3.34
169.94,2502.26,3.22
170.19,2504.53,3.5
170.44,2506.8,3.42
170.69,2509.07,3.54
170.94,2511.35,3.64
171.19,2513.62,3.8
171.44,2515.89,3.76
171.69,2518.16,4.5
171.69,2518.16,4.51
172.19,2522.71,4.44
172.28,2523.53,4.48
172.53,2525.8,4.28
172.78,2528.07,3.7
172.78,2528.07,3.75
173.03,2530.35,3.88
173.28,2532.62,3.69
173.53,2534.78,3.57
173.78,2536.44,3.58
174.03,2537.95,3.41
174.03,2537.95,3.53
174.28,2539.47,3.33
174.53,2540.98,3.36
174.78,2542.5,3.28
175.03,2544.01,3.22
175.03,2544.01,3.32
175.25,2545.35,3.27
175.5,2546.86,3.24
175.75,2548.38,3.23
176,2549.89,3.34
176.25,2551.41,3.34
176.5,2552.93,3.37
176.75,2554.44,3.46
177.5,2558.98,3.52
177.75,2560.5,3.52
178,2562.01,3.66
178.25,2563.53,3.63
178.5,2565.04,3.69
178.75,2566.56,3.62
179,2568.08,3.58
179,2568.08,3.59
179.25,2569.59,3.54
179.5,2571.1,3.51
179.75,2572.62,3.54
180,2574.13,3.54
180.2,2575.35,3.48
180.45,2576.86,3.47
180.7,2578.38,3.38
180.95,2579.89,3.3
181.2,2581.41,3.27
181.45,2582.92,3.22
181.7,2584.44,3.18
181.95,2585.95,3.05
182.19,2587.4,3.24
182.42,2588.8,3.3
182.64,2590.14,3.27
182.89,2591.65,3.24
183.14,2593.17,3.39
183.14,2593.17,3.36
183.18,2593.41,3.36
183.23,2593.71,3.47
183.33,2594.31,3.64
183.38,2594.62,3.45
183.43,2594.92,3.42
183.48,2595.22,3.37
183.53,2595.57,3.39
183.58,2595.96,3.31
183.88,2598.56,3.66
184.18,2601.28,3.61
184.48,2604.01,3.83
184.78,2606.74,3.69
185.38,2612.27,3.67
185.68,2615.45,3.37
185.98,2618.86,3.32
186.28,2622.27,3.39
186.88,2629.09,3.25
187.18,2632.5,3.46
187.48,2635.91,3.57
187.78,2639.31,3.37
188.1,2642.95,3.82
188.16,2643.63,3.98
188.41,2646.2,3.8
188.66,2648.5,3.12
188.91,2650.77,3.46
189.16,2653.05,3.49
189.41,2655.32,3.43
189.66,2657.59,3.34
189.91,2659.86,3.27
190.16,2662.14,3.28
190.41,2664.41,3.23
190.66,2666.68,3.25
190.91,2668.95,3.1
191.16,2671.23,3.28
191.41,2673.5,3.17
191.3,2672.5,3.17
191.55,2674.77,3.27
191.55,2674.77,3.13
191.8,2677.04,3.28
191.8,2677.04,3.18
192.05,2679.32,3.34
192.3,2681.59,3.23
192.55,2683.86,3.4
192.8,2686.13,3.27
193.05,2688.41,3.39
193.3,2690.68,3.39
193.55,2692.95,3.33
193.7,2694.32,3.35
194.2,2698.86,3.52
194.45,2701.13,3.63
194.7,2703.41,3.84
194.95,2705.68,3.91
195.2,2708.13,3.99
195.45,2710.89,3.88
195.7,2713.74,3.71
195.95,2716.58,3.73
196.2,2719.42,3.97
196.5,2723.02,4.04
196.75,2726.31,3.95
197,2730.45,3.59
197.25,2735.19,3.53
197.5,2739.91,3.4
197.5,2739.91,3.34
197.75,2744.64,3.16
197.75,2744.64,3.13
198,2749.38,3.23
198.25,2754.11,3.41
198.5,2758.85,3.41
198.75,2763.59,3.35
199,2768.33,3.27
199.25,2773.06,3.41
199.25,2773.06,3.12
199.45,2776.85,3.34
199.7,2781.59,3.26
200.2,2791.04,3.31
200.45,2795.78,3.08
200.7,2800.51,3.68
200.95,2805.25,3.73
201.2,2809.99,3.79
201.45,2814.72,3.71
201.7,2818.76,3.47
201.95,2822.56,3.48
