depth,age_ka,mcd,CaCO3,MAR,label
60.72,1401.2,65.62,11.2,0.28,"145-882A-7H-3,140-144"
61.02,1408.1,65.91,24.7,0.62,"145-882A-7H-4,20-24"
61.32,1415.1,66.2,0.1,0,"145-882A-7H-4,50-54"
61.62,1422,66.49,0.1,0,"145-882A-7H-4,80-84"
61.86,1429.2,66.73,0.1,0,"145-882A-7H-4,104-108"
62.22,1441.5,67.08,16.6,0.3,"145-882A-7H-4,140-144"
62.52,1452.4,67.37,0.4,0.01,"145-882A-7H-5,20-24"
62.82,1460.3,67.66,0.1,0,"145-882A-7H-5,50-54"
63.12,1468.6,67.95,0.2,0,"145-882A-7H-5,80-84"
63.36,1475.4,68.18,2.2,0.04,"145-882A-7H-5,104-108"
63.43,1477.5,68.25,29.3,0.48,"145-882A-7H-5,113-114"
63.72,1487.7,68.53,36.3,0.57,"145-882A-7H-5,140-144"
64.02,1500.5,68.82,42.3,0.8,"145-882A-7H-6,20-24"
64.32,1509.3,69.11,0.4,0.01,"145-882A-7H-6,50-54"
64.62,1516.8,69.41,0.2,0,"145-882A-7H-6,80-84"
64.86,1522.5,69.64,0.1,0,"145-882A-7H-6,104-108"
65.2,1540.7,70.41,0,0,"145-882B-8H-3,85-88"
65.22,1531.3,69.99,0.1,0,"145-882A-7H-6,140-144"
65.45,1545.1,70.65,0.1,0,"145-882B-8H-3,105-108"
65.65,1548.5,70.84,12.4,0.34,"145-882B-8H-3,125-128"
65.84,1551.7,71.02,11.7,0.34,"145-882B-8H-3,144-148"
66.05,1555.3,71.22,27.2,0.98,"145-882B-8H-4,15-18"
66.25,1558.8,71.41,31.7,1.26,"145-882B-8H-4,35-39"
66.65,1565.6,71.79,0.1,0,"145-882B-8H-4,75-78"
66.85,1572.9,71.98,0.1,0,"145-882B-8H-4,95-98"
66.86,1588.6,72.45,8.1,0.3,"145-882A-8H-1,104-108"
66.92,1589.7,72.51,17.7,0.64,"145-882A-8H-1,112-113"
67.05,1580.7,72.17,0.1,0,"145-882B-8H-4,115-118"
