Leg,Site,Hole,Core,Type,Section,Top,Bottom,mbsf,age_orig,species,d13C,d18O_unadj,age_lower,age_ka,age_upper
198,1207,A,7,H,2,57,57.02,57,3256.7,C.wuellerstorfi,0.086,2.7,3231.2,3244.4,3249.9
198,1207,A,7,H,2,57.05,57.07,57.05,3258.7,C.wuellerstorfi,0.09,2.85,3234.2,3246.4,3251.4
198,1207,A,7,H,2,57.09,57.11,57.09,3260.4,C.wuellerstorfi,-0.04,2.65,3236.6,3248,3252.8
198,1207,A,7,H,2,57.14,57.16,57.14,3262.4,C.wuellerstorfi,-0.04,2.72,3240.5,3249.9,3254.2
198,1207,A,7,H,3,57.19,57.21,57.19,3264.5,C.wuellerstorfi,-0.066,2.7,3242.8,3251.7,3255.8
198,1207,A,7,H,3,57.24,57.26,57.24,3266.5,C.wuellerstorfi,0.12,2.85,3245,3253.4,3257.6
198,1207,A,7,H,3,57.29,57.31,57.29,3268.5,C.wuellerstorfi,-0.02,2.94,3246.7,3255.1,3259.2
198,1207,A,7,H,3,57.34,57.36,57.34,3270.4,C.wuellerstorfi,-0.11,2.81,3249.6,3256.8,3261
198,1207,A,7,H,3,57.39,57.41,57.39,3271.9,C.wuellerstorfi,-0.14,2.9,3252,3258.3,3262.7
198,1207,A,7,H,3,57.44,57.45,57.44,3273.3,C.wuellerstorfi,-0.257,2.89,3253.6,3260,3264.9
198,1207,A,7,H,3,57.48,57.5,57.48,3274.5,C.wuellerstorfi,-0.03,2.89,3255,3261.5,3266.4
198,1207,A,7,H,3,57.58,57.6,57.58,3277.4,C.wuellerstorfi,-0.03,2.91,3258,3264.6,3269.7
198,1207,A,7,H,3,57.68,57.7,57.68,3280.3,C.wuellerstorfi,0.11,2.91,3260.5,3267.9,3272.9
198,1207,A,7,H,3,57.73,57.75,57.73,3281.8,C.wuellerstorfi,-0.05,2.86,3261.9,3269.8,3274.3
198,1207,A,7,H,3,57.78,57.8,57.78,3283.2,C.wuellerstorfi,0.06,2.87,3263.9,3271.8,3275.9
198,1207,A,7,H,3,57.83,57.84,57.83,3284.7,C.wuellerstorfi,-0.11,2.87,3265.7,3273.8,3277.7
198,1207,A,7,H,3,57.87,57.89,57.87,3285.9,C.wuellerstorfi,0.04,2.7,3267.9,3275.1,3278.9
198,1207,A,7,H,3,57.92,57.95,57.92,3287.3,C.wuellerstorfi,-0.18,2.9,3269.9,3276.8,3280.3
198,1207,A,7,H,3,57.97,57.99,57.97,3288.8,C.wuellerstorfi,0.02,2.93,3271.9,3278.3,3282
198,1207,A,7,H,3,58.02,58.04,58.02,3290.4,C.wuellerstorfi,-0.04,2.79,3274.1,3279.8,3283.8
198,1207,A,7,H,3,58.07,58.09,58.07,3293.1,C.wuellerstorfi,-0.118,2.96,3275.6,3281.2,3285
198,1207,A,7,H,3,58.21,58.23,58.21,3300.5,C.wuellerstorfi,-0.04,2.88,3280.1,3284.5,3289.4
198,1207,A,7,H,3,58.26,58.28,58.26,3303.1,C.wuellerstorfi,-0.1,2.9,3281.9,3286.1,3291.3
198,1207,A,7,H,3,58.31,58.33,58.31,3305.7,C.wuellerstorfi,-0.13,3,3284,3287.5,3293.4
198,1207,A,7,H,3,58.36,58.38,58.36,3308.4,C.wuellerstorfi,-0.33,3.29,3286.2,3289.7,3295.6
198,1207,A,7,H,3,58.41,58.44,58.41,3311,C.wuellerstorfi,-0.39,3.11,3288.5,3291.8,3297.4
198,1207,A,7,H,3,58.46,58.48,58.46,3313.6,C.wuellerstorfi,-0.397,3.35,3290.1,3294.2,3299.6
198,1207,A,7,H,3,58.51,58.53,58.51,3316.3,C.wuellerstorfi,-0.47,3.61,3292.2,3296.3,3302
198,1207,A,7,H,3,58.56,58.58,58.56,3318.9,C.wuellerstorfi,-0.52,3.25,3294,3298.5,3304.3
198,1207,A,7,H,3,58.6,58.62,58.6,3321,C.wuellerstorfi,-0.46,3.24,3295.4,3300.3,3305.8
198,1207,A,7,H,3,58.65,58.68,58.65,3323.7,C.wuellerstorfi,-0.45,3.04,3297.3,3302.5,3307.9
198,1207,A,7,H,3,58.7,58.72,58.7,3326.3,C.wuellerstorfi,-0.46,3.16,3299.5,3304.4,3309.5
198,1207,A,7,H,3,58.75,58.77,58.75,3328.9,C.wuellerstorfi,-0.35,3.02,3301.5,3306.1,3311.2
198,1207,A,7,H,4,58.8,58.82,58.8,3330.5,C.wuellerstorfi,-0.41,3,3303.3,3307.8,3313.1
198,1207,A,7,H,4,58.85,58.87,58.85,3331.3,C.wuellerstorfi,-0.59,2.68,3304.8,3309.4,3315
198,1207,A,7,H,4,58.9,58.92,58.9,3332.1,C.wuellerstorfi,-0.34,3.05,3306.6,3311,3317
198,1207,A,7,H,4,58.95,58.97,58.95,3332.9,C.wuellerstorfi,-0.543,2.92,3308.1,3312.6,3319.2
