Sira #,Site,H,Co,T,Section,Top(cm),Bot(cm),mbsf,mcd,Species,d18O,d13C,d18Oadj,d13Cadj,age_ka,MIS,CODE,LiCa,BCa,NaCa,MgCa,AlCa,MnCa,SrCa,CdCa,BaCa,NdCa,UCa,FeCa
,ODP1209,A,4,H,5,62,64,33.82,37.49,CWUEL,3.04,-0.34,3.68,-0.34,2573.59,,R4/R5,11.57347118,16.75776721,2.968261479,0.935833091,6.231701409,51.38136224,1.012049553,0.127882701,3.288449778,0.314601284,22.48277059,9.982803659
S17 3803,ODP1209,A,4,H,5,65,67,33.85,37.52,CWUEL,3.18,-0.11,3.82,-0.11,2575.00488,,B6,11.6239,12.9419,2.7641,0.8599,2.9961,37.1745,1.0439,0.1286,3.0343,0.1938,18.5786,7.007
,ODP1209,A,4,H,5,69,71,33.89,37.56,CWUEL,3.2,-0.34,3.84,-0.34,2577.32,,R6,11.16194234,14.10599789,2.921530414,1.052689799,5.320425096,54.52161082,1.02683298,0.142016229,3.208040614,0.471301747,23.1370961,11.50847804
,ODP1209,A,4,H,5,72,74,33.92,37.59,CWUEL,2.9,-0.13,3.54,-0.13,2579.06,,R7,11.37689578,16.96793777,2.845679382,0.957983439,7.505828985,50.81930679,1.028513448,0.116359228,3.504911227,0.259379498,13.0214822,9.643082427
S17 3804,ODP1209,A,4,H,5,75,77,33.95,37.62,CWUEL,3.08,-0.15,3.72,-0.15,2580.78702,Pleistocene,B7,10.7951,11.2546,2.7276,0.7888,10.6676,36.5542,1.0441,0.1323,2.8645,0.1993,15.686,9.1176
,ODP1209,A,4,H,5,78,80,33.98,37.65,CWUEL,2.74,-0.14,3.38,-0.14,2582.93,,R8,11.13971062,15.54774721,2.688769136,0.839138269,5.055062593,51.91404888,1.024663163,0.113939357,3.066717316,0.241844615,17.51565978,10.34456605
,ODP1209,A,4,H,5,82,84,34.02,37.69,CWUEL,3.12,-0.04,3.76,-0.04,2585.77,,R9,10.69572545,15.10683552,2.874014362,0.936549344,8.036328137,39.17538255,1.028087417,0.131126188,4.755432231,0.28401401,16.55034577,11.35623454
S17 3805,ODP1209,A,4,H,5,85,87,34.05,37.72,CWUEL,2.84,-0.06,3.48,-0.06,2587.9035,Pliocene,B8,11.0939,11.8013,2.793,0.8386,4.9436,30.6831,1.0407,0.1275,3.0005,0.1688,11.1688,7.0271
,ODP1209,A,4,H,5,88,90,34.08,37.75,CWUEL,3.04,-0.15,3.68,-0.15,2589.91,,Q1/Q2,11.63548455,15.43446901,3.433247051,1.1020837,9.920724577,43.56415849,1.026824172,0.140418981,3.069652225,0.333739963,17.40782262,9.932495454
,ODP1209,A,4,H,5,92,94,34.12,37.79,CWUEL,3.1,-0.36,3.74,-0.36,2592.59,,Q3,11.45145336,14.41104886,2.780621245,1.006889106,3.503994453,48.7672532,1.00540749,0.143287417,2.903402448,0.457360056,20.88830914,10.66835629
