age_ka,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2010.29884,3.16401,1.84812,4.52134,0.54768,5.82247,0.38655,-0.00306,0.83444,-0.36225,1.29311
2012.59876,2.67731,1.20997,4.15839,-0.15127,5.53922,0.65553,0.25221,1.08716,-0.16816,1.46312
2013.79886,2.4174,1.06734,3.87341,-0.33095,5.34053,0.71075,0.35588,1.10165,0.00121,1.45812
2014.09893,2.05442,0.6985,3.30583,-0.59398,4.70308,0.57089,0.20074,0.91316,-0.1621,1.29854
2014.49897,2.41655,1.03426,3.77293,-0.20837,5.20763,0.63187,0.24879,0.99045,-0.08647,1.36651
2016.19872,NaN,-0.16913,5.93623,-0.96964,6.6122,NaN,-0.08124,1.49935,-0.52443,1.64322
2016.79875,2.7089,1.35616,4.09299,0.13952,5.43552,0.57667,0.20903,0.9595,-0.09051,1.29459
2017.39876,2.16629,0.83789,3.57106,-0.47946,5.00335,0.38536,0.03821,0.75445,-0.30691,1.14106
2018.29863,1.99673,0.61431,3.30125,-0.7232,4.54926,0.3196,-0.03019,0.67407,-0.3769,1.07422
2018.79854,1.80898,0.52648,3.08088,-0.7268,4.41446,0.29565,-0.06476,0.61188,-0.39523,0.9959
2019.69848,1.7192,0.25822,3.07568,-1.01019,4.43762,0.0778,-0.29957,0.46808,-0.66565,0.82545
2020.39849,1.1908,-0.21225,2.64577,-1.58887,3.82399,-0.12611,-0.50448,0.26049,-0.88691,0.55861
2021.09853,0.95213,-0.35007,2.31711,-1.64584,3.6348,-0.10377,-0.46415,0.24562,-0.79503,0.63862
2021.69857,2.62012,0.7159,4.24302,-0.96965,5.62987,0.352,-0.11981,0.76262,-0.56752,1.1436
2022.5985,3.29176,1.93205,4.63457,0.71919,5.8371,0.508,0.14992,0.88419,-0.1687,1.21048
2023.29851,3.11727,1.80848,4.49811,0.47777,5.82689,0.45465,0.10775,0.81553,-0.22704,1.19873
2024.49851,3.0152,1.73604,4.30501,0.47817,5.5733,0.25569,-0.10214,0.6351,-0.4632,1.02638
2025.29842,3.11112,1.85177,4.46347,0.62651,5.83286,0.19382,-0.14497,0.53815,-0.47646,0.90018
2026.59828,3.20292,1.91766,4.56902,0.60754,5.74364,0.17922,-0.17358,0.5239,-0.55108,0.83839
2027.39829,3.96881,2.56264,5.28131,1.25598,6.61038,0.33444,-0.01184,0.69862,-0.38456,1.04021
2028.39831,4.24193,3.00594,5.61079,1.75223,6.96596,0.47914,0.11599,0.83943,-0.20939,1.19512
