depth,age_ka,d18O
164.36,3505.97,3.17
164.41,3507.13,3.15
164.42,3507.36,3.26
164.46,3508.29,3.38
164.51,3509.44,3.33
164.56,3510.6,3.29
164.61,3511.76,3.26
164.66,3512.92,3.39
164.71,3514.07,3.28
164.76,3515.23,3.18
164.77,3515.46,3.18
164.81,3516.39,3.41
164.83,3516.84,3.31
164.85,3517.31,3.21
164.87,3517.7,3.25
164.9,3518.55,3.27
164.94,3519.41,3.21
164.98,3520.26,3.28
165.04,3521.71,3.42
165.05,3521.97,3.3
165.09,3522.82,3.44
165.16,3524.53,3.24
165.18,3524.95,3.29
165.2,3525.39,3.41
165.24,3526.24,3.21
165.27,3527.1,3.38
165.31,3527.95,3.32
165.35,3528.81,3.26
165.38,3529.66,3.31
165.46,3531.37,3.15
165.48,3531.9,2.97
165.49,3532.22,3.23
165.53,3533.08,3.03
165.57,3533.93,3.31
165.6,3534.79,3.21
165.63,3535.37,3.21
165.64,3535.64,3.24
165.72,3537.35,3.29
165.75,3538.21,3.06
165.79,3539.06,3.14
165.83,3539.92,2.97
165.86,3540.61,3.03
165.9,3541.28,3.18
165.92,3541.65,3.13
165.94,3541.96,3.19
166.04,3543.84,3.35
166.05,3543.99,3.36
166.09,3544.82,3.34
166.15,3545.88,3.47
166.21,3546.95,3.39
166.27,3548.01,3.29
166.31,3548.78,3.53
166.33,3549.08,3.61
166.38,3550.14,3.46
166.44,3551.21,3.51
166.5,3552.27,3.3
166.54,3552.99,3.32
166.56,3553.34,3.2
166.62,3554.4,3.39
166.68,3555.47,3.32
166.73,3556.54,3.28
166.77,3557.2,3.36
166.79,3557.6,3.21
166.85,3558.67,3.4
166.91,3559.73,3.22
166.97,3560.8,3.39
167,3561.4,3.37
167.03,3561.86,3.26
167.08,3562.93,3.42
167.14,3563.94,3.33
167.18,3564.74,3.32
167.22,3565.43,3.28
167.23,3565.54,3.33
167.27,3566.34,3.21
167.31,3567.14,3.34
167.36,3567.94,3.21
167.38,3568.35,3.24
167.4,3568.74,3.31
167.45,3569.54,3.25
167.49,3570.34,3.18
167.53,3571.14,3.4
167.62,3572.74,3.26
167.66,3573.54,3.34
167.71,3574.34,3.26
167.73,3574.76,3.41
167.75,3575.14,3.26
167.8,3575.95,3.18
167.88,3577.55,3.28
167.91,3578.05,3.05
167.93,3578.35,3.27
167.97,3579.15,3.3
168.01,3579.95,3.39
168.06,3580.75,3.24
168.08,3581.16,3.32
168.1,3581.55,3.19
168.15,3582.35,3.38
168.19,3583.15,2.97
168.23,3583.95,3.24
168.25,3584.27,3.36
168.28,3584.75,3.25
168.32,3585.55,3.47
168.36,3586.35,3.2
168.41,3587.15,3.26
168.45,3587.95,3.33
168.5,3588.75,3.24
168.54,3589.55,3.17
168.58,3590.35,3.33
168.6,3590.67,3.18
168.62,3591.05,3.28
168.66,3591.69,3.29
168.69,3592.32,3.26
168.73,3592.96,3.22
168.74,3593.23,3.32
168.76,3593.59,3.16
168.79,3594.23,3.14
168.83,3594.86,3.28
168.85,3595.24,3.17
168.88,3595.72,3.08
168.94,3596.92,3.12
169.01,3598.11,2.88
169.02,3598.35,3.26
169.07,3599.31,2.77
169.14,3600.5,3.23
169.18,3601.28,2.81
169.2,3601.69,3.17
169.27,3602.89,3.22
169.33,3604.08,3.15
169.4,3605.28,3.09
169.44,3606.04,3.22
169.46,3606.47,3.19
169.53,3607.67,3.15
169.59,3608.86,3.01
169.66,3610.06,3.13
169.69,3610.61,3.38
169.73,3611.25,3.12
169.79,3612.45,3.17
169.86,3613.64,3.16
169.92,3614.84,3.24
169.95,3615.37,3.33
169.99,3616.03,3.41
170.05,3617.22,3.22
170.12,3618.42,3.18
170.17,3619.43,3.26
170.2,3619.94,3.33
170.22,3620.39,3.38
170.27,3621.22,3.34
170.28,3621.36,3.47
170.33,3622.32,3.55
170.38,3623.28,3.22
170.41,3623.78,3.58
170.44,3624.25,3.55
170.47,3624.88,3.47
170.49,3625.21,3.5
170.54,3626.18,3.48
170.59,3627.14,3.56
170.62,3627.62,3.6
170.65,3628.1,3.28
170.67,3628.54,3.53
170.7,3629.07,3.55
170.74,3629.82,3.82
170.75,3630.03,3.54
170.79,3630.7,3.42
170.8,3630.95,3.5
170.83,3631.4,3.62
170.84,3631.57,3.67
170.86,3631.87,3.55
170.87,3632.1,3.61
170.89,3632.45,3.56
170.91,3632.79,3.68
170.94,3633.32,3.64
170.96,3633.71,3.52
170.99,3634.19,3.73
171.02,3634.63,3.69
171.02,3634.72,3.52
171.04,3635.07,2.95
171.19,3637.69,3.5
171.22,3638.21,3.63
171.24,3638.56,3.52
171.29,3639.43,3.27
171.34,3640.31,3.44
171.39,3641.18,3.27
171.43,3641.79,3.22
171.44,3642.05,3.33
171.49,3642.93,3.15
