Leg,Site,Hole,Core,Type,Section,Top,Bottom,Mid Depth,mbsf,age_ka,U_auth,Mn_excess,Ba_excess,Opal_conc,C_37,CaCO3_conc
198,1208,A,15,H,6,130,132,137.01,136.5270321,3012.466531,0.386940945,702.2758051,601.6210415,5.112998349,1.070577134,77.07
198,1208,A,15,H,7,0,1,137.205,136.7113422,3016.53286,0.725516649,727.9520998,596.5457135,,1.421244665,75.88
198,1208,A,15,H,7,4,6,137.25,136.7538752,3017.471244,0.591740028,686.5999032,657.6290238,5.177312639,1.354683923,74.02
198,1208,A,15,H,7,32,34,137.53,137.0185255,3023.314413,0.552331268,578.2810893,1004.503629,6.71751483,1.210977582,66.49
198,1208,A,15,H,7,47,49,137.68,137.1603025,3026.945296,0.223977794,633.3356323,1109.144168,6.046116168,1.471159434,60.36
198,1208,A,15,H,7,52,54,137.73,137.2075614,3028.340635,0.300430056,493.8219021,1065.070884,6.753910322,1.671954509,57.67
198,1208,A,15,H,7,66,68,137.87,137.3398866,3032.272115,0.46497426,541.1486837,891.5840146,6.51383477,1.184650221,51.67
198,1208,A,16,H,1,5,7,137.76,137.756338,3045,0.274233823,427.2289794,1476.711469,7.286080179,2.772502783,48.91
198,1208,A,16,H,1,32,34,138.03,138.0098592,3049.71899,0.101473533,491.8605156,1271.893698,8.100361351,2.341609616,48.58
198,1208,A,16,H,1,64,65,138.345,138.3056338,3055.291556,0.6681308,484.6065809,1351.297911,10.14610145,1.261522273,49.72
198,1208,A,16,H,1,89,91,138.6,138.5450704,3060.510146,0.346371595,481.8224331,1343.152467,10.27793632,1.197526616,52.83
198,1208,A,16,H,1,107,108,138.775,138.7093897,3064.764228,0.375302504,760.3008512,935.8065839,6.508131764,1.607189092,64.03
198,1208,A,16,H,2,3,5,139.24,139.1460094,3076.12344,0.301286866,644.0171096,807.4238818,9.178879704,1.412798182,65.97
198,1208,A,16,H,2,18,20,139.39,139.2868545,3079.787702,0.265668862,697.4112817,765.1161181,7.330277456,0.884,68.73
198,1208,A,16,H,2,36,38,139.57,139.4558685,3084.184816,0.253639637,749.6399156,788.4218611,7.133180498,0.963086333,75.06
198,1208,A,16,H,2,59,60,139.795,139.6671362,3089.640719,0.159261159,831.7482679,756.8097265,8.105210236,1.003543112,70.94
198,1208,A,16,H,2,79,80,139.995,139.8549296,3094.619471,0.050762882,807.2130429,686.5508797,7.101644009,0.748192228,68.76
198,1208,A,16,H,2,92,94,140.13,139.9816901,3097.968866,0.115732065,759.9457023,686.9448234,6.107576811,0.548522289,71.76
198,1208,A,16,H,2,102,104,140.23,140.0755869,3100.424719,0.041296612,828.1595652,621.6759764,6.313371295,0.359619241,67.54
198,1208,A,16,H,3,94,96,141.65,141.4089202,3133.350832,0.336618111,526.1177712,752.9420723,7.827985646,1.390102754,56.58
198,1208,A,16,H,4,94,96,143.15,142.8173709,3170.802717,0.015326567,793.1397353,659.8013663,4.670912157,0.475086484,77.6
198,1208,A,16,H,5,94,96,144.65,144.2258216,3219.515426,0.033032132,728.4795316,867.8478955,5.311810688,0.682273592,67.61
198,1208,A,16,H,6,92,94,146.13,145.615493,3260.458372,0.099360387,518.1088348,931.7798103,7.604058004,1.900353569,61.15
198,1208,A,16,H,7,52,54,147.23,146.6483568,3287.118265,0.97417178,611.1094437,805.7356797,4.801522821,2.670177379,70.16666667
198,1208,A,17,H,1,88,90,148.09,148.0404155,3319.323927,0.242305387,746.1863025,972.5844844,5.016440987,0.22,77.59
198,1208,A,17,H,2,88,90,149.59,149.4568461,3364.357583,0.142847133,744.4385604,720.2424538,3.915426968,0.571165849,80.9
198,1208,A,17,H,3,93,95,151.14,150.920491,3405.457569,0.019246336,731.3681736,760.0556516,4.04839617,1.006366931,77.11
198,1208,A,17,H,4,87,89,152.58,152.2802644,3435.017859,0.018362679,881.3278917,912.7191954,3.787882882,0.759304863,66.8
198,1208,A,17,H,5,88,90,154.09,153.7061379,3478.685888,0.13831283,1022.511448,613.3174494,4.892867535,0.232002156,82.01
198,1208,A,17,H,6,88,90,155.59,155.1225685,3534.551636,0.031215261,1005.944674,750.3252364,7.191215764,0.467834082,74.22
198,1208,A,17,H,7,53,55,156.74,156.2084986,3560.902266,0.021804966,872.1211172,1249.127757,8.554339826,0.852830033,57.74
