lower95_age,age_ka,upper95_age,depth (mcd),Species,d18O_unadj,d18O,d13C
2656.087188,2661.270601,2668.71345,39.17,CWUEL,3.11,3.75,-0.03
2659.808612,2666.454014,2671.770335,39.27,CWUEL,3.24,3.88,-0.32
2661.270601,2668.04891,2672.700691,39.3,CWUEL,3.26,3.90,-0.50
2662.732589,2669.776715,2674.295587,39.34,CWUEL,3.19,3.83,-0.09
2663.795853,2671.238703,2675.49176,39.37,CWUEL,3.17,3.81,0.00
2665.523658,2672.833599,2676.555024,39.4,CWUEL,2.94,3.58,0.04
2666.71983,2673.896863,2677.352472,39.42,CWUEL,3.05,3.69,-0.05
2668.04891,2674.82722,2678.14992,39.44,CWUEL,3.07,3.71,-0.23
2669.510898,2675.890484,2679.213184,39.47,CWUEL,2.95,3.59,-0.17
2671.637427,2677.086656,2680.409357,39.5,CWUEL,3.19,3.83,-0.28
2674.029771,2678.681552,2681.738437,39.54,CWUEL,3.30,3.94,-0.13
2675.890484,2679.744817,2682.801701,39.57,CWUEL,3.18,3.82,-0.28
2677.48538,2680.940989,2683.997873,39.6,CWUEL,3.36,4.00,-0.29
2679.213184,2682.270069,2685.194046,39.64,CWUEL,3.40,4.04,-0.19
2680.542265,2683.333333,2686.25731,39.67,CWUEL,3.35,3.99,-0.21
2681.605529,2684.26369,2687.320574,39.7,CWUEL,3.39,4.03,-0.28
2682.402977,2685.061138,2688.118022,39.72,CWUEL,3.40,4.04,-0.48
2683.333333,2685.725678,2689.048379,39.74,CWUEL,3.51,4.15,-0.45
2684.26369,2686.92185,2689.978735,39.77,CWUEL,3.48,4.12,-0.11
2685.326954,2687.985114,2691.440723,39.8,CWUEL,3.42,4.06,-0.19
2686.656034,2689.314195,2692.902711,39.84,CWUEL,3.48,4.12,-0.23
2687.719298,2690.510367,2694.231792,39.87,CWUEL,3.42,4.06,-0.26
2688.649654,2691.573631,2695.295056,39.9,CWUEL,3.50,4.14,-0.48
2689.978735,2693.168527,2696.757044,39.94,CWUEL,3.48,4.12,-0.35
2691.041999,2694.231792,2698.086124,39.97,CWUEL,3.31,3.95,-0.21
2692.105263,2695.427964,2699.681021,40,CWUEL,3.31,3.95,-0.22
2692.769803,2696.092504,2700.611377,40.02,CWUEL,3.04,3.68,-0.37
2693.567251,2697.02286,2702.073365,40.04,CWUEL,3.22,3.86,-0.13
2694.630516,2698.484848,2704.066986,40.07,CWUEL,3.11,3.75,-0.16
2695.69378,2699.813929,2705.79479,40.1,CWUEL,3.18,3.82,-0.10
2697.02286,2701.674641,2708.984583,40.14,CWUEL,3.19,3.83,-0.14
2698.086124,2703.668262,2711.111111,40.17,CWUEL,3.21,3.85,-0.05
2698.750665,2704.731526,2712.174375,40.19,CWUEL,3.22,3.86,-0.13
2700.212653,2706.725146,2714.433812,40.23,CWUEL,3.24,3.88,-0.26
2701.807549,2708.851675,2716.56034,40.27,CWUEL,3.15,3.79,-0.33
2704.332802,2711.642743,2719.883041,40.34,CWUEL,3.35,3.99,-0.33
2705.396066,2712.971823,2721.079213,40.36,CWUEL,3.34,3.98,-0.47
2705.79479,2713.503456,2721.477937,40.37,CWUEL,3.32,3.96,-0.53
2708.320043,2716.028708,2723.471558,40.42,CWUEL,3.49,4.13,-0.55
2710.712387,2718.819777,2725.598086,40.47,CWUEL,3.32,3.96,-0.70
2713.769272,2721.212121,2727.458799,40.52,CWUEL,3.44,4.08,-0.43
