depth,age_ka,mcd,bSiO2,opal_acc_rate,Siliciclast_percent,silica_acc_rate,label
77.32,1917.8,83.61,2.3,0.03,84.8,1,"145-882A-9H-2,50-54"
77.62,1934.8,83.9,8.2,0.1,75,0.95,"145-882A-9H-2,80-84"
77.86,1947.7,84.14,11.8,0.2,72.9,1.26,"145-882A-9H-2,104-108"
78.22,1955.5,84.49,4.8,0.16,83.7,2.76,"145-882A-9H-2,140-144"
78.52,1962,84.78,13.2,0.41,71.2,2.22,"145-882A-9H-3,20-24"
78.82,1968.5,85.07,5.4,0.19,53.9,1.92,"145-882A-9H-3,50-54"
79.1,1974.6,85.34,4.4,0.13,83.6,2.48,"145-882A-9H-3,78-82"
79.36,1981.4,85.59,5.3,0.13,78.9,1.99,"145-882A-9H-3,104-108"
79.72,1991.1,85.94,8.3,0.19,77.4,1.8,"145-882A-9H-3,140-144"
80.02,1999.2,86.23,5.5,0.12,43.5,0.94,"145-882A-9H-4,20-24"
80.62,2017.2,86.81,7.6,0.14,37.2,0.67,"145-882A-9H-4,80-84"
80.9,2029.2,87.09,7.7,0.1,28.6,0.36,"145-882A-9H-4,108-112"
81.22,2042.5,87.4,5.3,0.08,35.3,0.54,"145-882A-9H-4,140-144"
81.52,2054.2,87.69,7.4,0.18,33.9,0.84,"145-882A-9H-5,20-24"
81.82,2063.2,87.98,17.6,0.38,29.6,0.63,"145-882A-9H-5,50-54"
81.93,2066.7,88.09,7.9,0.18,47.1,1.07,"145-882A-9H-5,61-65"
82.32,2078.2,88.46,6.6,0.13,50.5,0.98,"145-882A-9H-5,100-104"
82.72,2092.8,88.85,6.8,0.1,43.4,0.66,"145-882A-9H-5,140-144"
83.02,2107,89.14,10.5,0.16,26.8,0.4,"145-882A-9H-6,20-24"
83.32,2121.2,89.43,5.8,0.09,47.6,0.7,"145-882A-9H-6,50-54"
83.84,2143.4,89.94,9.5,0.16,35.6,0.59,"145-882A-9H-6,102-106"
84.22,2158.4,90.31,10.7,0.18,37.7,0.63,"145-882A-9H-6,140-144"
84.52,2173.2,90.75,8.6,0.18,32.2,0.67,"145-882A-9H-7,20-24"
84.4,2173.5,90.77,13.2,0.52,27.8,1.09,"145-882B-10H-3,100-102"
84.6,2176.9,90.97,12.2,0.46,28.3,1.08,"145-882B-10H-3,120-122"
85,2183.7,91.37,6.8,0.22,33,1.06,"145-882B-10H-4,10-12"
