depth,age_ka,mcd,bSiO2,opal_acc_rate,Siliciclast_percent,silica_acc_rate,label
324.62,4719.7,356.45,76.3,2.3,7.9,0.24,"145-882A-35H-2,80-84"
324.86,4723.3,356.69,69.7,1.86,5.3,0.14,"145-882A-35H-2,104-108"
325.22,4728.6,357.05,69.2,1.94,5.4,0.15,"145-882A-35H-2,140-144"
325.52,4733.1,357.35,72.4,2.08,10.2,0.29,"145-882A-35H-3,20-24"
325.82,4737.6,357.65,73.6,2.28,6,0.19,"145-882A-35H-3,50-54"
326.72,4751,358.55,65.4,2.04,11.5,0.36,"145-882A-35H-3,140-144"
327.02,4755.4,358.85,62.4,2.12,7.2,0.25,"145-882A-35H-4,20-24"
327.32,4759.9,359.15,44,1.34,8,0.24,"145-882A-35H-4,50-54"
327.62,4764.4,359.45,63.2,2.37,6.8,0.25,"145-882A-35H-4,80-84"
327.86,4767.9,359.69,60.3,1.86,10.5,0.33,"145-882A-35H-4,104-108"
328.22,4773.3,360.05,78.8,2.55,9.1,0.29,"145-882A-35H-4,140-144"
328.82,4782.2,360.65,56.6,1.94,16.3,0.56,"145-882A-35H-5,50-54"
329.12,4786.5,360.95,69,2.13,6,0.18,"145-882A-35H-5,80-84"
329.36,4789.8,361.19,65.9,2.28,5.1,0.18,"145-882A-35H-5,104-108"
329.72,4794.8,361.55,80.4,2.82,8.7,0.3,"145-882A-35H-5,140-144"
330.02,4799,361.85,65.7,2.2,8.3,0.28,"145-882A-35H-6,20-24"
330.62,4807.3,362.45,65.1,2.61,5.7,0.23,"145-882A-35H-6,80-84"
330.86,4810.7,362.69,64,2.37,5.8,0.22,"145-882A-35H-6,104-108"
331.22,4815.7,363.05,62.8,1.98,6.1,0.19,"145-882A-35H-6,140-144"
331.52,4819.8,363.35,62.4,2.39,8.3,0.32,"145-882A-35H-7,20-24"
331.82,4824,363.65,58.9,1.9,5,0.16,"145-882A-35H-7,50-54"
332.02,4826.8,363.85,48.1,1.78,6,0.22,"145-882A-36H-1,20-24"
332.32,4831,364.15,48.3,1.56,7.3,0.23,"145-882A-36H-1,50-54"
332.62,4835.1,364.45,62.4,2.15,8.2,0.28,"145-882A-36H-1,80-84"
332.86,4838.5,364.69,69.6,2.24,5.2,0.17,"145-882A-36H-1,104-108"
333.22,4843.5,365.05,75.5,2.48,5.9,0.19,"145-882A-36H-1,140-144"
333.52,4847.6,365.35,55.6,1.86,5,0.17,"145-882A-36H-2,20-24"
333.82,4851.8,365.65,58.1,2.08,5.5,0.2,"145-882A-36H-2,50-54"
334.12,4856,365.95,56.3,1.96,6.2,0.21,"145-882A-36H-2,80-84"
334.36,4859.3,366.19,60.9,2.04,6.2,0.21,"145-882A-36H-2,104-108"
334.72,4864.3,366.55,59.4,2.18,5.7,0.21,"145-882A-36H-2,140-144"
335.02,4868.5,366.85,48.2,1.9,14.3,0.56,"145-882A-36H-3,20-24"
335.32,4872.6,367.15,45,1.64,5.5,0.2,"145-882A-36H-3,50-54"
335.62,4876.8,367.45,51.1,1.93,8.1,0.3,"145-882A-36H-3,80-84"
335.86,4880.2,367.69,53.1,1.73,8.7,0.28,"145-882A-36H-3,104-108"
336.22,4886,368.05,53,1.8,8.2,0.28,"145-882A-36H-3,140-144"
336.52,4890.8,368.35,48,1.64,10.6,0.36,"145-882A-36H-4,20-24"
336.82,4895.6,368.65,54.8,2.01,6.4,0.23,"145-882A-36H-4,50-54"
337.12,4900.4,368.95,61.9,1.85,10.6,0.32,"145-882A-36H-4,80-84"
337.36,4904.3,369.19,68.1,1.82,7.4,0.2,"145-882A-36H-4,104-108"
337.72,4910.1,369.55,63.3,2,7.1,0.22,"145-882A-36H-4,140-144"
338.02,4914.9,369.85,61.7,1.78,10.6,0.31,"145-882A-36H-5,20-24"
338.32,4919.8,370.15,52.8,1.87,7.1,0.25,"145-882A-36H-5,50-54"
338.62,4924.6,370.45,59.7,1.92,5.7,0.18,"145-882A-36H-5,80-84"
338.86,4928.5,370.69,69.2,1.92,3.8,0.11,"145-882A-36H-5,104-108"
339.22,4934.3,371.05,60.5,1.68,5,0.14,"145-882A-36H-5,140-144"
339.52,4939.1,371.35,57.4,1.96,7.5,0.26,"145-882A-36H-6,20-24"
339.82,4943.9,371.65,40.9,1.48,9.5,0.34,"145-882A-36H-6,50-54"
340.12,4948.7,371.95,37.5,1.39,11.4,0.42,"145-882A-36H-6,80-84"
340.36,4952.6,372.19,42.5,1.58,6.6,0.25,"145-882A-36H-6,104-108"
340.72,4958.4,372.55,33.2,1.44,4.4,0.19,"145-882A-36H-6,140-144"
341.02,4963.2,372.85,37.2,1.46,12,0.47,"145-882A-36H-7,20-24"
341.32,4968.1,373.15,29.2,0.66,24.6,0.56,"145-882A-36H-7,50-54"
341.81,4975.9,373.64,58.6,1.92,5.8,0.19,"145-882A-37H-1,49-53"
342.12,4981,373.95,67.1,1.75,5,0.13,"145-882A-37H-1,80-84"
342.35,4984.8,374.18,69.7,1.96,6.4,0.18,"145-882A-37H-1,103-107"
343.02,4996,374.85,53,1.61,27.7,0.84,"145-882A-37H-2,20-24"
343.31,5000.8,375.14,47.6,1.68,8.3,0.29,"145-882A-37H-2,49-53"
343.61,5005.8,375.44,27.7,0.93,7.3,0.24,"145-882A-37H-2,79-83"
343.86,5010,375.69,55.7,1.67,12.2,0.36,"145-882A-37H-2,104-108"
344.22,5016,376.05,31.2,1.1,8.4,0.3,"145-882A-37H-2,140-144"
344.52,5021,376.35,24.4,0.97,8.5,0.34,"145-882A-37H-3,20-24"
344.81,5025.8,376.64,29.4,1.14,18.8,0.73,"145-882A-37H-3,49-53"
345.11,5030.8,376.94,19.3,0.58,37.9,1.13,"145-882A-37H-3,79-83"
345.36,5035,377.19,43.2,1.47,10.4,0.35,"145-882A-37H-3,104-108"
345.72,5041,377.55,51,1.27,6,0.15,"145-882A-37H-3,140-144"
346.02,5046,377.85,39.8,1.47,8.9,0.33,"145-882A-37H-4,20-24"
346.31,5050.8,378.14,41.5,1.59,7.4,0.28,"145-882A-37H-4,49-53"
346.61,5055.8,378.44,27.1,1,7.9,0.29,"145-882A-37H-4,79-83"
346.86,5060,378.69,22.4,0.99,5.6,0.25,"145-882A-37H-4,104-108"
347.22,5065.9,379.05,24.4,1.11,6.9,0.31,"145-882A-37H-4,140-144"
347.81,5075.8,379.64,60.5,2.23,11.1,0.41,"145-882A-37H-5,49-53"
348.36,5084.9,380.19,26.7,0.98,5.9,0.22,"145-882A-37H-5,104-108"
348.72,5090.9,380.55,37.5,1.39,11,0.41,"145-882A-37H-5,140-144"
349.02,5095.9,380.85,23.8,0.88,8.8,0.32,"145-882A-37H-6,20-24"
349.38,5101.9,381.21,20,0.74,11.8,0.44,"145-882A-37H-6,56-60"
349.62,5105.9,381.45,25.8,0.95,5.5,0.2,"145-882A-37H-6,80-84"
349.86,5109.9,381.69,48.2,1.78,10.5,0.39,"145-882A-37H-6,104-108"
350.22,5115.9,382.05,26.7,0.99,5.8,0.21,"145-882A-37H-6,140-144"
350.55,5121.4,382.38,29.4,1.08,11.1,0.41,"145-882A-37H-7,23-27"
351.02,5129.2,382.85,27.3,1.03,6.2,0.24,"145-882A-38H-1,20-24"
351.32,5134.2,383.15,23.8,0.9,17.1,0.64,"145-882A-38H-1,50-54"
351.62,5139.2,383.45,27.5,1.11,3.5,0.14,"145-882A-38H-1,80-84"
351.86,5143.2,383.69,47.4,1.75,8.8,0.32,"145-882A-38H-1,104-108"
352.22,5149.2,384.05,63.3,2.07,9.8,0.32,"145-882A-38H-1,140-144"
352.52,5154.2,384.35,47.9,1.4,6.9,0.2,"145-882A-38H-2,20-24"
353.12,5164.2,384.95,49.9,1.48,9.5,0.28,"145-882A-38H-2,80-84"
353.36,5168.2,385.19,65.6,1.96,8.4,0.25,"145-882A-38H-2,104-108"
353.72,5174.2,385.55,57.4,1.79,11.5,0.36,"145-882A-38H-2,140-144"
354.04,5179.5,385.87,53.9,2.04,8.8,0.33,"145-882A-38H-3,22-26"
354.32,5184.2,386.15,58.5,1.73,14.5,0.43,"145-882A-38H-3,50-54"
354.62,5189.2,386.45,57.7,1.76,7.9,0.24,"145-882A-38H-3,80-84"
355.22,5199.2,387.05,55.2,1.64,20,0.6,"145-882A-38H-3,140-144"
355.52,5204.2,387.35,68.6,2.12,10.8,0.33,"145-882A-38H-4,20-24"
355.82,5209.2,387.65,48.8,1.47,12.7,0.38,"145-882A-38H-4,50-54"
356.13,5214.3,387.96,40.4,1.44,28.7,1.02,"145-882A-38H-4,81-85"
356.72,5224.2,388.55,69.9,1.91,10.5,0.29,"145-882A-38H-4,140-144"
357.02,5229.2,388.85,62.6,1.87,11.8,0.35,"145-882A-38H-5,20-24"
357.32,5234.2,389.15,68,2.24,10.3,0.34,"145-882A-38H-5,50-54"
357.62,5239.2,389.45,63,1.6,11.7,0.3,"145-882A-38H-5,80-84"
357.86,5243.2,389.69,59.1,1.94,14.2,0.47,"145-882A-38H-5,104-108"
358.22,5249.2,390.05,56.1,1.7,7.4,0.22,"145-882A-38H-5,140-144"
358.52,5254.2,390.35,59.8,1.79,10.8,0.32,"145-882A-38H-6,20-24"
358.82,5259.2,390.65,57.4,1.66,13.3,0.38,"145-882A-38H-6,50-54"
359.12,5264.2,390.95,56,1.67,15.7,0.47,"145-882A-38H-6,80-84"
359.36,5268.2,391.19,68.2,1.81,4.4,0.12,"145-882A-38H-6,104-108"
359.72,5274.2,391.55,68.8,2.05,8.7,0.26,"145-882A-38H-6,140-144"
360.02,5279.2,391.85,53.5,1.7,21.8,0.69,"145-882A-38H-7,20-24"
360.82,5292.5,392.65,76,2.25,5.7,0.17,"145-882A-39H-1,50-54"
361.12,5297.5,392.95,65.5,2.08,3,0.1,"145-882A-39H-1,80-84"
361.36,5301.5,393.19,51.7,1.55,2.5,0.08,"145-882A-39H-1,104-108"
361.72,5307.5,393.55,55.5,1.49,5.2,0.14,"145-882A-39H-1,140-144"
362.02,5312.5,393.85,67.4,2.01,4.3,0.13,"145-882A-39H-2,20-24"
362.32,5317.5,394.15,76,2.5,4,0.13,"145-882A-39H-2,50-54"
362.62,5322.5,394.45,69.9,1.74,5.5,0.14,"145-882A-39H-2,80-84"
362.86,5326.5,394.69,62.8,1.78,4.9,0.14,"145-882A-39H-2,104-108"
363.22,5332.5,395.05,52.1,1.45,15.5,0.43,"145-882A-39H-2,140-144"
363.52,5337.5,395.35,72.4,2.02,6.6,0.18,"145-882A-39H-3,20-24"
363.82,5342.5,395.65,67.9,1.82,12.4,0.33,"145-882A-39H-3,50-54"
364.12,5347.6,395.95,68.3,1.68,5.7,0.14,"145-882A-39H-3,80-84"
364.36,5351.6,396.19,65.1,1.78,6.3,0.17,"145-882A-39H-3,104-108"
364.72,5357.6,396.55,70.8,1.8,4.2,0.11,"145-882A-39H-3,140-144"
365.02,5362.6,396.85,71.7,1.85,7,0.18,"145-882A-39H-4,20-24"
365.32,5367.6,397.15,65.3,2.08,4.8,0.15,"145-882A-39H-4,50-54"
365.62,5372.6,397.45,70.8,1.76,6,0.15,"145-882A-39H-4,80-84"
365.86,5376.6,397.69,65.4,1.69,10.1,0.26,"145-882A-39H-4,104-108"
366.22,5382.6,398.05,76.1,2.18,4.2,0.12,"145-882A-39H-4,140-144"
366.52,5387.6,398.35,56.9,1.62,5.4,0.15,"145-882A-39H-5,20-24"
366.82,5392.6,398.65,67.9,1.82,4,0.11,"145-882A-39H-5,50-54"
367.72,5407.6,399.55,59.6,1.72,15,0.43,"145-882A-39H-5,140-144"
368.02,5412.6,399.85,53,1.58,14,0.42,"145-882A-39H-6,20-24"
370.62,5455.9,402.45,37.8,1.15,6.6,0.2,"145-882A-40H-1,80-84"
372.12,5480.9,403.95,40.1,1.26,5.8,0.18,"145-882A-40H-2,80-84"
372.72,5490.9,404.55,49.6,1.43,9.1,0.26,"145-882A-40H-2,140-144"
373.62,5505.9,405.45,42.3,1.24,4.6,0.14,"145-882A-40H-3,80-84"
374.22,5516,406.05,58.9,1.73,3.9,0.11,"145-882A-40H-3,140-144"
376.62,5556,408.45,49.4,1.64,6.1,0.2,"145-882A-40H-5,80-84"
377.22,5566,409.05,47.7,1.62,4.3,0.15,"145-882A-40H-5,140-144"
378.12,5581,409.95,47.2,1.26,5.6,0.15,"145-882A-40H-6,80-84"
380.12,5614.3,411.95,33,1,13.7,0.41,"145-882A-41H-1,80-84"
381.62,5639.3,413.45,33.7,0.9,2.3,0.06,"145-882A-41H-2,80-84"
382.22,5649.3,414.05,26.1,0.73,3,0.08,"145-882A-41H-2,140-144"
383.12,5664.3,414.95,27.1,0.72,3,0.08,"145-882A-41H-3,80-84"
383.72,5674.3,415.55,14.9,0.45,2.8,0.08,"145-882A-41H-3,140-144"
384.32,5684.3,416.15,21.6,0.69,3,0.1,"145-882A-41H-4,50-54"
386.12,5714.4,417.95,30.4,1.08,8.2,0.29,"145-882A-41H-5,80-84"
386.72,5724.4,418.55,24.6,0.76,3.6,0.11,"145-882A-41H-5,140-144"
387.62,5739.4,419.45,34.5,1.19,6.5,0.22,"145-882A-41H-6,80-84"
388.22,5749.4,420.05,16.9,0.55,3.4,0.11,"145-882A-41H-6,140-144"
389.62,5772.7,421.45,29.5,0.95,4.5,0.15,"145-882A-42H-1,80-84"
390.22,5782.7,422.05,22,0.6,3.4,0.09,"145-882A-42H-1,140-144"
391.12,5797.7,422.95,31.9,0.99,12.3,0.38,"145-882A-42H-2,80-84"
392.62,5822.7,424.45,31,1.05,6.8,0.23,"145-882A-42H-3,80-84"
394.12,5847.7,425.95,29.1,0.9,5,0.15,"145-882A-42H-4,80-84"
394.72,5857.8,426.55,28.5,0.88,6.1,0.19,"145-882A-42H-4,140-144"
395.62,5872.8,427.45,40.1,1.24,4.9,0.15,"145-882A-42H-5,80-84"
396.22,5882.8,428.05,25.6,0.79,5.1,0.16,"145-882A-42H-5,140-144"
397.12,5897.8,428.95,22.5,0.82,4.5,0.17,"145-882A-42H-6,80-84"
397.72,5907.8,429.55,43.3,1.42,7.1,0.23,"145-882A-42H-6,140-144"
