Age_Ma_PLIOVAR,age_ka,temp_min2,temp_min1,temp,temp_plus1,temp_plus2,SST
2.961,2960.598,17.21189096,18.12442266,19.52532187,20.92135336,21.8385523,19.52532187
2.963,2962.763,16.53648867,17.44686556,18.83188273,20.23116049,21.16498145,18.83188273
2.965,2965,16.67758912,17.60579216,19.00691766,20.40679681,21.33771853,19.00691766
2.968,2967.851,16.23321451,17.15472924,18.53875769,19.94103483,20.85003029,18.53875769
2.972,2971.684,16.50269466,17.41321303,18.80212423,20.18534125,21.12232286,18.80212423
2.974,2973.749,16.60755167,17.53736965,18.92114499,20.29254065,21.2315465,18.92114499
2.977,2976.697,16.44088348,17.34991476,18.75040742,20.16164224,21.08096375,18.75040742
2.98,2979.646,16.95680852,17.85099221,19.2583258,20.6596931,21.58532179,19.2583258
2.98,2980.217,15.98804536,16.91765027,18.3124114,19.65940618,20.57058286,18.3124114
2.982,2982.215,16.93347689,17.84922623,19.23507839,20.64702789,21.54513561,19.23507839
2.982,2982.5,17.46211286,18.36587681,19.76493403,21.15615898,22.07048338,19.76493403
2.985,2985.483,17.50195928,18.41148677,19.81244401,21.1840242,22.08719235,19.81244401
2.986,2986.061,16.83424618,17.74586264,19.12326102,20.5204574,21.41493277,19.12326102
2.988,2988.374,16.65663208,17.58330313,18.98615706,20.36594668,21.29859038,18.98615706
2.991,2991.265,16.3030382,17.22386613,18.62167462,20.00818559,20.9405284,18.62167462
2.992,2991.843,15.69851264,16.61083712,18.02562946,19.39766128,20.30597809,18.02562946
2.994,2994.156,16.14693657,17.05452774,18.45917261,19.85179629,20.74976863,18.45917261
2.997,2997.046,16.97985394,17.88175025,19.26392884,20.68538053,21.58352842,19.26392884
2.998,2997.637,16.45815415,17.38109012,18.75289048,20.14783697,21.05799707,18.75289048
3,3000,16.02232738,16.93309282,18.32537389,19.74733725,20.65458306,18.32537389
3.002,3001.836,15.63011563,16.55486759,17.95183165,19.35707471,20.2693534,17.95183165
3.004,3003.708,16.23728425,17.1490119,18.54184724,19.93606556,20.8418312,18.54184724
3.006,3006.002,16.17250181,17.06421616,18.46421328,19.85585341,20.78580936,18.46421328
3.008,3008.296,16.42760817,17.30882362,18.69845767,20.08959793,21.01231005,18.69845767
3.01,3009.86,16.0601959,16.9592531,18.35330619,19.75056806,20.69579835,18.35330619
3.012,3012.258,15.14789218,16.06153325,17.45349246,18.8441915,19.75189824,17.45349246
3.014,3014.343,14.98798608,15.89701504,17.29056463,18.68478659,19.61733191,17.29056463
3.017,3017.054,13.15135598,14.06154389,15.43812581,16.81832286,17.69664775,15.43812581
3.019,3018.514,14.57581899,15.48086544,16.84553316,18.24225648,19.1713804,16.84553316
3.021,3021.225,15.33561406,16.25729329,17.61874585,19.02654677,19.95622212,17.61874585
3.023,3022.893,15.58365861,16.49715327,17.87112711,19.27101328,20.20720296,17.87112711
3.026,3025.556,16.51961261,17.4391529,18.82643411,20.21803515,21.13059705,18.82643411
3.028,3027.501,16.57802166,17.49732145,18.8945509,20.31130347,21.24259282,18.8945509
3.031,3031.149,17.59716013,18.51119327,19.92041237,21.31617812,22.2584372,19.92041237
