age_ka,SST,temp_min2,temp_min1,temp,temp_plus1,temp_plus2
2511.76,23.4,20.37581851,21.28609413,22.71594353,24.22279666,25.32125382
2511.83,22.9,19.86028102,20.77791389,22.1767829,23.63911053,24.69200478
2513.79,22.9,19.86585565,20.77998165,22.19365071,23.64490457,24.69310553
2514,23.1,20.05263724,20.97302612,22.3969285,23.833897,24.90026914
2515.77,23.2,20.17745384,21.08995491,22.5176083,23.98764096,25.07906873
2515.96,23.2,20.12626361,21.05622254,22.48048265,23.97237518,25.06484421
2517.72,23.5,20.42990671,21.37117338,22.81891784,24.33276426,25.46908536
2518.3,23.1,20.05213291,20.97236774,22.37047716,23.85065348,24.89648738
2519.67,23.4,20.35838652,21.27085997,22.69757985,24.21070971,25.32653226
2520.45,23.3,20.2588735,21.17222752,22.58438144,24.08795664,25.17723906
2521.62,23.5,20.46339557,21.38798736,22.80200611,24.31554066,25.43554122
2522.4,23.5,20.46163762,21.38987145,22.81411019,24.31018911,25.43981375
2524.15,23.8,20.76491228,21.69004878,23.13025012,24.71417104,25.90915928
2526.1,23.4,20.3305174,21.27479043,22.7071466,24.23520649,25.33851887
2527.86,23.2,20.17416532,21.07379921,22.49661521,23.98247388,25.05381535
2529.81,23,19.95659645,20.8763941,22.29771667,23.75298926,24.81130732
2531.96,23.6,20.57699734,21.50018875,22.93386332,24.44690492,25.59282211
2534.33,24,20.97611549,21.90139796,23.33326825,24.93786381,26.17009757
2536.38,23.9,20.88733339,21.81239378,23.26568789,24.81345399,25.99623127
2538.45,24.3,21.30253658,22.24556885,23.71185327,25.3758628,26.663658
2540.31,24.6,21.59532666,22.55108845,24.05807571,25.80513622,27.21574475
2542.38,24.6,21.58727005,22.54513644,24.04991025,25.74686136,27.19032427
2544.86,25.1,22.13816106,23.08044954,24.64470322,26.52125759,28.13652451
2547.55,25.5,22.57380336,23.57064587,25.1710047,27.2338732,28.97819285
2550.86,25.3,22.34363757,23.31997194,24.90589029,26.85663097,28.57734161
2555.78,25.4,22.44734436,23.4458225,25.05881913,27.07077772,28.88116144
2557.72,25.4,22.45879951,23.44453957,25.04849217,27.05188179,28.7979803
2559.66,25.2,22.24027933,23.20667302,24.79815141,26.71700374,28.36881375
2561.59,24.8,21.80751418,22.76423093,24.28806619,26.0564557,27.586965
2563.52,24.8,21.8120021,22.76866864,24.283501,26.06576055,27.5543095
2565.44,25,22.05174931,23.01920682,24.54027744,26.38255294,27.96005851
2567.37,24.8,21.79402386,22.7664262,24.30143908,26.09795127,27.60706512
2569.29,25.1,22.13269386,23.09935236,24.64174264,26.51287346,28.1641566
2571.22,25.2,22.25653409,23.20804196,24.78268621,26.70011428,28.3682136
2573.14,25.4,22.4552991,23.44544396,25.06660661,27.07070644,28.81149622
2575.07,25.5,22.56481375,23.54913373,25.19731103,27.24538084,29.07980903
2577,25.6,22.69294035,23.68664934,25.34958386,27.41030949,29.29524437
2578.92,25.4,22.45200791,23.43068939,25.03535795,27.03390982,28.79950052
2580.85,25.8,22.90143312,23.89917653,25.59159617,27.77433839,29.67142722
2582.77,25.9,23.02167071,24.03686314,25.73421476,27.99584114,29.95508919
2584.7,26.1,23.24381701,24.25641561,26.02792189,28.33619592,30.34434212
2586.52,26.1,23.23885232,24.24602349,26.00075115,28.32164729,30.31073327
2588.26,25.9,23.04401925,24.0333532,25.77241468,27.99520696,29.88740583
2590,25.5,22.57636167,23.5561071,25.18828984,27.27249606,29.10587884
2591.73,25.5,22.57404279,23.56485694,25.18978578,27.2525454,29.09260021
2593.46,25.4,22.48120562,23.42431738,25.03829594,27.03805042,28.79144553
2595.19,25.3,22.34099961,23.31137831,24.91967032,26.91074418,28.64087701
2596.93,25,22.05039054,22.98581433,24.55793181,26.41323109,27.99212572
2598.66,24.4,21.39561795,22.31662032,23.80708863,25.49522527,26.84298923
2600.39,24.2,21.17728447,22.11446061,23.58701548,25.21943877,26.48862837
2602.13,23.8,20.77094298,21.69168779,23.12694409,24.69166399,25.90188491
2603.86,23.8,20.76605919,21.71191702,23.1436473,24.70039391,25.8678227
2605.59,23.8,20.75943436,21.67918549,23.13708204,24.69715372,25.87791422
2607.32,24.5,21.51041696,22.44765579,23.92974627,25.63973683,26.99864864
2609.05,25.3,22.36842543,23.34584603,24.92145332,26.87323311,28.59630428
2610.82,25.4,22.47822358,23.44277357,25.05731613,27.0489871,28.78641258
2612.65,24.8,21.79556086,22.75400286,24.28905377,26.08738453,27.543862
2614.5,24.9,21.94026456,22.89395934,24.42250621,26.22671689,27.71786781
2616.36,24.7,21.70636516,22.64001516,24.17360608,25.92659262,27.34386431
2618.25,24.8,21.81836975,22.7690592,24.28819564,26.10257067,27.60017015
2620.49,25.3,22.35958295,23.32114761,24.91302124,26.87627164,28.56927189
2623.01,25.2,22.23620967,23.24153145,24.79901093,26.73358285,28.43850596
2625.85,25.2,22.24498309,23.21730595,24.8035555,26.69153528,28.37815977
2628.75,24.9,21.96037491,22.89079413,24.42332441,26.26541724,27.82583267
2631.63,24.9,21.95271888,22.88518055,24.40583502,26.20399557,27.73530616
2634.06,24.5,21.47276782,22.43275259,23.94109612,25.64429919,27.03178584
2636.39,24.3,21.27706789,22.2319988,23.704836,25.34254722,26.6802305
2638.71,24.2,21.15713502,22.1333514,23.60115786,25.21252579,26.48077308
2641.04,23.8,20.75586285,21.69915911,23.16334909,24.71094472,25.90879546
2643.36,24,20.99970552,21.90540543,23.36806594,24.95204117,26.19442516
2645.68,24.3,21.27124527,22.22192529,23.68976325,25.36396397,26.61887957
2648.08,24.5,21.50382756,22.43745552,23.92513501,25.62172264,27.00696882
