depth_m,age_ka,d18O,ship_depth,coretop,core_recov,notes
102.4,2176,-0.47,102.5,99.7,103.7,12 2 130-132cm
102.5,2177.8,-999,102.6,99.7,103.7,12 2 140-142cm
102.62,2180.2,-1.19,102.73,99.7,103.7,12 3 3-5cm
102.69,2181.5,-0.97,102.8,99.7,103.7,12 3 10-12cm
102.79,2183.3,-0.9,102.9,99.7,103.7,12 3 20-22cm
102.88,2185.1,-0.09,103,99.7,103.7,12 3 30-32cm
102.98,2187,-1.2,103.1,99.7,103.7,12 3 40-42cm
103.08,2188.8,-0.63,103.2,99.7,103.7,12 3 50-52cm
103.19,2191,-1.04,103.32,99.7,103.7,12 3 62-64cm
103.27,2192.5,0.02,103.4,99.7,103.7,12 3 70-72cm
103.36,2194,-0.3,103.5,99.7,103.7,12 3 80-82cm
103.5,2196.1,-0.23,103.64,99.7,103.7,12 3 94-96cm
103.56,2197,-0.59,103.7,99.7,103.7,12 3 100-102cm
103.65,2198.5,-0.36,103.8,99.7,103.7,12 3 110-112cm
103.77,2200.3,-0.36,103.92,99.7,103.7,12 3 122-124cm
103.85,2201.5,-0.41,104,99.7,103.7,12 3 130-132cm
103.94,2203,-0.68,104.1,99.7,103.7,12 3 140-142cm
104.07,2205,-0.8,104.23,99.7,103.7,12 4 3-5cm
104.14,2206.5,-0.4,104.3,99.7,103.7,12 4 10-12cm
104.23,2208.7,-1.51,104.4,99.7,103.7,12 4 20-22cm
104.33,2210.9,-0.97,104.5,99.7,103.7,12 4 30-32cm
104.43,2213.1,-1.05,104.6,99.7,103.7,12 4 40-42cm
104.52,2215.3,-0.71,104.7,99.7,103.7,12 4 50-52cm
104.62,2217.5,-0.98,104.8,99.7,103.7,12 4 60-62cm
104.71,2219.6,-0.29,104.9,99.7,103.7,12 4 70-72cm
104.81,2221.8,-0.97,105,99.7,103.7,12 4 80-82cm
104.91,2224,-0.94,105.1,99.7,103.7,12 4 90-92cm
105,2226.2,-0.91,105.2,99.7,103.7,12 4 100-102cm
105.1,2228.4,-999,105.3,99.7,103.7,12 4 110-112cm
105.23,2231.3,-999,105.43,99.7,103.7,12 4 123-125cm
105.29,2232.8,0,105.5,99.7,103.7,12 4 130-132cm
105.39,2235,-0.34,105.6,99.7,103.7,12 4 140-142cm
105.51,2237.2,-0.15,105.73,99.7,103.7,12 5 3-5cm
105.58,2238.3,-0.71,105.8,99.7,103.7,12 5 10-12cm
105.68,2240,0.14,105.9,99.7,103.7,12 5 20-22cm
105.78,2241.6,-0.33,106,99.7,103.7,12 5 30-32cm
105.87,2243.3,-0.29,106.1,99.7,103.7,12 5 40-42cm
105.97,2245,-0.72,106.2,99.7,103.7,12 5 50-52cm
106.06,2246.6,-1.07,106.3,99.7,103.7,12 5 60-62cm
106.16,2248.3,-0.91,106.4,99.7,103.7,12 5 70-72cm
106.26,2250,-999,106.5,99.7,103.7,12 5 80-82cm
106.35,2252,-1.2,106.6,99.7,103.7,12 5 90-92cm
106.45,2254,-0.47,106.7,99.7,103.7,12 5 100-102cm
106.55,2256.1,-0.63,106.8,99.7,103.7,12 5 110-112cm
106.67,2258.7,-999,106.93,99.7,103.7,12 5 123-125cm
106.74,2260.2,-1.17,107,99.7,103.7,12 5 130-132cm
106.84,2262.2,-1.2,107.1,99.7,103.7,12 5 140-142cm
106.96,2264.9,-0.72,107.23,99.7,103.7,12 6 3-5cm
107.03,2266.3,-0.27,107.3,99.7,103.7,12 6 10-12cm
107.13,2268.4,-1.22,107.4,99.7,103.7,12 6 20-22cm
107.22,2270.4,0.11,107.5,99.7,103.7,12 6 30-32cm
107.32,2272.5,-0.42,107.6,99.7,103.7,12 6 40-42cm
107.41,2274.5,-0.25,107.7,99.7,103.7,12 6 50-52cm
107.51,2276.5,-0.72,107.8,99.7,103.7,12 6 60-62cm
107.61,2278.5,-999,107.9,99.7,103.7,12 6 70-72cm
107.7,2280.5,-0.68,108,99.7,103.7,12 6 80-82cm
107.8,2282.5,-0.68,108.1,99.7,103.7,12 6 90-92cm
