age_ka,d18O,MgCa,temp,temp_min1,temp_plus1,temp_min2,temp_plus2,salinity,sal_min1,sal_plus1,sal_min2,sal_plus2,d18O_sw,d18O_min1,d18O_plus1,d18O_min2,d18O_plus2
2746.8,3.37,0.85,4.9603,2.2868,7.0892,-1.0388,8.8322,38.823,37.177,40.255,34.915,41.274,1.6021,1.1579,1.989,0.54714,2.2638
2746.8,3.56,0.85,4.8831,2.5264,6.6245,-0.35293,8.1587,38.702,37.084,40.094,34.968,41.151,1.5696,1.1328,1.9454,0.56142,2.2307
2746.8,3.5,0.87,5.0135,2.9172,6.6603,0.28714,7.9889,38.764,37.1,40.139,35.01,41.403,1.5863,1.137,1.9575,0.57257,2.2989
2746.8,3.37,0.87,4.9562,2.8411,6.6395,-0.0039767,7.9668,39.011,37.247,40.344,35.04,41.655,1.653,1.1767,2.0127,0.58069,2.3667
2746.8,3.56,0.87,5.3623,3.36,7.0552,0.58704,8.5369,39.183,37.654,40.495,35.425,41.701,1.6994,1.2866,2.0537,0.68465,2.3793
2752.2,3.67,0.92,5.3315,3.0711,6.9701,-0.0017587,8.37,38.008,36.194,39.55,33.633,40.965,1.3821,0.89234,1.7985,0.20087,2.1805
2752.2,3.51,0.92,6.0487,3.9564,7.7121,1.3938,9.1436,37.971,36.352,39.24,34.287,40.249,1.372,0.93492,1.7149,0.37737,1.9872
2752.2,3.85,0.92,6.1122,4.052,7.7033,1.6761,9.1436,38.011,36.443,39.271,34.613,40.388,1.3829,0.95974,1.7231,0.4656,2.0248
2755,3.7,0.85,4.876,2.4675,6.9107,-1.0661,8.5912,37.484,35.72,39.006,32.974,40.313,1.2406,0.76436,1.6516,0.023099,2.0045
2755,3.61,0.85,5.5658,3.3268,7.2902,0.32735,8.6978,38.547,36.636,40.002,34.378,41.117,1.5277,1.0116,1.9205,0.40206,2.2216
2755,3.53,0.85,6.0572,4.0147,7.5655,1.0238,8.9327,39.034,37.419,40.281,35.1,41.312,1.6592,1.2231,1.9958,0.59693,2.2742
2755,3.7,0.85,5.5638,3.4776,7.2657,0.75107,8.5861,38.94,37.349,40.22,35.271,41.289,1.6338,1.2043,1.9795,0.64327,2.2681
2755,3.61,0.85,4.6332,2.3037,6.5364,-0.89465,7.9722,38.183,36.42,39.737,33.782,40.924,1.4295,0.95347,1.8489,0.24126,2.1694
2755,3.53,0.85,4.86,2.7884,6.59,-0.51191,8.0422,38.686,36.98,40.134,34.241,41.324,1.5651,1.1045,1.9563,0.36507,2.2775
2762.3,3.83,0.93,5.2276,3.1552,6.814,0.16996,8.2313,38.946,37.346,40.268,35.016,41.405,1.6353,1.2034,1.9925,0.57419,2.2994
2762.3,3.71,0.93,5.4216,3.3312,6.9804,0.62991,8.3697,39.077,37.473,40.335,35.156,41.49,1.6707,1.2378,2.0104,0.61207,2.3222
2762.3,3.59,0.93,6.6822,4.7112,8.0947,2.5571,9.4049,39.251,37.84,40.387,36.059,41.451,1.7179,1.3367,2.0246,0.85606,2.3116
2766.1,3.64,0.9,5.8311,3.4456,7.7285,0.78756,9.0145,38.191,36.306,39.715,34.303,40.86,1.4316,0.92271,1.8431,0.38173,2.1523
2766.1,3.29,0.9,5.7729,3.7321,7.5205,1.0066,8.7301,38.097,36.554,39.456,34.575,40.415,1.4061,0.98953,1.7731,0.45532,2.0319
2771,3.65,1.05,5.2613,2.9496,7.103,-0.3477,8.4251,37.883,36.045,39.267,33.568,40.233,1.3484,0.85226,1.722,0.18326,1.9828
2771,3.28,1.05,5.251,2.9473,6.9512,-0.76666,8.3772,37.715,35.903,39.021,33.288,40.212,1.303,0.81377,1.6558,0.10774,1.9774
2773.6,3.55,1.13,5.9035,3.9254,7.622,1.2543,9.0021,37.928,36.325,39.282,34.34,40.354,1.3605,0.92785,1.7262,0.3919,2.0157
