,mcd_x,age_ka,MgCa_raw,MgCa_adj,spec,BWT,MgCa_merged,mcd_y,d18O,d13C
222,4326.6,1056,1.61,1.45,O. umbonatus,1.93,1.45,,,
223,4338.1,1058,1.31,,C. wuellerstorfi,1.0,1.31,,,
224,4371.6,1067,1.59,,C. wuellerstorfi,2.87,1.59,,,
225,4384.2,1071,1.87,1.71,O. umbonatus,3.67,1.71,,,
226,4404.0,1076,1.91,1.75,O. umbonatus,3.93,1.75,,,
227,4416.0,1078,1.74,1.58,O. umbonatus,2.8,1.58,,,
228,4430.5,1083,1.64,,C. wuellerstorfi,3.2,1.64,,,
229,4461.0,1091,1.79,,C. wuellerstorfi,4.2,1.79,,,
230,4461.0,1091,1.65,1.49,O. umbonatus,2.2,1.49,,,
231,4476.0,1094,1.34,,C. wuellerstorfi,1.2,1.34,,,
232,4489.0,1098,1.57,,C. wuellerstorfi,2.73,1.57,,,
233,4489.0,1098,1.66,1.5,O. umbonatus,2.27,1.5,,,
234,4508.5,1104,1.43,1.27,O. umbonatus,0.73,1.27,,,
235,4521.0,1107,1.52,1.36,O. umbonatus,1.33,1.36,,,
236,4536.0,1109,1.48,,C. wuellerstorfi,2.13,1.48,,,
237,4552.5,1113,1.71,,C. wuellerstorfi,3.67,1.71,,,
238,4552.5,1113,1.6,1.44,O. umbonatus,1.87,1.44,,,
239,4566.0,1115,1.7,,C. wuellerstorfi,3.6,1.7,,,
240,4566.0,1115,1.63,1.47,O. umbonatus,2.07,1.47,,,
241,4581.0,1120,1.54,1.38,O. umbonatus,1.47,1.38,,,
242,4596.0,1124,1.48,,C. wuellerstorfi,2.13,1.48,,,
243,4612.0,1130,1.34,,C. wuellerstorfi,1.2,1.34,,,
244,4627.0,1133,1.35,,C. wuellerstorfi,1.27,1.35,,,
245,4627.0,1133,1.61,1.45,O. umbonatus,1.93,1.45,,,
246,4639.0,1137,1.36,,C. wuellerstorfi,1.33,1.36,,,
247,4639.0,1137,1.47,1.31,O. umbonatus,1.0,1.31,,,
248,4671.5,1148,1.54,1.38,O. umbonatus,1.47,1.38,,,
249,4686.0,1151,1.44,,C. wuellerstorfi,1.87,1.44,,,
250,4686.0,1151,1.52,1.36,O. umbonatus,1.33,1.36,,,
251,4701.5,1157,2.03,1.87,O. umbonatus,4.73,1.87,,,
252,4776.0,1173,1.86,,C. wuellerstorfi,4.67,1.86,,,
253,4798.0,1178,1.68,,C. wuellerstorfi,3.47,1.68,,,
254,4821.0,1182,1.89,1.73,O. umbonatus,3.8,1.73,,,
255,4836.0,1184,1.52,,C. wuellerstorfi,2.4,1.52,,,
256,4836.0,1184,1.68,1.52,O. umbonatus,2.4,1.52,,,
257,4852.0,1189,1.6,,C. wuellerstorfi,2.93,1.6,,,
258,4896.0,1197,1.26,,C. wuellerstorfi,0.67,1.26,,,
259,4941.0,1208,1.3,,C. wuellerstorfi,0.93,1.3,,,
260,4971.0,1217,1.6,,C. wuellerstorfi,2.93,1.6,,,
261,5003.0,1228,1.62,,C. wuellerstorfi,3.07,1.62,,,
262,5003.0,1228,1.56,1.4,O. umbonatus,1.6,1.4,,,
263,5016.0,1230,1.76,1.6,O. umbonatus,2.93,1.6,,,
264,5031.0,1235,1.76,,C. wuellerstorfi,4.0,1.76,,,
265,5046.0,1238,1.71,1.55,O. umbonatus,2.6,1.55,,,
266,5061.0,1242,1.7,1.54,O. umbonatus,2.53,1.54,,,
267,5076.0,1244,1.39,,C. wuellerstorfi,1.53,1.39,,,
268,5076.0,1244,1.55,1.39,O. umbonatus,1.53,1.39,,,
269,5120.0,1252,1.44,,C. wuellerstorfi,1.87,1.44,,,
270,5136.0,1254,1.64,1.48,O. umbonatus,2.13,1.48,,,
271,5149.5,1255,1.68,1.52,O. umbonatus,2.4,1.52,,,
272,5166.0,1257,1.47,,C. wuellerstorfi,2.07,1.47,,,
273,5166.0,1257,1.55,1.39,O. umbonatus,1.53,1.39,,,
274,5181.0,1259,1.55,1.39,O. umbonatus,1.53,1.39,,,
275,5234.2,1266,1.65,1.49,O. umbonatus,2.2,1.49,,,
276,5249.2,1268,1.49,,C. wuellerstorfi,2.2,1.49,,,
277,5263.7,1271,1.4,,C. wuellerstorfi,1.6,1.4,,,
278,5294.0,1275,1.56,,C. wuellerstorfi,2.67,1.56,,,
279,5323.5,1280,1.65,,C. wuellerstorfi,3.27,1.65,,,
280,5338.5,1283,1.64,,C. wuellerstorfi,3.2,1.64,,,
281,5338.5,1283,1.78,1.62,O. umbonatus,3.07,1.62,,,
282,5383.5,1302,1.59,1.43,O. umbonatus,1.8,1.43,,,
283,5458.5,1334,1.44,1.28,O. umbonatus,0.8,1.28,,,
284,5488.5,1344,1.59,1.43,O. umbonatus,1.8,1.43,,,
285,5505.5,1348,1.54,,C. wuellerstorfi,2.53,1.54,,,
286,5505.5,1348,1.6,1.44,O. umbonatus,1.87,1.44,,,
287,5518.5,1351,1.59,,C. wuellerstorfi,2.87,1.59,,,
288,5533.5,1356,1.42,,C. wuellerstorfi,1.73,1.42,,,
289,5533.5,1356,1.66,1.5,O. umbonatus,2.27,1.5,,,
290,5548.5,1358,1.54,,C. wuellerstorfi,2.53,1.54,,,
291,5563.5,1362,1.87,,C. wuellerstorfi,4.73,1.87,,,
292,5578.5,1364,1.45,,C. wuellerstorfi,1.93,1.45,,,
293,5578.5,1364,1.99,1.83,O. umbonatus,4.47,1.83,,,
294,5593.5,1368,1.62,,C. wuellerstorfi,3.07,1.62,,,
295,5593.5,1368,1.52,1.36,O. umbonatus,1.33,1.36,,,
296,5608.5,1370,1.48,1.32,O. umbonatus,1.07,1.32,,,
297,5624.0,1373,1.52,1.36,O. umbonatus,1.33,1.36,,,
298,5637.5,1375,1.5,1.34,O. umbonatus,1.2,1.34,,,
299,5654.0,1380,1.64,1.48,O. umbonatus,2.13,1.48,,,
300,5668.5,1382,1.58,1.42,O. umbonatus,1.73,1.42,,,
301,5683.5,1387,1.42,,C. wuellerstorfi,1.73,1.42,,,
302,5683.5,1387,1.6,1.44,O. umbonatus,1.87,1.44,,,
303,5698.5,1390,1.55,,C. wuellerstorfi,2.6,1.55,,,
304,5698.5,1390,1.89,1.73,O. umbonatus,3.8,1.73,,,
305,5713.5,1396,1.52,,C. wuellerstorfi,2.4,1.52,,,
306,5713.5,1396,1.91,1.75,O. umbonatus,3.93,1.75,,,
307,5758.5,1408,1.35,1.19,O. umbonatus,0.2,1.19,,,
308,5773.5,1414,1.48,1.32,O. umbonatus,1.07,1.32,,,
309,5787.5,1417,1.5,1.34,O. umbonatus,1.2,1.34,,,
310,5801.5,1421,1.39,,C. wuellerstorfi,1.53,1.39,,,
311,5801.5,1421,1.69,1.53,O. umbonatus,2.47,1.53,,,
312,5818.5,1426,1.61,1.45,O. umbonatus,1.93,1.45,,,
313,5833.5,1433,1.49,,C. wuellerstorfi,2.2,1.49,,,
314,5833.5,1433,1.71,1.55,O. umbonatus,2.6,1.55,,,
315,5848.5,1437,1.9,1.74,O. umbonatus,3.87,1.74,,,
316,5863.5,1444,1.63,,C. wuellerstorfi,3.13,1.63,,,
317,5878.5,1447,1.71,,C. wuellerstorfi,3.67,1.71,,,
318,5893.5,1452,1.64,,C. wuellerstorfi,3.2,1.64,,,
319,5893.5,1452,1.85,1.69,O. umbonatus,3.53,1.69,,,
320,5922.5,1458,1.44,,C. wuellerstorfi,1.87,1.44,,,
321,5953.5,1464,1.28,,C. wuellerstorfi,0.8,1.28,,,
322,5953.5,1464,1.46,1.3,O. umbonatus,0.93,1.3,,,
323,5968.5,1466,1.35,,C. wuellerstorfi,1.27,1.35,,,
324,5998.5,1472,1.67,,C. wuellerstorfi,3.4,1.67,,,
325,5998.5,1472,1.65,1.49,O. umbonatus,2.2,1.49,,,
326,6013.5,1476,1.74,,C. wuellerstorfi,3.87,1.74,,,
327,6013.5,1476,1.93,1.77,O. umbonatus,4.07,1.77,,,
328,6028.5,1479,1.71,,C. wuellerstorfi,3.67,1.71,,,
329,6028.5,1479,1.89,1.73,O. umbonatus,3.8,1.73,,,
330,6043.5,1484,1.97,1.81,O. umbonatus,4.33,1.81,,,
331,6058.5,1487,1.63,,C. wuellerstorfi,3.13,1.63,,,
332,6058.5,1487,1.92,1.76,O. umbonatus,4.0,1.76,,,
333,6086.5,1494,1.52,,C. wuellerstorfi,2.4,1.52,,,
334,6102.0,1499,1.78,1.62,O. umbonatus,3.07,1.62,,,
335,6118.5,1502,1.6,1.44,O. umbonatus,1.87,1.44,,,
336,6133.5,1506,1.44,1.28,O. umbonatus,0.8,1.28,,,
337,6148.5,1508,1.63,,C. wuellerstorfi,3.13,1.63,,,
338,6148.5,1508,1.67,1.51,O. umbonatus,2.33,1.51,,,
339,6163.5,1513,1.73,,C. wuellerstorfi,3.8,1.73,,,
340,6178.5,1516,1.79,,C. wuellerstorfi,4.2,1.79,,,
341,6193.5,1522,1.67,,C. wuellerstorfi,3.4,1.67,,,
342,6207.0,1525,1.84,,C. wuellerstorfi,4.53,1.84,,,
343,6318.0,1547,1.57,,C. wuellerstorfi,2.73,1.57,,,
344,6348.5,1553,1.37,,C. wuellerstorfi,1.4,1.37,,,
345,6348.5,1553,1.53,1.37,O. umbonatus,1.4,1.37,,,
346,6359.5,1556,1.36,1.2,O. umbonatus,0.27,1.2,,,
347,6377.5,1559,1.62,,C. wuellerstorfi,3.07,1.62,,,
348,6422.5,1568,1.61,,C. wuellerstorfi,3.0,1.61,,,
349,6437.5,1570,1.54,1.38,O. umbonatus,1.47,1.38,,,
350,6453.5,1573,1.53,,C. wuellerstorfi,2.47,1.53,,,
351,6467.5,1575,1.37,1.21,O. umbonatus,0.33,1.21,,,
352,6497.5,1579,1.87,1.71,O. umbonatus,3.67,1.71,,,
353,6527.5,1584,1.57,,C. wuellerstorfi,2.73,1.57,,,
354,6542.5,1588,1.5,,C. wuellerstorfi,2.27,1.5,,,
355,6587.5,1597,1.72,1.56,O. umbonatus,2.67,1.56,,,
356,6602.5,1601,1.61,1.45,O. umbonatus,1.93,1.45,,,
357,6617.5,1604,1.64,1.48,O. umbonatus,2.13,1.48,,,
358,6647.5,1611,1.87,1.71,O. umbonatus,3.67,1.71,,,
359,6662.5,1615,1.65,1.49,O. umbonatus,2.2,1.49,,,
360,6677.5,1618,1.41,,C. wuellerstorfi,1.67,1.41,,,
361,6692.5,1622,1.61,,C. wuellerstorfi,3.0,1.61,,,
362,6692.5,1622,1.72,1.56,O. umbonatus,2.67,1.56,,,
363,6707.5,1625,1.54,,C. wuellerstorfi,2.53,1.54,,,
364,6707.5,1625,1.44,1.28,O. umbonatus,0.8,1.28,,,
365,6722.5,1630,1.14,,C. wuellerstorfi,-0.13,1.14,,,
366,6722.5,1630,1.6,1.44,O. umbonatus,1.87,1.44,,,
367,6737.5,1633,1.52,,C. wuellerstorfi,2.4,1.52,,,
368,6737.5,1633,1.89,1.73,O. umbonatus,3.8,1.73,,,
369,6752.5,1638,1.64,,C. wuellerstorfi,3.2,1.64,,,
370,6752.5,1638,1.85,1.69,O. umbonatus,3.53,1.69,,,
371,6767.5,1641,1.63,,C. wuellerstorfi,3.13,1.63,,,
372,6767.5,1641,1.53,1.37,O. umbonatus,1.4,1.37,,,
373,6782.5,1645,1.58,,C. wuellerstorfi,2.8,1.58,,,
374,6782.5,1645,1.67,1.51,O. umbonatus,2.33,1.51,,,
375,6797.5,1648,2.02,1.86,O. umbonatus,4.67,1.86,,,
376,6812.5,1652,1.43,,C. wuellerstorfi,1.8,1.43,,,
