mcd,age_ka,d13C_uvi,d18O_uvi,Notes
136.04,3002.1,-1.39,3.52,1208 15-6 80-82U
136.14,3004.2,-1.22,3.7,1208 15-6 90-92U
136.23,3006.3,-1.23,3.59,1208 15-6 100-102U
136.33,3008.4,-1.11,3.55,1208 15-6 110-112U
136.45,3011.1,-1.06,3.68,1208 15-6 123-125U
136.52,3012.6,-1.24,3.56,1208 15-6 130-132U
136.61,3014.6,-1.27,3.62,1208 15-6 140-142U
136.71,3016.7,-1.21,3.71,1208 15-7 0-2U
136.8,3018.8,-1.12,3.68,1208 15-7 10-12U
136.9,3020.9,-1.3,3.74,1208 15-7 20-22U
136.9,3020.9,-1.32,3.5,1208 15-7 20-22 U
136.99,3023,-1.28,3.65,1208 15-7 30-32U
137.08,3025,-1.35,3.53,1208 15-7 40-42U
137.18,3027.9,-1.33,3.48,1208 15-7 50-52U
137.18,3027.9,-1.26,3.5,1208 15-7 50-52 RU
137.27,3030.6,-1.19,3.43,1208 15-7 60-62U
137.41,3034.4,-1.02,3.04,1208 15-CC 0-2U
137.5,3037.1,-1.07,3.28,1208 15-CC 10-12U
137.5,3037.1,-1.27,3.34,1208 15-CC 10-12 RU
137.6,3040,-1.13,3.47,1208 15-CC 20-22U
137.78,3045.7,-1.68,3.63,1208 16-1 9-11U
137.91,3047.9,-1.43,3.52,1208 16-1 22-24U
137.98,3049.4,-1.21,3.43,1208 16-1 30-32U
138.09,3051.5,-0.8,3.43,1208 16-1 42-44U
138.17,3052.9,-0.92,3.32,1208 16-1 50-52U
138.28,3055,-0.97,3.19,1208 16-1 62-64U
138.36,3056.4,-0.87,3.33,1208 16-1 70-72U
138.44,3058,-0.82,3.19,1208 16-1 79-80U
138.57,3061.5,-0.97,3.25,1208 16-1 93-95U
138.64,3063.2,-0.96,3.26,1208 16-1 100-102U
138.71,3065.1,-0.93,3.19,1208 16-1 108-110U
138.79,3067.1,-0.9,3.14,1208 16-1 116-118U
138.92,3070.5,-0.73,3.14,1208 16-1 130-132U
139.01,3072.9,-0.98,3.17,1208 16-1 140-142U
139.11,3075.4,-0.85,3.29,1208 16-2 0-2U
139.2,3077.8,-0.72,3.25,1208 16-2 10-12U
139.3,3080.3,-0.9,3.21,1208 16-2 20-22U
139.39,3082.7,-0.61,3.21,1208 16-2 30-32U
