mcd,age_ka,MgCa_raw,MgCa_adj,spec,BWT,MgCa_merged
4798,1178.1,1.68,,C. wuellerstorfi,3.47,1.68
4821,1182.7,1.89,1.73,O. umbonatus,3.8,1.73
4836,1184.8,1.52,,C. wuellerstorfi,2.4,1.52
4836,1184.8,1.68,1.52,O. umbonatus,2.4,1.52
4852,1189,1.6,,C. wuellerstorfi,2.93,1.6
4896,1197.6,1.26,,C. wuellerstorfi,0.67,1.26
4941,1208.4,1.3,,C. wuellerstorfi,0.93,1.3
4971,1217.2,1.6,,C. wuellerstorfi,2.93,1.6
5003,1228.1,1.62,,C. wuellerstorfi,3.07,1.62
5003,1228.1,1.56,1.4,O. umbonatus,1.6,1.4
5016,1230.6,1.76,1.6,O. umbonatus,2.93,1.6
5031,1235.8,1.76,,C. wuellerstorfi,4,1.76
5046,1238.5,1.71,1.55,O. umbonatus,2.6,1.55
5061,1242.6,1.7,1.54,O. umbonatus,2.53,1.54
5076,1244.8,1.39,,C. wuellerstorfi,1.53,1.39
5076,1244.8,1.55,1.39,O. umbonatus,1.53,1.39
5120,1252.2,1.44,,C. wuellerstorfi,1.87,1.44
5136,1254,1.64,1.48,O. umbonatus,2.13,1.48
5149.5,1255.9,1.68,1.52,O. umbonatus,2.4,1.52
5166,1257.6,1.47,,C. wuellerstorfi,2.07,1.47
5166,1257.6,1.55,1.39,O. umbonatus,1.53,1.39
5181,1259.7,1.55,1.39,O. umbonatus,1.53,1.39
5234.2,1266.8,1.65,1.49,O. umbonatus,2.2,1.49
5249.2,1268.4,1.49,,C. wuellerstorfi,2.2,1.49
5263.7,1271,1.4,,C. wuellerstorfi,1.6,1.4
5294,1275.5,1.56,,C. wuellerstorfi,2.67,1.56
5323.5,1280.9,1.65,,C. wuellerstorfi,3.27,1.65
5338.5,1283.5,1.64,,C. wuellerstorfi,3.2,1.64
5338.5,1283.5,1.78,1.62,O. umbonatus,3.07,1.62
5383.5,1302.1,1.59,1.43,O. umbonatus,1.8,1.43
5458.5,1334.1,1.44,1.28,O. umbonatus,0.8,1.28
5488.5,1344.7,1.59,1.43,O. umbonatus,1.8,1.43
5505.5,1348.3,1.54,,C. wuellerstorfi,2.53,1.54
5505.5,1348.3,1.6,1.44,O. umbonatus,1.87,1.44
5518.5,1351.7,1.59,,C. wuellerstorfi,2.87,1.59
5533.5,1356.1,1.42,,C. wuellerstorfi,1.73,1.42
5533.5,1356.1,1.66,1.5,O. umbonatus,2.27,1.5
5548.5,1358.5,1.54,,C. wuellerstorfi,2.53,1.54
5563.5,1362.3,1.87,,C. wuellerstorfi,4.73,1.87
5578.5,1364.5,1.45,,C. wuellerstorfi,1.93,1.45
5578.5,1364.5,1.99,1.83,O. umbonatus,4.47,1.83
5593.5,1368.1,1.62,,C. wuellerstorfi,3.07,1.62
5593.5,1368.1,1.52,1.36,O. umbonatus,1.33,1.36
5608.5,1370.2,1.48,1.32,O. umbonatus,1.07,1.32
5624,1373.9,1.52,1.36,O. umbonatus,1.33,1.36
5637.5,1375.7,1.5,1.34,O. umbonatus,1.2,1.34
5654,1380.2,1.64,1.48,O. umbonatus,2.13,1.48
5668.5,1382.7,1.58,1.42,O. umbonatus,1.73,1.42
5683.5,1387.7,1.42,,C. wuellerstorfi,1.73,1.42
5683.5,1387.7,1.6,1.44,O. umbonatus,1.87,1.44
5698.5,1390.9,1.55,,C. wuellerstorfi,2.6,1.55
5698.5,1390.9,1.89,1.73,O. umbonatus,3.8,1.73
5713.5,1396.8,1.52,,C. wuellerstorfi,2.4,1.52
5713.5,1396.8,1.91,1.75,O. umbonatus,3.93,1.75
5758.5,1408.6,1.35,1.19,O. umbonatus,0.2,1.19
5773.5,1414.1,1.48,1.32,O. umbonatus,1.07,1.32
5787.5,1417,1.5,1.34,O. umbonatus,1.2,1.34
5801.5,1421.9,1.39,,C. wuellerstorfi,1.53,1.39
5801.5,1421.9,1.69,1.53,O. umbonatus,2.47,1.53
5818.5,1426.6,1.61,1.45,O. umbonatus,1.93,1.45
5833.5,1433.4,1.49,,C. wuellerstorfi,2.2,1.49
5833.5,1433.4,1.71,1.55,O. umbonatus,2.6,1.55
5848.5,1437.6,1.9,1.74,O. umbonatus,3.87,1.74
5863.5,1444.4,1.63,,C. wuellerstorfi,3.13,1.63
5878.5,1447.8,1.71,,C. wuellerstorfi,3.67,1.71
5893.5,1452.8,1.64,,C. wuellerstorfi,3.2,1.64
5893.5,1452.8,1.85,1.69,O. umbonatus,3.53,1.69
