mcd,age_ka,MgCa_raw,MgCa_adj,spec,BWT
7369.5,1785.6,1.45,1.29,O. umbonatus,0.87
7382.5,1788,1.51,1.35,O. umbonatus,1.27
7399.5,1790.4,1.64,1.48,O. umbonatus,2.13
7414.5,1795,1.42,1.26,O. umbonatus,0.67
7429.5,1798.2,1.35,1.19,O. umbonatus,0.20
7444.5,1803.8,1.86,,C. wuellerstorfi,4.67
7459.5,1807.3,1.66,,C. wuellerstorfi,3.33
7473.5,1812.7,1.71,,C. wuellerstorfi,3.67
7473.5,1812.7,1.56,1.40,O. umbonatus,1.60
7488.5,1817,1.67,,C. wuellerstorfi,3.40
7519.5,1833,1.42,,C. wuellerstorfi,1.73
7534.5,1843.1,1.60,,C. wuellerstorfi,2.93
7549.5,1848.2,1.55,,C. wuellerstorfi,2.60
7549.5,1848.2,1.65,1.49,O. umbonatus,2.20
7564.5,1856.1,1.41,,C. wuellerstorfi,1.67
7564.5,1856.1,1.61,1.45,O. umbonatus,1.93
7579.5,1860.6,1.58,1.42,O. umbonatus,1.73
7594.5,1868.2,1.25,,C. wuellerstorfi,0.60
7594.5,1868.2,1.45,1.29,O. umbonatus,0.87
7608.5,1872.2,1.66,,C. wuellerstorfi,3.33
7624.5,1880.5,1.62,,C. wuellerstorfi,3.07
7624.5,1880.5,2.25,2.09,O. umbonatus,6.20
7639.5,1884.9,1.58,,C. wuellerstorfi,2.80
7639.5,1884.9,1.87,1.71,O. umbonatus,3.67
7653.5,1891.3,1.66,,C. wuellerstorfi,3.33
7653.5,1891.3,1.78,1.62,O. umbonatus,3.07
7670.5,1896.7,1.58,,C. wuellerstorfi,2.80
7684.5,1902.3,1.71,,C. wuellerstorfi,3.67
7699.5,1906,1.63,,C. wuellerstorfi,3.13
7714.5,1911.5,1.85,,C. wuellerstorfi,4.60
7729.5,1914.6,1.59,,C. wuellerstorfi,2.87
7789.5,1928.2,1.96,,C. wuellerstorfi,5.33
7804.5,1931.8,2.27,2.11,O. umbonatus,6.33
7834.5,1936.8,2.05,,C. wuellerstorfi,5.93
7864.5,1941.2,1.96,,C. wuellerstorfi,5.33
7894.5,1945.4,1.67,,C. wuellerstorfi,3.40
7894.5,1945.4,1.61,1.45,O. umbonatus,1.93
7909.5,1947,1.72,,C. wuellerstorfi,3.73
7909.5,1947,1.61,1.45,O. umbonatus,1.93
7924.5,1949.8,1.44,1.28,O. umbonatus,0.80
7939.5,1951.4,1.48,,C. wuellerstorfi,2.13
7939.5,1951.4,1.36,1.20,O. umbonatus,0.27
7954.5,1954.5,1.53,,C. wuellerstorfi,2.47
7954.5,1954.5,1.41,1.25,O. umbonatus,0.60
7969.5,1956.4,1.96,,C. wuellerstorfi,5.33
7969.5,1956.4,1.75,1.59,O. umbonatus,2.87
7984.5,1960,1.36,,C. wuellerstorfi,1.33
7984.5,1960,1.70,1.54,O. umbonatus,2.53
7999.5,1962.2,1.40,,C. wuellerstorfi,1.60
7999.5,1962.2,1.46,1.30,O. umbonatus,0.93
8014.5,1966,1.49,,C. wuellerstorfi,2.20
