mcd_x,age_ka,MgCa,FeCa,AlCa,d18O_unadj,d13C,mcd_y,age_ma,d18O
143.71,3199,0.84,38,73,2.41,0.24,149.91,3.19932781,3.05
,3203,,,,2.42,0.01,150.01,3.203194145,3.06
143.9,3207,0.91,58,114,2.43,0.03,150.11,3.207060481,3.07
,3211,,,,2.41,0.15,150.21,3.210926816,3.05
,3215,,,,2.51,0.33,150.31,3.215,3.15
144.16,3217,0.91,16,25,,,,,
144.18,3218,0.89,52,85,2.42,,150.41,3.218174044,3.06
144.27,3221,0.83,20,21,,,,,
,3222,,,,2.54,0.02,150.51,3.221527498,3.18
144.37,3224,0.97,11,15,,,,,
144.37,3224,1.07,20,28,,,,,
,3225,,,,2.59,0.15,150.61,3.224880952,3.23
144.48,3228,0.91,20,104,,,,,
,3229,,,,2.64,0.06,150.73,3.228905097,3.28
144.55,3231,0.79,15,20,,,,,
,3232,,,,2.61,0.1,150.81,3.23158786,3.25
,3235,,,,2.57,-0.05,150.91,3.235,3.21
,3237,,,,2.43,-0.09,151.01,3.237456455,3.07
,3240,,,,2.49,0.16,151.11,3.239956663,3.13
,3242,,,,2.52,0.21,151.21,3.242456871,3.16
,3245,,,,2.36,0.03,151.31,3.24495708,3
,3248,,,,2.42,0.08,151.43,3.24795733,3.06
145.21,3250,0.88,64,102,2.5,0.03,151.51,3.249957496,3.14
,3252,,,,2.7,-0.25,151.61,3.252457705,3.34
,3255,,,,2.54,0.01,151.71,3.254957913,3.18
145.49,3257,0.79,18,191,2.6,0.06,151.81,3.257458122,3.24
,3260,,,,2.81,0.01,151.91,3.25995833,3.45
,3262,,,,2.65,-0.05,152.01,3.262458538,3.29
145.78,3265,0.75,8,79,2.58,0.08,152.11,3.264958747,3.22
,3268,,,,2.67,0.21,152.23,3.267958997,3.31
,3270,,,,2.64,,152.32,3.270209184,3.28
,3272,,,,2.6,0.1,152.41,3.272459372,3.24
,3276,,,,2.65,-0.01,152.54,3.275709642,3.29
146.24,3277,0.84,18,33,2.67,0.15,152.61,3.277459788,3.31
146.34,3280,0.8,21,32,2.63,0.09,152.71,3.28,3.27
146.45,3282,0.77,32,447,,,,,
,3283,,,,2.68,0.05,152.83,3.282646993,3.32
146.53,3284,0.84,14,19,2.85,-0.03,152.91,3.284435502,3.49
146.62,3286,0.77,17,32,,,,,
,3287,,,,2.88,-0.11,153.01,3.286671138,3.52
146.71,3288,0.87,18,29,,,,,
,3289,,,,3.05,-0.35,153.11,3.288906774,3.69
146.81,3291,0.76,11,8,3.19,-0.19,153.21,3.29114241,3.83
,3294,,,,3.14,-0.35,153.35,3.2942723,3.78
,3297,,,,3.25,-0.34,153.45,3.296507937,3.89
,3301,,,,3.01,-0.2,153.66,3.301150681,3.65
147.32,3303,0.89,19,24,,-0.27,153.76,3.303398984,
,3306,,,,2.97,-0.49,153.86,3.305647286,3.61
,3307,,,,2.91,-0.32,153.94,3.307445928,3.55
147.6,3310,0.71,15,10,2.9,-0.14,154.05,3.31,3.54
,3312,,,,2.82,-0.17,154.13,3.311560798,3.46
147.79,3314,0.85,34,48,2.67,0.01,154.26,3.314216605,3.31
147.87,3315,0.81,129,78,,,,,
147.87,3315,0.79,25,23,,,,,
,3316,,,,2.6,-0.04,154.34,3.315850948,3.24
