mcd_te,mcd_d18O,age_ka,MgCa,FeCa,AlCa,d13C_uvi,d18O_uvi,Notes,notes
129.62,,2840.00,0.95,17.00,27.00,-0.73,3.48,,1208_15-2 0-2
129.71,129.71,2841.00,0.86,8.00,70.00,-0.74,3.54,1208 15-2 10-12,1208_15-2 10-12
129.81,129.81,2843.00,1.00,41.00,48.00,-0.75,3.57,1208 15-2 20-22,1208_15-2 20-22
129.81,129.81,2843.00,1.00,41.00,48.00,-0.88,3.59,1208 15-2 20-22,1208_15-2 20-22
129.90,129.90,2845.00,0.87,31.00,37.00,-1.04,3.68,1208 15-2 30-32U,1208_15-2 30-32
130.02,130.02,2847.00,0.79,19.00,38.00,-0.80,3.62,1208 15-2 43-45,1208_15-2 43-45
130.09,130.09,2848.00,0.88,43.00,64.00,-1.11,3.78,1208 15-2 50-52,1208_15-2 50-52
130.28,130.28,2852.00,0.84,18.00,16.00,-0.81,3.67,1208 15-2 70-72,1208_15-2 70-72
130.37,130.37,2854.00,0.93,28.00,48.00,-0.89,3.74,1208 15-2 80-82,1208_15-2 80-82
130.47,130.47,2855.00,1.06,31.00,98.00,-0.84,3.39,1208 15-2 90-92,1208_15-2 90-92
130.56,130.56,2857.00,0.84,21.00,36.00,-0.77,3.39,1208 15-2 100-102,1208_15-2 100-102
130.66,130.66,2860.00,0.92,32.00,773.00,-0.61,3.36,1208 15-2 110-112,1208_15-2 110-112
130.78,130.78,2863.00,0.80,16.00,46.00,-0.59,3.45,1208 15-2 123-125,1208_15-2 123-125
130.85,130.85,2865.00,0.84,15.00,25.00,-0.75,3.35,1208 15-2 130-132 U,1208_15-2 130-132
130.94,130.94,2867.00,0.94,17.00,45.00,-0.92,3.26,1208 15-2 140-142 U,1208_15-2 140-142
131.04,131.04,2870.00,1.03,28.00,60.00,-0.78,3.32,1208 15-3 0-2U,1208_15-3 0-2
131.13,131.13,2872.00,0.85,19.00,46.00,-0.92,3.41,1208 15-3 10-12U,1208_15-3 10-12
131.13,131.13,2872.00,0.79,14.00,9.00,-0.92,3.41,1208 15-3 10-12U,1208_15-3 10-12
131.21,131.21,2874.00,0.99,11.00,495.00,-0.83,3.53,1208 15-3 18-20U,1208_15-3 18-20
