,mcd,d13C,d13C_corr,d18O,d18O_corr,type,comment,age_ka
120,90.31,0.73,0.73,2.26,2.9,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2884.3953488372094
121,90.51,0.84,0.84,2.49,3.13,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2890.777777777778
122,90.61,0.68,0.68,2.48,3.12,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2893.9259259259256
123,90.71,0.89,0.89,2.39,3.03,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2897.074074074074
124,90.81,0.99,0.99,2.19,2.83,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2900.222222222222
125,90.91,0.9,0.9,2.16,2.8,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2903.37037037037
126,91.01,0.53,0.53,2.15,2.79,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2906.6666666666665
127,91.11,0.27,0.27,1.79,2.43,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2910.0
128,91.21,0.75,0.75,2.3,2.94,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2913.333333333333
129,91.31,0.75,0.75,2.44,3.08,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2916.6666666666665
130,91.41,0.11,0.11,1.74,2.38,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2920.0
131,91.51,,,3.19,,PMURR,d18O no corr; d13C no corr,2923.3333333333335
132,91.61,0.4,0.4,2.35,2.99,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2926.838709677419
133,91.69,0.56,0.56,2.49,3.13,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2929.6774193548385
134,91.79,0.65,0.65,2.22,2.86,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2933.225806451613
135,91.81,,,3.44,,PMURR,d18O no corr; d13C no corr,2933.935483870968
136,91.91,0.75,0.75,2.35,2.99,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2937.4838709677415
137,92.01,0.39,0.39,2.02,2.66,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2941.032258064516
138,92.11,0.47,0.47,1.98,2.62,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2944.5806451612902
139,92.21,0.3,0.3,1.93,2.57,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2948.0624999999995
140,92.31,0.77,0.77,1.82,2.46,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984),2951.5
