d13C,d13C_corr,d18O,d18O_corr,type,mcd,age_ka,Comment
1.14,1.14,2.7,3.34,CKULL,33.63,1022.33,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
1.23,1.23,2.74,3.38,CWUE,33.6781,1024.47,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.12,1.12,2.89,3.53,CWUE,33.7263,1026.61,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.02,1.02,2.75,3.39,CWUE,33.7744,1028.75,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.01,1.01,2.92,3.56,CWUE,33.8226,1030.75,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.92,0.92,2.99,3.63,CWUE,33.8707,1032.73,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.52,0.52,3.37,4.01,CWUE,33.921,1034.8,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.98,0.98,3.47,4.11,CWUE,33.9726,1036.92,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.01,1.01,3.54,4.18,CWUE,34.0448,1039.89,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.85,0.85,3.59,4.23,CWUE,34.1481,1044.14,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.71,0.71,3.54,4.04,CSPP,34.2513,1048.38,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.29,-0.29,3.56,4.2,CWUE,34.3687,1053.21,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.07,0.07,3.71,4.35,CWUE,34.4562,1056.81,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.01,-0.01,3.29,3.93,CWUE,34.4577,1056.87,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.82,0.82,2.9,3.54,CWUE,34.572,1061.57,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.58,0.58,3.03,3.38,NUMB,34.6283,1063.88,d18 corrected -0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)
0.85,0.85,2.83,3.47,CKULL,34.6361,1064.2,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
0.97,0.97,2.74,3.38,CWUE,34.7115,1067.3,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.1,1.1,2.4,3.04,CWUE,34.7871,1070.41,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.14,1.14,2.45,3.09,CWUE,34.7871,1070.41,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.93,0.93,2.81,3.45,CKULL,34.8627,1073.47,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
1.05,1.05,2.45,3.09,CWUE,34.9383,1076.24,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.05,1.05,2.7,3.34,CWUE,35.0139,1079.01,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.05,1.05,3.04,3.68,CWUE,35.0895,1081.78,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.07,1.07,3.12,3.76,CWUE,35.167,1084.83,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.4,0.4,3.04,3.68,CWUE,35.2517,1088.96,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.47,0.47,3.18,3.82,CWUE,35.3365,1093.09,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.61,0.61,2.78,3.42,CWUE,35.3365,1093.09,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.45,0.45,3.29,3.93,CWUE,35.4213,1097.22,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.38,0.38,3.4,4.04,CWUE,35.5061,1101.35,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.92,0.92,3.36,3.86,CSPP,35.6067,1105.04,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
1.09,1.09,2.83,3.47,CWUE,35.7178,1108.43,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.55,0.55,2.74,3.09,NUMB,35.8289,1111.83,d18 corrected -0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)
0.66,0.66,2.89,3.53,CBRA,35.8289,1111.83,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
0.97,0.97,3.01,3.65,CWUE,35.94,1115.26,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.99,0.99,3.03,3.67,CWUE,35.94,1115.26,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.74,0.74,3.06,3.7,CWUE,36.0511,1118.75,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.63,0.63,3.32,3.96,CWUE,36.1539,1121.98,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.01,-0.01,3.75,4.39,CWUE,36.2236,1124.17,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.24,0.24,3.72,4.36,CWUE,36.2933,1126.36,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.41,0.41,3.46,4.1,CWUE,36.363,1128.55,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.76,0.76,3.35,3.99,CBRA,36.4327,1130.74,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
0.24,0.24,2.94,3.58,CWUE,36.4327,1130.74,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.86,0.86,3.38,4.02,CKULL,36.5024,1132.93,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
0.36,0.36,3.49,4.13,CBRA,36.5721,1135.12,Treat cautiously!! d18O adjusted by +0.64 per mil; d13C adjusted by 0.00 per mil. Inferred from Bickert et al. (Bickert et al 1997)
0.99,0.99,3.02,3.66,CWUE,36.6523,1138.95,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
