mcd,d13C,d13C_corr,d18O,d18O_corr,type,comment
92.21,0.3,0.3,1.93,2.57,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
92.31,0.77,0.77,1.82,2.46,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
92.41,0.87,0.87,1.99,2.63,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
92.51,0.85,0.85,2.08,2.72,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
92.61,0.58,0.58,2.02,2.66,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
92.69,0.78,0.78,2.43,3.07,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
92.71,,,3.08,,PMURR,d18O no corr; d13C no corr
92.79,,,3.05,3.05,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984)
92.81,,,3.41,,PMURR,d18O no corr; d13C no corr
92.91,,,3.34,,PMURR,d18O no corr; d13C no corr
92.99,0.95,0.95,2.54,3.18,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
93.01,,,2.88,2.88,UVIG,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 0.90 per mil (Shackleton et al 1995)
93.05,0.76,0.76,2.92,3.56,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
93.09,0.71,0.71,2.62,3.26,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
93.09,,,3.2,3.2,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984)
93.11,,,3.34,,PMURR,d18O no corr; d13C no corr
93.2,0.73,0.73,2.3,2.94,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
93.21,0.92,0.92,2.59,3.23,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
93.21,,,3.44,,PMURR,d18O no corr; d13C no corr
93.34,1.1,1.1,2.94,3.58,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
93.41,0.78,0.78,2.45,3.09,CKULL,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1995)
93.43,,,2.96,2.96,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984)
93.48,0.53,0.53,2.1,2.74,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
93.51,,,3.16,,PMURR,d18O no corr; d13C no corr
93.59,0.49,0.49,2.53,3.17,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
93.71,0.15,0.15,3.13,3.77,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
93.83,,,3.58,3.58,OUMB,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.00 per mil ; d13C adjusted by 1.00 per mil (Shackleton and Hall 1984)
93.91,0.29,0.29,2.93,3.57,CWUE,d18O no corr; d13C no corr; Isotope correction information: d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
