Age (ka),Site 927,Site 929,Site 925
749.873,,4.4,
750.285,,,4.08
750.637,,4.34,
752.095,,,4.4
752.165,,4.37,
753.693,,4.104,
754.358,,,4.27
754.457,,4.05,
754.81,,,4.4
755.483,4.36,,
755.985,,4.27,
757.513,,4.272,
758.277,,4.21,
758.882,,,4.31
758.882,,,4.23
759.805,,4.23,
761.145,,,3.97
761.332,,4.216,
762.096,,4.16,
763.407,,,3.94
763.624,,4.35,
765.152,,4.153,
765.916,,4.09,
767.444,,4.07,
767.932,,,3.77
768.036,3.95,,
768.972,,3.828,
769.736,,3.77,
769.785,,,4.04
771.264,,4.04,
771.536,,,3.9
772.792,,3.937,
773.287,,,3.52
773.556,,3.88,
774.313,3.89,,
775.084,,3.59,
776.612,,3.698,
776.789,,,3.77
777.376,,3.64,
777.451,3.67,,
780.432,,3.342,
781.196,,3.28,
782.041,,,3.66
782.723,,3.48,
783.728,3.57,,
784.251,,3.52,
785.015,,3.46,
786.543,,3.35,
786.866,3.24,,
788.068,,3.208,
788.804,,3.15,
789.006,,,3.38
789.343,3.24,,3.32
789.343,3.24,,3.38
790.276,,3.36,
790.692,,,4.54
791.747,,3.461,
791.889,3.37,,
792.482,,3.41,
792.517,,,4.43
796.584,,,4.56
796.982,4.29,,
798.493,,,4.72
800.118,,,4.69
800.443,,,4.55
801.744,,,4.62
801.744,,,4.2
801.819,4.55,,
803.437,,3.58,
804.206,4.43,,
804.206,4.61,,
804.994,,,4.43
806.593,4.53,,
806.619,,,4.23
806.944,,,4.49
808.244,,,4.37
808.244,,,3.9
808.981,4.35,,
809.526,,3.742,
809.869,,,4.17
809.961,,3.45,
810.194,,,4.39
810.194,,,4.4
811.368,4.44,,
811.494,,,4.1
811.494,,,4.24
811.701,,4.178,
812.136,,4.12,
813.119,,,3.8
813.444,,,4.04
813.755,4.12,,
813.875,,4.106,
814.31,,4.05,
814.744,,,3.87
816.05,,3.947,
816.485,,3.89,
818.225,,3.76,
818.66,,3.7,
819.646,,3.68,
820.984,,3.676,
821.245,,,3.49
821.652,,3.62,
822.87,,,3.85
822.989,,3.7,
823.195,,,3.23
823.303,3.46,,
824.327,,3.599,
824.995,,3.54,
826.12,,,3.8
826.332,,3.76,
827.67,,3.749,
828.077,3.86,,
828.338,,3.69,
828.819,,,3.75
829.089,,,3.88
830.464,3.91,,
831.013,,3.773,
831.347,,3.72,
831.518,,,3.67
831.518,,,3.68
831.788,,,3.94
832.852,3.58,,
832.867,,,3.78
833.019,,3.91,
834.216,,,3.62
834.216,,,3.79
834.356,,3.491,
834.69,,3.43,
838.093,,,3.62
838.535,,,3.78
839.029,,4.219,
840.225,3.95,,
842.953,,,3.66
844.019,,3.714,
844.518,,3.65,
844.721,,,3.57
844.721,,,3.42
846.93,,,3.43
847.372,,,3.35
849.01,,3.679,
849.725,3.33,,
849.725,3.27,,
850.008,,3.62,
851.349,,,3.2
851.791,,,3.21
854,,3.456,
854.764,,3.4,
855.615,,,3.67
856.908,,,3.6
857.818,,3.706,
858.582,,3.65,
858.846,,,3.21
861.754,,,3.31
862.018,,3.68,
862.077,,,3.17
863.369,,,3.19
863.435,3.37,,
864.985,,,3.42
865.308,,,4.42
865.836,,3.17,
866.478,3.03,,
866.6,,,4.39
868.215,,,4.46
868.538,,,4.54
869.522,4.61,,
869.655,,4.34,
870.477,,,4.43
871.769,,,4.64
872.565,4.63,,
873.062,,,4.56
874.677,,,4.3
875,,,4.63
875.686,4.66,,
876.981,,,4.52
877.196,,4.56,
879.117,4.56,,
879.117,4.57,,
879.117,3.57,,
879.458,,,4.1
879.953,,,4.44
880.855,,4.49,
882.547,3.24,,
884.514,,4.52,
884.906,,,4.32
884.906,,,4.35
888.132,,4.39,
889.408,4.52,,
891.654,,4.32,
892.839,4.41,,
896.272,4.41,,
898.909,,4.18,
899.277,,,4.24
899.773,,,4.19
899.937,4.35,,
899.937,4.06,,
901.758,,,4.14
903.119,,4.14,
903.756,4,,
904.239,,,3.81
904.735,,,3.99
906.719,,,3.73
907.33,,3.84,
907.33,,4.19,
907.574,4.03,,
909.2,,,3.95
911.392,4.03,,
911.54,,3.8,
911.681,,,3.72
911.681,,,3.66
914.162,,,3.74
914.659,,,3.85
915.21,3.75,,
915.329,,3.948,
916.171,,3.89,
916.327,,,3.53
916.327,,,3.73
916.366,,,3.65
918.567,3.71,,
918.567,3.7,,
918.943,,3.928,
919.636,,3.87,
920.425,,,3.93
920.425,,,3.91
920.634,,,3.69
921.615,3.69,,
922.408,,3.857,
922.469,,,4.15
923.102,,3.8,
924.518,,,4.11
924.902,,,4.45
925.874,,4.082,
926.438,,4.03,
928.58,,4.453,
929.115,,4.39,
929.768,,,4.22
929.768,,,4.09
930.186,,4.35,
931.257,,4.292,
931.417,,,4.1
931.792,,4.24,
932.03,3.86,,
932.863,,4.33,
933.065,,,4.07
933.934,,4.236,
934.385,3.96,,
934.469,,4.18,
934.714,,,3.54
934.714,,,3.83
935.54,,3.86,
935.54,,4.17,
936.363,,,4.07
936.611,,3.799,
937.146,,3.74,
939.176,4.08,,
939.387,,,3.82
939.773,,3.75,
940.47,,3.69,
941.667,3.51,,
941.667,3.75,,
941.864,,3.86,
942.229,,,3.6
943.258,,3.577,
943.651,,,3.59
943.955,,3.52,
944.158,3.69,,
945.072,,,3.65
945.35,,3.7,
946.493,,,3.6
946.649,3.44,,
946.744,,3.557,
947.441,,3.5,
947.914,,,3.59
949.139,3.53,,
949.336,,,3.35
950.23,,3.567,
950.757,,,3.08
950.927,,3.51,
951.63,3.29,,
952.178,,,3.17
952.321,,3.34,
953.599,,,4.18
953.715,,3.309,
954.121,2.92,,
954.121,3.22,,
954.412,,3.25,
955.021,,,3.18
955.021,,,3.12
955.806,,3.21,
955.806,,3.23,
956.442,,,3.3
956.442,,,4.49
956.442,,,3.11
956.612,2.96,,
957.201,,3.156,
957.863,,,2.86
957.898,,3.1,
959.211,2.92,,
959.417,,,3.85
959.417,,,2.76
959.5,,3.18,
961.278,,3.129,
961.5,,,2.76
962.167,,3.07,
963.583,,,4.29
963.816,3.51,,
965.667,,,3.32
965.722,,3.545,
966.611,,3.49,
967.75,,,3.92
968.355,4.33,,
968.355,4.28,,
969.37,,,3.82
970.057,,4.332,
970.311,,,4.37
970.311,,,4.07
970.614,3.81,,
970.631,,4.28,
971.311,,,3.91
971.78,,4.2,
972.311,,,4.29
972.515,4.11,,
972.929,,4.061,
973.504,,4,
974.311,,,4.14
974.415,3.35,,
974.653,,3.85,
975.311,,,3.97
975.311,,,3.98
975.802,,3.819,
976.311,,,4.06
976.316,3.45,,
976.377,,3.76,
977.311,,,3.57
977.526,,4,
978.216,3.58,,
978.311,,,3.46
978.675,,3.858,
979.561,,3.8,
979.7,,,3.69
981.513,3.62,,
981.513,3.61,,
981.74,,,3.56
981.74,,,3.48
981.937,,3.41,
982.94,,,3.52
983.688,,3.576,
984.563,,3.52,
985.34,,,4
985.789,3.77,,
988.044,,,4.18
988.063,,3.866,
988.937,,3.57,
990.061,,3.71,
990.111,,,3.94
991.161,,3.757,
991.711,,3.7,
991.822,,,3.98
992.343,3.95,,
993.533,,,3.9
993.911,,4.168,
994.461,,3.87,
995.021,3.85,,
995.244,,,3.94
995.561,,3.92,
996.661,,3.75,
997.211,,3.69,
997.7,3.85,,
998.666,,,3.87
998.666,,,3.33
998.666,,,3.65
999.411,,3.698,
999.991,,3.64,
1000.41,3.52,,
1000.41,3.54,,
1000.46,,,3.49
1001.47,,3.64,
1002.54,,,3.44
1002.54,,,3.5
1002.54,,,3.57
1002.96,,3.673,
1003.45,3.59,,
1003.45,3.5,,
1003.7,,3.62,
1004.51,,,3.68
1005.18,,3.7,
