d13C,d13C_corr,d18O,d18O_corr,type,mcd,age_ka,Comment
0.18,0.18,3.31,3.95,CWUE,25.6141,741.041,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.38,0.38,3.36,4,CWUE,25.6523,741.821,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.365,0.365,3.4,3.9,CSPP,25.6905,742.601,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.38,0.38,3.34,3.84,CSPP,25.7099,742.999,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.39,-0.39,3.65,4.29,CWUE,25.7497,744.525,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.312,-0.312,3.792,4.292,CSPP,25.7894,746.053,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.3,-0.3,3.74,4.24,CSPP,25.8092,746.817,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.35,-0.35,3.88,4.52,CWUE,25.849,748.345,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.38,-0.38,3.89,4.53,CWUE,25.849,748.345,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.111,-0.111,3.76,4.4,CWUE,25.8887,749.873,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.1,-0.1,3.7,4.34,CWUE,25.9086,750.637,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.43,-0.43,3.73,4.37,CWUE,25.9483,752.165,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.299,-0.299,3.604,4.104,CSPP,25.988,753.693,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.28,-0.28,3.55,4.05,CSPP,26.0079,754.457,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.76,-0.76,3.63,4.27,CWUE,26.0476,755.985,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.202,-0.202,3.632,4.272,CWUE,26.0873,757.513,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.19,-0.19,3.57,4.21,CWUE,26.1072,758.277,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.3,-0.3,3.59,4.23,CWUE,26.1469,759.805,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.876,-0.876,3.576,4.216,CWUE,26.1866,761.332,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.86,-0.86,3.52,4.16,CWUE,26.2065,762.096,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.84,-0.84,3.71,4.35,CWUE,26.2462,763.624,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.273,-0.273,3.513,4.153,CWUE,26.286,765.152,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.26,-0.26,3.45,4.09,CWUE,26.3058,765.916,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-1.05,-1.05,3.43,4.07,CWUE,26.3455,767.444,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-1.031,-1.031,3.328,3.828,CSPP,26.3853,768.972,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-1.02,-1.02,3.27,3.77,CSPP,26.4051,769.736,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.24,-0.24,3.4,4.04,CWUE,26.4449,771.264,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.265,0.265,3.297,3.937,CWUE,26.4846,772.792,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.28,0.28,3.24,3.88,CWUE,26.5045,773.556,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.2,0.2,3.09,3.59,CSPP,26.5442,775.084,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.015,-0.015,3.198,3.698,CSPP,26.5839,776.612,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0,0,3.14,3.64,CSPP,26.6038,777.376,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.683,0.683,2.702,3.342,CWUE,26.6832,780.432,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.7,0.7,2.64,3.28,CWUE,26.7031,781.196,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.75,0.75,2.84,3.48,CWUE,26.7428,782.723,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.69,0.69,2.88,3.52,CWUE,26.7825,784.251,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.7,0.7,2.82,3.46,CWUE,26.8024,785.015,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.8,0.8,2.71,3.35,CWUE,26.8421,786.543,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.538,0.538,2.568,3.208,CWUE,26.8818,788.068,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.55,0.55,2.51,3.15,CWUE,26.9017,788.804,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.55,0.55,2.72,3.36,CWUE,26.9414,790.276,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.339,0.339,2.821,3.461,CWUE,26.9812,791.747,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.35,0.35,2.77,3.41,CWUE,27.001,792.482,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.08,-0.08,3.23,3.58,NUMB,27.3337,803.437,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.457,0.457,3.392,3.742,NUMB,27.5394,809.526,"d18 no corr, d13C corretced -0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.27,0.27,3.1,3.45,NUMB,27.5541,809.961,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
-0.171,-0.171,3.538,4.178,CWUE,27.6129,811.701,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.16,-0.16,3.48,4.12,CWUE,27.6276,812.136,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.153,-0.153,3.466,4.106,CWUE,27.6863,813.875,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.14,-0.14,3.41,4.05,CWUE,27.701,814.31,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.087,0.087,3.307,3.947,CWUE,27.7598,816.05,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.1,0.1,3.25,3.89,CWUE,27.7745,816.485,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.595,0.595,3.12,3.76,CWUE,27.8333,818.225,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.61,0.61,3.06,3.7,CWUE,27.848,818.66,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.06,0.06,3.04,3.68,CWUE,27.8813,819.646,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.394,0.394,3.036,3.676,CWUE,27.9265,820.984,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.41,0.41,2.98,3.62,CWUE,27.9491,821.652,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.02,-0.02,3.06,3.7,CWUE,27.9942,822.989,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.391,0.391,2.959,3.599,CWUE,28.0394,824.327,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.41,0.41,2.9,3.54,CWUE,28.062,824.995,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.3,0.3,3.12,3.76,CWUE,28.1072,826.332,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.22,-0.22,3.109,3.749,CWUE,28.1524,827.67,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.21,-0.21,3.05,3.69,CWUE,28.1749,828.338,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.483,0.483,3.133,3.773,CWUE,28.2653,831.013,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.5,0.5,3.08,3.72,CWUE,28.2766,831.347,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.02,0.02,3.27,3.91,CWUE,28.3331,833.019,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.587,0.587,2.991,3.491,CSPP,28.3782,834.356,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.6,0.6,2.93,3.43,CSPP,28.3895,834.69,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.633,0.633,3.869,4.219,NUMB,28.4912,839.029,"d18 no corr, d13C corretced -0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.217,0.217,3.074,3.714,CWUE,28.6041,844.019,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.23,0.23,3.01,3.65,CWUE,28.6154,844.518,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.168,-0.168,3.039,3.679,CWUE,28.7171,849.01,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.15,-0.15,2.98,3.62,CWUE,28.7396,850.008,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.534,0.534,2.816,3.456,CWUE,28.83,854,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.55,0.55,2.76,3.4,CWUE,28.8507,854.764,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.088,-0.088,3.066,3.706,CWUE,28.9336,857.818,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.07,-0.07,3.01,3.65,CWUE,28.9544,858.582,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.02,-0.02,3.04,3.68,CWUE,29.0476,862.018,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.53,0.53,2.53,3.17,CWUE,29.1513,865.836,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.7,-0.7,3.7,4.34,CWUE,29.2549,869.655,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-1.1,-1.1,4.21,4.56,NUMB,29.4582,877.196,d18 corrected -0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)
-0.59,-0.59,3.85,4.49,CWUE,29.5552,880.855,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.75,-0.75,3.88,4.52,CWUE,29.6521,884.514,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.47,-0.47,3.75,4.39,CWUE,29.748,888.132,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.84,-0.84,3.97,4.32,NUMB,29.8413,891.654,d18 corrected -0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)
-0.34,-0.34,3.83,4.18,NUMB,30.0334,898.909,d18 corrected -0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)
0.37,0.37,3.64,4.14,CSPP,30.1448,903.119,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.52,0.52,3.34,3.84,CSPP,30.2561,907.33,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.32,0.32,3.55,4.19,CWUE,30.2561,907.33,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.42,0.42,3.3,3.8,CSPP,30.3675,911.54,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.527,0.527,3.308,3.948,CWUE,30.4677,915.329,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.54,0.54,3.25,3.89,CWUE,30.49,916.171,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.355,0.355,3.288,3.928,CWUE,30.5633,918.943,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.37,0.37,3.23,3.87,CWUE,30.5817,919.636,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.414,0.414,3.217,3.857,CWUE,30.655,922.408,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.43,0.43,3.16,3.8,CWUE,30.6733,923.102,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.358,-0.358,3.442,4.082,CWUE,30.7467,925.874,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.34,-0.34,3.39,4.03,CWUE,30.765,926.438,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.725,-0.725,3.813,4.453,CWUE,30.8383,928.58,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.71,-0.71,3.75,4.39,CWUE,30.8567,929.115,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.57,-0.57,3.71,4.35,CWUE,30.8933,930.186,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.693,-0.693,3.652,4.292,CWUE,30.93,931.257,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.68,-0.68,3.6,4.24,CWUE,30.9483,931.792,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.19,0.19,3.69,4.33,CWUE,30.985,932.863,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.438,-0.438,3.596,4.236,CWUE,31.0217,933.934,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.42,-0.42,3.54,4.18,CWUE,31.04,934.469,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.03,-0.03,3.82,4.17,NUMB,31.0767,935.54,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.44,0.44,3.22,3.86,CWUE,31.0767,935.54,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.611,-0.611,3.159,3.799,CWUE,31.1133,936.611,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.6,-0.6,3.1,3.74,CWUE,31.1317,937.146,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.273,0.273,3.25,3.75,CSPP,31.2216,939.773,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.29,0.29,3.19,3.69,CSPP,31.2455,940.47,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.39,0.39,3.22,3.86,CWUE,31.2932,941.864,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.284,0.284,2.937,3.577,CWUE,31.341,943.258,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.3,0.3,2.88,3.52,CWUE,31.3648,943.955,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.26,-0.26,3.06,3.7,CWUE,31.4126,945.35,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.208,0.208,2.917,3.557,CWUE,31.4603,946.744,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.22,0.22,2.86,3.5,CWUE,31.4842,947.441,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.13,0.13,2.927,3.567,CWUE,31.5797,950.23,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.14,0.14,2.87,3.51,CWUE,31.6035,950.927,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.73,0.73,2.7,3.34,CWUE,31.6513,952.321,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.81,0.81,2.669,3.309,CWUE,31.699,953.715,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.82,0.82,2.61,3.25,CWUE,31.7229,954.412,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.7,0.7,2.57,3.21,CWUE,31.7706,955.806,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.7,0.7,2.59,3.23,CWUE,31.7706,955.806,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.462,0.462,2.516,3.156,CWUE,31.8184,957.201,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.47,0.47,2.46,3.1,CWUE,31.8423,957.898,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.46,0.46,2.54,3.18,CWUE,31.89,959.5,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.815,0.815,2.489,3.129,CWUE,31.9256,961.278,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.83,0.83,2.43,3.07,CWUE,31.9433,962.167,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.052,0.052,2.905,3.545,CWUE,32.0144,965.722,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.07,0.07,2.85,3.49,CWUE,32.0322,966.611,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.253,0.253,3.692,4.332,CWUE,32.1276,970.057,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.27,0.27,3.64,4.28,CWUE,32.1534,970.631,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.01,0.01,3.56,4.2,CWUE,32.2051,971.78,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.226,0.226,3.421,4.061,CWUE,32.2568,972.929,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.24,0.24,3.36,4,CWUE,32.2827,973.504,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.06,0.06,3.21,3.85,CWUE,32.3344,974.653,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.731,0.731,3.179,3.819,CWUE,32.3861,975.802,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.75,0.75,3.12,3.76,CWUE,32.412,976.377,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.14,0.14,3.36,4,CWUE,32.4637,977.526,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.426,0.426,3.218,3.858,CWUE,32.5154,978.675,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.44,0.44,3.16,3.8,CWUE,32.5412,979.561,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.58,0.58,2.77,3.41,CWUE,32.5887,981.937,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.195,0.195,2.936,3.576,CWUE,32.6238,983.688,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.21,0.21,2.88,3.52,CWUE,32.6413,984.563,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
-0.086,-0.086,3.516,3.866,NUMB,32.7112,988.063,"d18 no corr, d13C corretced -0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
-0.27,-0.27,3.22,3.57,NUMB,32.7287,988.937,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.12,0.12,3.07,3.71,CWUE,32.7638,990.061,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.421,0.421,3.257,3.757,CSPP,32.7987,991.161,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.44,0.44,3.2,3.7,CSPP,32.8162,991.711,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.229,0.229,3.818,4.168,NUMB,32.8862,993.911,"d18 no corr, d13C corretced -0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.04,0.04,3.52,3.87,NUMB,32.9038,994.461,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.36,0.36,3.28,3.92,CWUE,32.9388,995.561,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.435,0.435,3.11,3.75,CWUE,32.9737,996.661,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.45,0.45,3.05,3.69,CWUE,32.9912,997.211,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.589,0.589,3.058,3.698,CWUE,33.0613,999.411,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.6,0.6,3,3.64,CWUE,33.0797,999.991,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.48,0.48,3,3.64,CWUE,33.1185,1001.47,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.355,0.355,3.033,3.673,CWUE,33.1573,1002.96,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.37,0.37,2.98,3.62,CWUE,33.1767,1003.7,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.52,0.52,3.06,3.7,CWUE,33.2155,1005.18,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.61,0.61,3.1,3.74,CWUE,33.2155,1005.18,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.231,0.231,3.594,3.944,NUMB,33.2543,1006.67,"d18 no corr, d13C corretced -0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.04,0.04,3.29,3.64,NUMB,33.2737,1007.41,"d18 corrected -0.2, d13C corrected +0.2; Isotope correction information: d18O adjusted by +0.34 per mil ; d13C adjusted by 0.00 per mil (Shackleton and Hall 1997)"
0.292,0.292,3.066,3.706,CWUE,33.3513,1010.38,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.31,0.31,3.01,3.65,CWUE,33.3707,1011.12,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.383,0.383,3.215,3.855,CWUE,33.4484,1014.26,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.4,0.4,3.15,3.79,CWUE,33.4678,1015.12,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.791,0.791,3.172,3.672,CSPP,33.5454,1018.57,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.81,0.81,3.12,3.62,CSPP,33.5648,1019.43,d18O adjusted by +0.5 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.367,0.367,2.842,3.482,CWUE,33.6424,1022.88,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.38,0.38,2.78,3.42,CWUE,33.6618,1023.75,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
0.666,0.666,2.818,3.458,CWUE,33.7368,1027.08,d18O adjusted by +0.64 per mil ; d13C adjusted by 0.00 per mil (Shackleton et al 1984)
